Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Niedriglehner-Auflage,BELAVI,"€ 5,99",,"pro Einheit = 5,99","pro Einheit = 5,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_001.jpg,cat_non_food,,,ref_000001,,,,
Fettarmer Joghurt,Milsani,"€ 0,49",,"pro Einheit = 0,79","pro Einheit = 0,79",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_002.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000002,obs_0000001772|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000028966|obs_0000023030|obs_0000008703|obs_0000025171|obs_0000017127|obs_0000023284|obs_0000025392|obs_0000033696|obs_0000009180|obs_0000021506|obs_0000021508|obs_0000025811|obs_0000015673|obs_0000019794|obs_0000009663|obs_0000034580,obs_0000001772,,
Wurst,Wurst,"€ 2,49",,"1 kg = 9,96","1 kg = 9,96",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_003.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,BLS-W241000,ref_000003,obs_0000031747|obs_0000028070|obs_0000014920|obs_0000015756|obs_0000013485|obs_0000027861|obs_0000026616|obs_0000009050|obs_0000030908|obs_0000001025|obs_0000028762|obs_0000031771|obs_0000029520|obs_0000031515|obs_0000032063|obs_0000001487,,,
Bettwäsche,Bettwäsche,"€ 6,99",,"pro Einheit = 6,99","pro Einheit = 6,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_004.jpg,cat_drogerie,,BLS-R421300,ref_000004,obs_0000026412|obs_0000024321|obs_0000026120|obs_0000017548|obs_0000025742|obs_0000002705|obs_0000003991|obs_0000004639|obs_0000003106|obs_0000018594|obs_0000020258|obs_0000001575|obs_0000016431|obs_0000025267|obs_0000002231|obs_0000019128|obs_0000000955|obs_0000019131|obs_0000001981|obs_0000004418|obs_0000000323|obs_0000005066|obs_0000017361|obs_0000021077|obs_0000017238|obs_0000000474|obs_0000023897|obs_0000001133|obs_0000004845|obs_0000018670|obs_0000004212|obs_0000000127|obs_0000016902|obs_0000019633|obs_0000010547|obs_0000017206|obs_0000024761|obs_0000025921|obs_0000012228|obs_0000012230|obs_0000016078|obs_0000023887|obs_0000023139|obs_0000008944|obs_0000022132|obs_0000024310|obs_0000018173|obs_0000010354|obs_0000012156|obs_0000004635,obs_0000026412,,
Ananas lose,Ananas lose,"€ 1,15",,"pro Einheit = 1,15","pro Einheit = 1,15",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_005.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,BLS-F501100,ref_000005,obs_0000001306|obs_0000028967|obs_0000014138|obs_0000005512|obs_0000027077|obs_0000007137,obs_0000001306,,
Champignons weiß,Champignons weiß,"€ 1,35",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_pilze,tag_whole_food",,BLS-K701100,ref_000006,obs_0000000877|obs_0000014978|obs_0000027283|obs_0000028450|obs_0000031799|obs_0000008021|obs_0000014046|obs_0000027747|obs_0000026991|obs_0000001277|obs_0000005123|obs_0000007133,obs_0000000877,,
Bunter Salat mit Wurzelballen,Bunter Salat mit Wurzelballen,"€ 1,11",,"pro Einheit = 1,11","pro Einheit = 1,11",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_007.jpg,"cat_obst_gemuese,diet_vegetarian,sub_frisches_gemuese,sub_salate,sub_wurst,tag_ultra_processed",,,ref_000007,obs_0000025985,,,
Heidelbeeren,Heidelbeeren,"€ 1,69",,"1 kg = 11,27","1 kg = 11,27",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F304100,ref_000008,obs_0000033682|obs_0000000695|obs_0000034122|obs_0000000880|obs_0000033918|obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000034918|obs_0000006409|obs_0000030472|obs_0000034319|obs_0000030138|obs_0000030919|obs_0000022353|obs_0000005509|obs_0000005525|obs_0000005120|obs_0000006958|obs_0000005692|obs_0000007128|obs_0000007143|obs_0000005713|obs_0000005894,obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918|obs_0000034918,,
Erdbeeren,KLEINE SCHÄTZE,"€ 2,49",,"1 kg = 6,23","1 kg = 6,23",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000009,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000001513|obs_0000000875|obs_0000006265|obs_0000032512,,
Orangen,Orangen,"€ 2,49",,"pro Einheit = 1,25","pro Einheit = 1,25",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-F603100,ref_000010,obs_0000024463|obs_0000031118|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823|obs_0000034315|obs_0000033934|obs_0000001301|obs_0000029591|obs_0000014877|obs_0000030120|obs_0000031152|obs_0000033716|obs_0000026166|obs_0000033854|obs_0000012742|obs_0000010184|obs_0000015310|obs_0000025425|obs_0000006483|obs_0000016210|obs_0000015711|obs_0000010976|obs_0000013417|obs_0000034020|obs_0000027756,obs_0000031118|obs_0000024463|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823,,
