Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Kanzi Tafeläpfel Nicoter,Keine Marke,"€ 1,99",,"1 kg = 2,65","Sorte siehe Etikett, aus Deutschland/Italien, Kl. I Abbildung ähnlich., 750 g Packung, (1 kg = 2,65 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/kanzi-tafel-pfel-nicoter.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000001,obs_0000005130|obs_0000005514|obs_0000028684|obs_0000028564|obs_0000005704,
San Lucar Tafeltrauben rot kernlos,Keine Marke,"€ 2,99",,"1 kg = 4,98","Sorte und Herkunft siehe Etikett, Kl. I, 600 g Packung, (1 kg = 4,98 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/san-lucar-tafeltrauben-rot-kernlos.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000002,obs_0000006261|obs_0000007315|obs_0000006278|obs_0000008710|obs_0000028721|obs_0000008765|obs_0000010312|obs_0000008792|obs_0000031873|obs_0000028835|obs_0000028335|obs_0000014088|obs_0000008527|obs_0000009624|obs_0000010211,
Mini-Rispentomaten,EDEKA Herzstücke,"€ 1,99",,"1 kg = 4,98","aus den Niederlanden, Kl. I, 400 g Packung, (1 kg = 4,98 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-mini-rispentomaten.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000003,obs_0000006427|obs_0000006431|obs_0000029206|obs_0000031628|obs_0000030260|obs_0000030918|obs_0000030961|obs_0000031140|obs_0000029129|obs_0000029204|obs_0000031461|obs_0000029645|obs_0000030141|obs_0000032515|obs_0000030469|obs_0000030568|obs_0000030614|obs_0000012328|obs_0000008287|obs_0000006379|obs_0000030960|obs_0000006608|obs_0000027139|obs_0000029276|obs_0000010932|obs_0000027413|obs_0000031578|obs_0000000876|obs_0000029588|obs_0000029590|obs_0000007140|obs_0000029814|obs_0000017530|obs_0000007312|obs_0000007325|obs_0000027927|obs_0000005503|obs_0000005527|obs_0000026024|obs_0000026075|obs_0000013997|obs_0000018128|obs_0000005882|obs_0000016216,obs_0000006427|obs_0000006431|obs_0000031140|obs_0000006608|obs_0000029206|obs_0000031628|obs_0000007140|obs_0000007312|obs_0000007325|obs_0000005503|obs_0000005527|obs_0000030260|obs_0000005882|obs_0000032515|obs_0000030469
Spargel weiß violett,Keine Marke,"€ 3,49",,"1 kg = 7,98","aus Griechenland, Kl. II Abbildung ähnlich., 500 g Packung, (1 kg = 7,98 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/spargel-wei-violett.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000004,obs_0000006414|obs_0000007314|obs_0000001516,obs_0000006414
Salatgurke,Keine Marke,"€ 0,49",,"pro Einheit = 0,49","aus den Niederlanden, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/salatgurke.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,sub_salate,tag_ultra_processed,tag_whole_food",,,ref_000005,obs_0000031142|obs_0000006407|obs_0000006429|obs_0000031262|obs_0000006268|obs_0000005891|obs_0000007144|obs_0000005876|obs_0000006068|obs_0000007126|obs_0000005502,obs_0000031142|obs_0000006407|obs_0000006429
Speisefrühkartoffeln,EDEKA Herzstücke,"€ 2,99",,"1 kg = 1,99","festkochend, Sorte siehe Etikett, aus Ägypten, ideal zum Spargel, 1,5 kg Netz, (1 kg = 1,99 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-speisefr-hkartoffeln.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,,ref_000006,obs_0000008858|obs_0000013906|obs_0000008524,obs_0000008858|obs_0000008524|obs_0000013906
Spargel grün,EDEKA Bio,"€ 4,99",,"1 kg = 19,96","aus Spanien, Kl. II Abbildung ähnlich., 400 g Packung, (1 kg = 19,96 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-bio-spargel-gr-n.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-G450100,ref_000007,obs_0000034717|obs_0000006079,obs_0000034717|obs_0000006079
San Lucar Heidelbeeren,Keine Marke,"€ 2,99",,"1 kg = 19,93","Herkunft siehe Etikett, Kl. I, 150 g Packung, (1 kg = 19,93 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/san-lucar-heidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000008,obs_0000007311|obs_0000007127|obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000003000|obs_0000000695|obs_0000016699|obs_0000034918|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918,
WWF Feldsalat Blattspinat oder Rucola,EDEKA Bio,"€ 1,00",,"1 kg = 10,00","aus Italien, Kl. II, 100 g Packung, (1 kg = 10,00 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-bio-wwf-feldsalat-blattspinat-oder-rucola.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",,,ref_000009,obs_0000005890|obs_0000005895|obs_0000005712|obs_0000005708|obs_0000017466|obs_0000007739|obs_0000032334|obs_0000030830|obs_0000009855|obs_0000006273|obs_0000009394|obs_0000001300|obs_0000028482|obs_0000001874|obs_0000007525|obs_0000007533|obs_0000028592|obs_0000031672|obs_0000030142,obs_0000005895
Mango Kent Keitt genussreif,EDEKA Herzstücke,"€ 1,99",,"pro Einheit = 1,99","aus Peru, Kl. I Extra große Früchte, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-mango-kent-keitt-genussreif.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000010,obs_0000006276|obs_0000006280|obs_0000005707|obs_0000005709|obs_0000006424|obs_0000006082|obs_0000006606|obs_0000029722|obs_0000024112|obs_0000009816|obs_0000031322|obs_0000026739|obs_0000009349|obs_0000028316|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000021278|obs_0000004393|obs_0000000306|obs_0000026453|obs_0000003966|obs_0000033713|obs_0000034740|obs_0000016865|obs_0000020459|obs_0000025584,obs_0000005707
