Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Himbeeren,Keine Marke,"€ 1,49",,"1 kg = 11,92","1 kg = 11,92","Herkunft siehe Etikett, Kl. I, 125 g Packung, (1 kg = 11,92)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/himbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,BLS-F302100,ref_000001,obs_0000032513|obs_0000030214|obs_0000006412|obs_0000000524|obs_0000029585|obs_0000027154|obs_0000029205|obs_0000013981|obs_0000030130|obs_0000030258|obs_0000026169|obs_0000032322|obs_0000029127|obs_0000026967|obs_0000016741|obs_0000010473|obs_0000000498|obs_0000001270|obs_0000028022|obs_0000029817|obs_0000005511|obs_0000002727|obs_0000005696|obs_0000005315|obs_0000005328|obs_0000002907|obs_0000007521|obs_0000007532|obs_0000010894|obs_0000011789|obs_0000030995|obs_0000010921|obs_0000006959|obs_0000030324|obs_0000007799|obs_0000030428|obs_0000007801|obs_0000005894,obs_0000032513|obs_0000030214|obs_0000006412|obs_0000000524|obs_0000029585|obs_0000027154|obs_0000029205|obs_0000013981|obs_0000030130|obs_0000030258|obs_0000026169|obs_0000032322|obs_0000029127|obs_0000026967|obs_0000016741|obs_0000010473|obs_0000000498|obs_0000001270|obs_0000028022|obs_0000029817,,
Salatgurke,Gut & Günstig,"€ 0,44",,"pro Einheit = 0,44","pro Einheit = 0,44","aus den Niederlanden, Kl. I, Stück",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/gut-g-nstig-salatgurke.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000002,obs_0000006407|obs_0000006429|obs_0000031142|obs_0000031262|obs_0000006268|obs_0000005891|obs_0000005502|obs_0000006068|obs_0000007126|obs_0000007144|obs_0000005876,obs_0000005891|obs_0000006407|obs_0000006429|obs_0000005502|obs_0000031142|obs_0000007126|obs_0000007144|obs_0000005876,,x
WWF Rucola,EDEKA Bio,"€ 1,00",,"1 kg = 10,00","1 kg = 10,00","aus Italien, Kl. II, 100 g Packung, (1 kg = 10,00)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/edeka-bio-wwf-rucola.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-G130100,ref_000003,obs_0000001300|obs_0000031672|obs_0000030142|obs_0000001874|obs_0000005712|obs_0000005890|obs_0000005895|obs_0000005708,,,
Kent Keitt,Mango,"€ 1,11",,"pro Einheit = 1,11","pro Einheit = 1,11","aus Peru, Kl. I, Stück",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/mango-kent-keitt.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000004,obs_0000006276|obs_0000006280|obs_0000006082|obs_0000005709|obs_0000006606|obs_0000005707,,,
Spargel weiß violett,Keine Marke,"€ 3,99",,"1 kg = 7,98","1 kg = 7,98","aus Griechenland, Kl. II, 500 g Packung, (1 kg = 7,98)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/spargel-wei-violett.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000005,obs_0000006414|obs_0000007314|obs_0000001516,obs_0000006414,,
G ramont Weichkäse oder Scheiben,Keine Marke,"€ 2,22",,"pro Einheit = 2,22","pro Einheit = 2,22",verschiedene Sorten und Fettstufen,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/g-ramont-weichk-se-oder-scheiben.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000006,obs_0000025059|obs_0000017509|obs_0000009341|obs_0000009810|obs_0000010262|obs_0000018456|obs_0000028005|obs_0000028718|obs_0000020750|obs_0000012800|obs_0000021569|obs_0000022418|obs_0000023007|obs_0000023373,,,
Alpenfrischkäse oder -zubereitung,Almette,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",verschiedene Sorten und Fettstufen,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/almette-alpenfrischk-se-oder-zubereitung.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000007,obs_0000006287|obs_0000006973|obs_0000002384|obs_0000010635|obs_0000003172|obs_0000001432,obs_0000006287|obs_0000006973,x,
Schafkäse,Salakis,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",verschiedene Sorten und Fettstufen,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/salakis-schafk-se.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,sub_wurst,tag_ultra_processed",,BLS-Y7A2000,ref_000008,obs_0000017000|obs_0000016653|obs_0000019088|obs_0000022980|obs_0000006634|obs_0000025831,obs_0000017000|obs_0000006634|obs_0000016653|obs_0000019088,,
Actimel Drink,Danone,"€ 1,79",,"1 kg = 2,78","1 kg = 2,78","verschiedene Sorten und Fettstufen, 8er, 800 g Packung, (1 kg = 2,78 €)",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/danone-actimel-drink.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",,,ref_000009,obs_0000031420|obs_0000006437|obs_0000009022|obs_0000031715|obs_0000006796|obs_0000011880|obs_0000009842|obs_0000018569|obs_0000009382|obs_0000015654|obs_0000017405|obs_0000012310|obs_0000033983|obs_0000010619|obs_0000027587|obs_0000030479|obs_0000005536|obs_0000006101|obs_0000026421,obs_0000011880|obs_0000009842|obs_0000006796|obs_0000009382|obs_0000031420|obs_0000030479|obs_0000006437|obs_0000015654|obs_0000009022|obs_0000005536|obs_0000006101|obs_0000031715,,
Schmelzkäsezubereitung,Milkana,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",verschiedene Sorten und Fettstufen oder Tolle Rolle! Je nach Verfügbarkeit des Marktes.,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/milkana-schmelzk-sezubereitung.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000010,obs_0000006284|obs_0000005902|obs_0000007539|obs_0000024641|obs_0000018629|obs_0000012179|obs_0000022387|obs_0000008128,obs_0000024641|obs_0000018629|obs_0000006284|obs_0000005902|obs_0000007539|obs_0000022387,x,
