Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
MAGGI,5-Minuten-Terrine,"€ 3,00","€ 3,87","1 kg = 7,82 - 13,16","1 kg = 7,82 - 13,16",versch. Sorten,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_187.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000001,obs_0000022281|obs_0000018283|obs_0000019422|obs_0000027128|obs_0000022865|obs_0000031019|obs_0000028475|obs_0000031696|obs_0000030336|obs_0000032112|obs_0000032663|obs_0000029673|obs_0000032235|obs_0000032111|obs_0000005924|obs_0000006644,obs_0000022281|obs_0000018283|obs_0000019422|obs_0000027128,,
METAXA,7 Sterne,"€ 12,99",,"1 l = 18,56","1 l = 18,56","griech. Branntweinspezialität, 40 Vol. %",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_249.jpg,cat_getraenke,,,ref_000002,obs_0000028420|obs_0000025381|obs_0000012867|obs_0000011351|obs_0000010295|obs_0000009152|obs_0000009682|obs_0000009200|obs_0000002839|obs_0000002278|obs_0000027887|obs_0000003441|obs_0000000167|obs_0000028133|obs_0000019050|obs_0000017926|obs_0000016280|obs_0000000162|obs_0000016683|obs_0000030643|obs_0000001973|obs_0000035116|obs_0000022261|obs_0000017275|obs_0000017279|obs_0000017781,obs_0000028420|obs_0000025381|obs_0000012867|obs_0000011351|obs_0000028133,,
Parkside,Akku-Maßband 4 V PDMB A1,"€ 14,99",,"pro Einheit = 14,99","pro Einheit = 14,99","Präziser Entfernungsmesser Mit analoger und digitaler Anzeige Berechnung von Mittelpunkten und Teilabschnitten Markierung der Geräte-Vorderkante durch Laser Referenzkante umschaltbar vorne/hinten Mit übersichtlichem LED-Display Messgenauigkeit ± 0,5 mm Speicherung der letzten 1.000 Messwerte Integrierter 4-V-Lithium-Ionen-Akku (2 Ah) Bandmaß mit Rollautomatik und Verriegelungsknopf Robustes Gehäuse mit Gürtelclip Bandmaßlänge 7,5 m Inkl. USB-C-Ladekabel Netzteil nicht im Lieferumfang 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_332.jpg,cat_non_food,,,ref_000003,,,,x
Parkside,Akku-Multifunktionswerkzeug 12 V PAMFWS 12 A1 mit Akku,"€ 24,99",,"pro Einheit = 24,99","pro Einheit = 24,99","Zum Sägen, Trennen, Schaben und Schleifen Für Holz, Metall, Gips, Kunststoff oder Silikon Vielseitig einsetzbare Oszillationstechnik Einstellbare Schwingzahl mit Softstart Oszillationsgeschwindigkeit 5.000 - 20.000 min-1 Oszillationswinkel 3,2° Universalaufnahme passend für gängiges Zubehör Werkzeug in variabler Arbeitsrichtung aufsetzbar Werkzeugloser Zubehörwechsel Integrierte LED-Arbeitsleuchte Kompatibel mit Akkus der Serie »X 12 V Team« Inkl. Akku (2 Ah), Ladegerät, 3 Schleifblätter Inkl. Tauchsägeblatt, Schaber und Schleifplatte 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_336.jpg,cat_non_food,,,ref_000004,obs_0000022764|obs_0000034840,,,x
HAVANA CLUB,Alkoholisches Mixgetränk,"€ 1,99",,"1 l = 6,03","1 l = 6,03","mit kubanischem Rum, versch. Sorten, z. T. koffeinhaltig, 10 Vol. % (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_245.jpg,cat_getraenke,,,ref_000005,obs_0000012426|obs_0000015062|obs_0000013501|obs_0000026012|obs_0000012425|obs_0000013228|obs_0000015063,obs_0000012426|obs_0000015062|obs_0000013501,,
Bergader,Almzeit Bavaria Blu oder Weichkäse,"€ 1,89",,"1 kg = 9,95 - 10,80","1 kg = 9,95 - 10,80","Weichkäse, Doppelrahm- bis Vollfettstufe, versch. Sorten",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_130.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000006,obs_0000006285|obs_0000007352|obs_0000005715|obs_0000012812|obs_0000014503|obs_0000015676|obs_0000006971|obs_0000030449|obs_0000014218|obs_0000028306|obs_0000008044|obs_0000010262|obs_0000018456|obs_0000022418|obs_0000028718|obs_0000023373|obs_0000009810|obs_0000023007|obs_0000017509|obs_0000028005|obs_0000009341|obs_0000012800,,,x
A'LUNA,Aloe Vera Erfrischungsgetränk,"€ 0,99","€ 1,29","1 l = 1,98","1 l = 1,98","Original, Green Tea oder Zero (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_279.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000007,obs_0000010759|obs_0000030240|obs_0000029234|obs_0000011154|obs_0000018552|obs_0000017948|obs_0000010013|obs_0000014624|obs_0000015906|obs_0000009895|obs_0000009513|obs_0000022058|obs_0000022185|obs_0000023728|obs_0000013619|obs_0000008378|obs_0000011968|obs_0000023744|obs_0000015052|obs_0000023247|obs_0000009431|obs_0000024155|obs_0000024168|obs_0000010736|obs_0000012664|obs_0000013177|obs_0000015479|obs_0000012413,obs_0000010759,,x
Crivit,Alu-Teleskoprutenhalter,"€ 14,99",,"pro Einheit = 14,99","pro Einheit = 14,99","Stufenlos höhenverstellbares Dreibein-Stativ Schnellverschlussklemmen zur einfachen Fixierung 2 klappbare Arme 4 abnehmbare Rutenauflagen mit Schraubfixierung Platzsparend zusammenklappbar Größe (aufgeklappt) ca. B 76 x H 52 - 126 cm Transportlänge ca. 66 cm Gewicht ca. 860 g Belastbar bis max. 2 kg Inkl. Tarierbeutel, Haken und Tragetasche 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_551.jpg,cat_non_food,,,ref_000008,,,,x
SILVERCREST,Aluminium-Minikasserolle,"€ 3,49",,"pro Einheit = 3,49","pro Einheit = 3,49",Ofenfest bis 150 °C Für alle Herdarten (außer Induktion) geeignet Größe ca. Ø 14 cm Bodenstärke ca. 2 mm,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_390.jpg,cat_non_food,,,ref_000009,,obs_0000025174,,
SILVERCREST,Aluminium-Minipfanne,"€ 3,49",,"pro Einheit = 3,49","pro Einheit = 3,49",Ofenfest bis 150 °C Für alle Herdarten (außer Induktion) geeignet Größe ca. Ø 20 cm Bodenstärke ca. 2 mm,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_391.jpg,cat_non_food,,,ref_000010,obs_0000012981,,,
SILVERCREST,Aluminium-Miniwokpfanne,"€ 3,49",,"pro Einheit = 3,49","pro Einheit = 3,49",Ofenfest bis 150 °C Für alle Herdarten (außer Induktion) geeignet Größe ca. Ø 18 cm Bodenstärke ca. 2 mm,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_392.jpg,cat_non_food,,,ref_000011,,,,
