Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Schmunzelhase,Milka,"€ 0,88",,"pro Einheit = 1,89",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_001.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed",,,ref_000001,obs_0000013874,obs_0000013874
Caff Ganze Bohnen,Lavazza,"€ 11,49",,"pro Einheit = 12,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_002.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",,,ref_000002,obs_0000023656|obs_0000022154|obs_0000018081|obs_0000019713|obs_0000033277|obs_0000016405|obs_0000020628|obs_0000022194|obs_0000021447|obs_0000003552,obs_0000023656|obs_0000022154|obs_0000018081|obs_0000019713
Haltbare Milch,BÄRENMARKE,"€ 0,85",,"pro Einheit = 1,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_003.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegetarian,sub_fleischersatz,sub_milchprodukte,sub_tk_gemuese,tag_high_protein",,,ref_000003,obs_0000004105|obs_0000018655|obs_0000017120|obs_0000016208|obs_0000004959|obs_0000000398|obs_0000004532|obs_0000022969|obs_0000021992|obs_0000020007|obs_0000024615|obs_0000025642|obs_0000024153|obs_0000025740|obs_0000023736|obs_0000021248|obs_0000003359|obs_0000001831|obs_0000002386|obs_0000010141|obs_0000020429|obs_0000016892|obs_0000014372|obs_0000010924|obs_0000007169|obs_0000022533|obs_0000023628|obs_0000032344|obs_0000005727|obs_0000033979|obs_0000017142|obs_0000019205|obs_0000029468|obs_0000017221|obs_0000006982|obs_0000032089|obs_0000005531|obs_0000030114|obs_0000028092|obs_0000022513|obs_0000003614|obs_0000017470|obs_0000026178|obs_0000000796|obs_0000006446|obs_0000017270|obs_0000005144|obs_0000027686|obs_0000034584|obs_0000030532,obs_0000004105|obs_0000020007|obs_0000024615|obs_0000025642|obs_0000024153|obs_0000025740|obs_0000023736|obs_0000018655|obs_0000017120|obs_0000021248|obs_0000003359|obs_0000001831|obs_0000006446|obs_0000016208|obs_0000002386|obs_0000004959|obs_0000000398|obs_0000010141|obs_0000004532|obs_0000022969|obs_0000020429|obs_0000021992|obs_0000016892
Cremissimo Eis,Langnese,"€ 1,49",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_004.jpg,"cat_tiefkuehl,sub_fleischersatz,sub_tk_eis,sub_tk_fertiggerichte,tag_high_protein,tag_ultra_processed",,,ref_000004,obs_0000025236|obs_0000022962|obs_0000034092|obs_0000015671|obs_0000011775|obs_0000005767|obs_0000034392|obs_0000025743|obs_0000011490|obs_0000025829|obs_0000018692|obs_0000017710|obs_0000013168,obs_0000005767|obs_0000025236|obs_0000015671|obs_0000022962|obs_0000011775
Doppelschlitz-Toaster,SilverCrest,"€ 12,99",,"pro Einheit = 19,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_005.jpg,"cat_non_food,tag_ultra_processed",,,ref_000005,obs_0000023134|obs_0000017676|obs_0000018134|obs_0000020716|obs_0000021535|obs_0000022382|obs_0000018855|obs_0000012908|obs_0000023565|obs_0000017566|obs_0000002036|obs_0000016617,obs_0000024755|obs_0000023134|obs_0000017676|obs_0000011635|obs_0000018134
Sekt,Rotkäppchen,"€ 2,39",,"1 l = 3,19",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_006.jpg,cat_getraenke,,,ref_000006,obs_0000011802|obs_0000017436|obs_0000031833|obs_0000018037|obs_0000000122|obs_0000026289|obs_0000023255|obs_0000018687|obs_0000026425|obs_0000027487|obs_0000002457|obs_0000025002|obs_0000018465|obs_0000017456|obs_0000003634|obs_0000013889|obs_0000019009|obs_0000019561|obs_0000028281|obs_0000012437|obs_0000010911|obs_0000027358|obs_0000016680|obs_0000015666|obs_0000014644|obs_0000024889|obs_0000011590|obs_0000015699|obs_0000008047|obs_0000012694|obs_0000022430|obs_0000001461|obs_0000026048|obs_0000013336|obs_0000015931|obs_0000008276|obs_0000015498|obs_0000010420|obs_0000025796|obs_0000031724|obs_0000008400|obs_0000032264|obs_0000028182|obs_0000015933|obs_0000023645|obs_0000008803|obs_0000024169|obs_0000013971|obs_0000012436|obs_0000010391,obs_0000011802|obs_0000017436|obs_0000018465|obs_0000017456|obs_0000003634|obs_0000013889|obs_0000019009|obs_0000031833|obs_0000019561|obs_0000018037|obs_0000028281|obs_0000000122|obs_0000012437|obs_0000010911|obs_0000026289|obs_0000023255|obs_0000027358|obs_0000018687|obs_0000016680|obs_0000015666|obs_0000014644|obs_0000024889|obs_0000026425|obs_0000011590|obs_0000015699|obs_0000027487|obs_0000008047|obs_0000012694|obs_0000002457|obs_0000022430|obs_0000025002|obs_0000001461|obs_0000026048
Coca-Cola Original Taste,Coca-Cola,"€ 0,79",,"1 l = 0,63",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_007.jpg,"cat_getraenke,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed",,,ref_000007,obs_0000024676|obs_0000020930|obs_0000002516|obs_0000019149|obs_0000002852|obs_0000033681|obs_0000025552|obs_0000031744|obs_0000023586|obs_0000001110|obs_0000023740|obs_0000003316|obs_0000034042|obs_0000009482|obs_0000034234|obs_0000024165|obs_0000001642|obs_0000022125|obs_0000018050|obs_0000020111|obs_0000009941|obs_0000014057|obs_0000034648|obs_0000016262|obs_0000034810|obs_0000029418|obs_0000006901|obs_0000006909|obs_0000029979|obs_0000007669|obs_0000032254|obs_0000005638|obs_0000030302|obs_0000032440|obs_0000005827|obs_0000006021|obs_0000032705|obs_0000030680|obs_0000026646|obs_0000004177|obs_0000016686|obs_0000020844|obs_0000016754|obs_0000027015|obs_0000027037|obs_0000000445|obs_0000004604|obs_0000008921|obs_0000000810|obs_0000009023,
Auslese Klassisch,Melitta,"€ 5,55",,"1 kg = 11,10",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_008.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000008,obs_0000025626|obs_0000026267|obs_0000032948|obs_0000017488|obs_0000008547|obs_0000031843|obs_0000027254|obs_0000016511|obs_0000034106|obs_0000035115|obs_0000011953,obs_0000025626|obs_0000026267|obs_0000032948|obs_0000017488|obs_0000008547|obs_0000031843|obs_0000027254|obs_0000016511
Multi-Vitamin,Valensina,"€ 1,29",,"pro Einheit = 2,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_009.jpg,cat_non_food,,,ref_000009,obs_0000000390|obs_0000035056|obs_0000004522|obs_0000004949|obs_0000004095,
Fusilli N 98,Barilla,"€ 0,75",,"pro Einheit = 1,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_010.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln",,,ref_000010,obs_0000023285|obs_0000004359|obs_0000000287|obs_0000004786|obs_0000020032|obs_0000034624|obs_0000003932|obs_0000020851,obs_0000023285
