Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Rinder Hackfleisch,Keine Marke,"€ 4,99","€ 6,19","1 kg = 9,98","1 kg = 9,98",zum Braten,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_005.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food",,BLS-U010100,ref_000005,obs_0000002149|obs_0000026223|obs_0000027280|obs_0000029904|obs_0000029964|obs_0000026901|obs_0000031541|obs_0000032583|obs_0000026471|obs_0000031208|obs_0000019685|obs_0000022571|obs_0000001083|obs_0000029295|obs_0000000646|obs_0000029879|obs_0000030444|obs_0000000826|obs_0000030536|obs_0000030574|obs_0000030626|obs_0000030194|obs_0000034323|obs_0000011423|obs_0000033726,obs_0000002149|obs_0000026223|obs_0000027280|obs_0000029904|obs_0000019685|obs_0000029964|obs_0000026901|obs_0000031541|obs_0000032583|obs_0000026471|obs_0000031208,,
Aperitivo,Aperol,"€ 9,99","€ 13,99","1 l = 14,27","1 l = 14,27",11 % Vol.,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_006.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_tk_fertiggerichte,tag_high_protein,tag_whole_food",,,ref_000006,obs_0000001345|obs_0000007649|obs_0000006003|obs_0000013069|obs_0000008990|obs_0000020899|obs_0000003633|obs_0000009522|obs_0000008244|obs_0000021836|obs_0000001111|obs_0000010091|obs_0000020080|obs_0000003572|obs_0000015485|obs_0000009984,obs_0000013069|obs_0000008990|obs_0000020899|obs_0000003633|obs_0000009522|obs_0000001345|obs_0000021836|obs_0000007649|obs_0000020080|obs_0000006003|obs_0000015485|obs_0000009984,x,
Kaffee,Mövenpick,"€ 13,99","€ 19,49","pro Einheit = 13,99","pro Einheit = 13,99","ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_007.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,BLS-N410100,ref_000007,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517|obs_0000026632|obs_0000010346|obs_0000008975|obs_0000007172|obs_0000001036|obs_0000011792|obs_0000015886|obs_0000014364|obs_0000031774|obs_0000008737|obs_0000005168|obs_0000012378|obs_0000001674|obs_0000018585|obs_0000011952|obs_0000007356|obs_0000027842|obs_0000005362|obs_0000027412|obs_0000034615|obs_0000027964|obs_0000024390|obs_0000010059|obs_0000000848|obs_0000009608|obs_0000023971|obs_0000033702|obs_0000034731|obs_0000013262|obs_0000011764|obs_0000001035|obs_0000001037|obs_0000001038|obs_0000001039|obs_0000021523|obs_0000029713|obs_0000025137|obs_0000025139|obs_0000030782|obs_0000025157|obs_0000011344,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517,,
Sahnejoghurt,Zott,"€ 0,39","€ 0,99","1 kg = 2,79","1 kg = 2,79","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_008.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed,tag_whole_food",,,ref_000008,obs_0000003482|obs_0000002460|obs_0000016418|obs_0000034729|obs_0000020028|obs_0000020419|obs_0000008274|obs_0000009812|obs_0000025172|obs_0000021238|obs_0000026614|obs_0000018939|obs_0000009343|obs_0000007780,obs_0000006791|obs_0000029460|obs_0000003482|obs_0000002460|obs_0000016418|obs_0000034729|obs_0000020028|obs_0000030528|obs_0000020419|obs_0000008274|obs_0000009812|obs_0000025172|obs_0000021238|obs_0000026614|obs_0000018939|obs_0000009343,x,
Feine Butter oder Joghurtbutter,Meggle,"€ 0,99","€ 2,59","1 kg = 3,96","1 kg = 3,96",gekühlt,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_009.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000009,obs_0000031125|obs_0000000325|obs_0000016977|obs_0000017501|obs_0000025744|obs_0000026493|obs_0000027848|obs_0000020308|obs_0000003993|obs_0000004420|obs_0000021127|obs_0000004847|obs_0000021731|obs_0000023640|obs_0000030109|obs_0000031974|obs_0000008456|obs_0000011042|obs_0000012797|obs_0000024620|obs_0000000107|obs_0000008556|obs_0000009075|obs_0000000997|obs_0000001425|obs_0000017835|obs_0000026359|obs_0000018391|obs_0000010409|obs_0000034970|obs_0000018644|obs_0000018772|obs_0000027049|obs_0000002620|obs_0000002676|obs_0000027517|obs_0000019493|obs_0000003267|obs_0000011467|obs_0000003591|obs_0000003636|obs_0000013125|obs_0000021984|obs_0000022502|obs_0000031786,,,
Spargel weiß,Keine Marke,"€ 4,44","€ 5,55","1 kg = 8,88","1 kg = 8,88","Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,BLS-G450100,ref_000010,obs_0000007314|obs_0000001516|obs_0000006414,obs_0000007314|obs_0000001516,,
Käsescheiben,Leerdammer,"€ 1,49","€ 2,89","pro Einheit = 14,90","pro Einheit = 14,90","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_011.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000011,obs_0000031123|obs_0000025206|obs_0000017666|obs_0000020870|obs_0000027787|obs_0000025113|obs_0000018205|obs_0000001181|obs_0000002335|obs_0000027170|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000024639|obs_0000022214|obs_0000033991|obs_0000002763|obs_0000020051|obs_0000000993|obs_0000002664|obs_0000026217|obs_0000021231|obs_0000016774|obs_0000017161|obs_0000004115|obs_0000000405|obs_0000014493|obs_0000019487|obs_0000020768|obs_0000007977|obs_0000019371|obs_0000017591|obs_0000004542|obs_0000021823|obs_0000032080|obs_0000021587|obs_0000032339|obs_0000018774|obs_0000029794|obs_0000004969|obs_0000002160|obs_0000026864|obs_0000025207|obs_0000007162|obs_0000006286|obs_0000026787|obs_0000026584|obs_0000007170|obs_0000007782,obs_0000017666|obs_0000020870|obs_0000027787|obs_0000031123|obs_0000025113|obs_0000018205|obs_0000001181|obs_0000002335|obs_0000027170|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000024639|obs_0000022214|obs_0000033991|obs_0000002763|obs_0000032080|obs_0000020051|obs_0000032339|obs_0000000993|obs_0000029794|obs_0000002664|obs_0000026217|obs_0000021231|obs_0000025206,,
Biere,Mönchshof,"€ 12,99","€ 17,99","1 l = 1,30","1 l = 1,30",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_012.jpg,"cat_getraenke,diet_vegetarian",,BLS-D610200,ref_000012,obs_0000026248|obs_0000026342|obs_0000028040|obs_0000027520,obs_0000026248|obs_0000028040,,
Kombikiste,Coca-Cola,"€ 11,97","€ 15,99","1 l = 1,00","1 l = 1,00","versch. Sorten, teilw. koffeinhaltig Mit dem Coupon in deiner Netto plus App 2 Flaschen GRATIS (Einzelpreis: 1.49 zzgl. Pfand 0.15)",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_014.jpg,"cat_getraenke,tag_proteinreich,tag_ultra_processed",,,ref_000014,obs_0000027714,obs_0000027714,,
Marken-Metzger Salami-Sortiment,Keine Marke,"€ 1,29","€ 1,79","1 kg = 12,90","1 kg = 12,90",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_015.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000015,obs_0000026159|obs_0000028069|obs_0000002611|obs_0000010316|obs_0000014932|obs_0000019030|obs_0000028273|obs_0000005781|obs_0000023205|obs_0000003239|obs_0000019666|obs_0000016602|obs_0000008425|obs_0000021226|obs_0000003307|obs_0000002285|obs_0000011010|obs_0000025355|obs_0000026898|obs_0000010234|obs_0000017184|obs_0000007987|obs_0000025934|obs_0000008039|obs_0000016755|obs_0000034176|obs_0000002957|obs_0000020407|obs_0000016328|obs_0000017375|obs_0000031198,obs_0000026159|obs_0000028069,,
