Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Tulip Bacon XXL,Keine Marke,"€ 4,44",,"1 kg = 11,84",je 3 x 125-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_001.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000001,obs_0000032484|obs_0000032047|obs_0000023768|obs_0000024192|obs_0000025976|obs_0000001018|obs_0000001019|obs_0000011008|obs_0000012763|obs_0000012775|obs_0000013967|obs_0000014146|obs_0000026814,obs_0000032047|obs_0000032484
Cards,Kinder,"€ 2,22",,"1 kg = 17,34","je 5 x 25,6-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_197.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,ref_000002,obs_0000011558|obs_0000023383|obs_0000006384|obs_0000010291|obs_0000008306|obs_0000001430|obs_0000028148|obs_0000033280|obs_0000005282,obs_0000011558|obs_0000023383
Schokololli-Hasen,REWE Beste Wahl,"€ 0,99",,"1 kg = 43,04","versch. Sorten, je 23-g-Btl.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_196.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000003,,
Bueno,Kinder,"€ 1,99",,"1 kg = 15,43","je 6 x 21,5-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_195.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,ref_000004,obs_0000015458|obs_0000024693|obs_0000010946|obs_0000013542|obs_0000023306|obs_0000022888|obs_0000006582|obs_0000012221|obs_0000021588|obs_0000006233|obs_0000030306|obs_0000007287|obs_0000033011|obs_0000032006|obs_0000017164|obs_0000020769|obs_0000015141|obs_0000025406|obs_0000029007|obs_0000019282|obs_0000005472|obs_0000018371|obs_0000022487|obs_0000010212|obs_0000016368|obs_0000026264|obs_0000018796|obs_0000009131|obs_0000010193|obs_0000017407|obs_0000028142,obs_0000006233|obs_0000015458|obs_0000024693|obs_0000010946|obs_0000013542|obs_0000023306|obs_0000005472|obs_0000022888|obs_0000006582|obs_0000012221
Küsschen,Ferrero,"€ 2,39",,"1 kg = 13,43",je 178-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_194.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,BLS-D440500,ref_000005,obs_0000033892|obs_0000012388|obs_0000028524|obs_0000028639|obs_0000024703|obs_0000019298|obs_0000005652|obs_0000007279|obs_0000032119|obs_0000028144|obs_0000012387|obs_0000015291,obs_0000005652|obs_0000033892|obs_0000012388
After Eight,Nestl,"€ 2,29",,"1 kg = 11,45",je 200-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_193.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,ref_000006,obs_0000006576|obs_0000019693|obs_0000024899|obs_0000018327|obs_0000008691|obs_0000005470|obs_0000032156|obs_0000032700|obs_0000030673,obs_0000005470|obs_0000006576
Funny-frisch Frit-Sticks,Keine Marke,"€ 0,99",,"1 kg = 9,90","ungarisch, je 100-g-Btl.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_192.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000007,obs_0000014804|obs_0000015885,
Osterhase,REWE Beste Wahl,"€ 0,99",,"1 kg = 14,14","versch. Sorten, je 70-g-St.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_199.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,ref_000008,obs_0000024716|obs_0000024717|obs_0000001703|obs_0000001708|obs_0000013811|obs_0000013777,obs_0000024716|obs_0000024717|obs_0000001703|obs_0000001708|obs_0000013811
Erdnuß Locken,Lorenz,"€ 1,11",,"1 kg = 7,40","Western Style, je 150-g-Btl.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_191.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000009,obs_0000002833|obs_0000007702|obs_0000006042,obs_0000002833|obs_0000006042|obs_0000013617
DeBeukelaer Prinzen Rolle,Keine Marke,"€ 1,69",,"1 kg = 4,80","Vollkorn, je 352-g-Rolle",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_189.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000010,obs_0000007285|obs_0000005280|obs_0000006232|obs_0000030670|obs_0000030672|obs_0000000439|obs_0000033650|obs_0000003067|obs_0000004169|obs_0000004596|obs_0000005023|obs_0000025729|obs_0000027884|obs_0000031709|obs_0000026331,obs_0000005280|obs_0000006232|obs_0000007285|obs_0000030670|obs_0000030672
Elit Dubaischokolade Riegel,Keine Marke,"€ 1,99",,"1 kg = 66,33",je 30-g-Riegel,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_188.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",bamberg,,ref_000011,obs_0000029006|obs_0000033364|obs_0000010357|obs_0000011786|obs_0000012676|obs_0000013851|obs_0000014601|obs_0000015457|obs_0000016822|obs_0000016928|obs_0000017107|obs_0000019932|obs_0000022867|obs_0000025377|obs_0000030996,obs_0000029006
Funny-frisch Jumpys,Keine Marke,"€ 0,99",,"1 kg = 13,20","Paprika, je 75-g-Btl.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_187.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000012,obs_0000006736|obs_0000007283|obs_0000007289|obs_0000007696|obs_0000007704|obs_0000029688|obs_0000030305|obs_0000030674|obs_0000032121|obs_0000032692|obs_0000005473|obs_0000006032|obs_0000006046,
Überraschung Maxi-Ei,Kinder,"€ 2,99",,"1 kg = 29,90","versch. Sorten, je 100-g-St.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_186.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,ref_000013,obs_0000024695|obs_0000019990|obs_0000013973|obs_0000015038|obs_0000023378|obs_0000012861|obs_0000030986|obs_0000026635|obs_0000027668|obs_0000034715|obs_0000028087,obs_0000024695
Smarties oder Kitkat Osterhase,Nestl,"€ 1,79",,"1 kg = 21,06",je 85-g-St.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_185.jpg,"cat_knabbern_naschen,tag_ultra_processed",bamberg,,ref_000014,obs_0000012395|obs_0000016824|obs_0000017118|obs_0000019413|obs_0000028765|obs_0000012665|obs_0000024716|obs_0000024717|obs_0000001703|obs_0000001708|obs_0000011381|obs_0000013811|obs_0000013891|obs_0000015030|obs_0000016128,
Lindt Blätterkrokant,Keine Marke,"€ 3,49",,"1 kg = 41,06",je 85-g-Btl.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_184.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,ref_000015,obs_0000032173|obs_0000016532|obs_0000017518|obs_0000018634|obs_0000022122,obs_0000032173
