Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Fruchtgummi,Katjes,"€ 0,99",,"1 kg = 4,71","1 kg = 4,71","versch. Sorten, je 210-g-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_001.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,BLS-S361000,ref_000001,obs_0000031302|obs_0000006380|obs_0000029422|obs_0000006916|obs_0000017027|obs_0000001930|obs_0000002314|obs_0000019082|obs_0000019722|obs_0000002318|obs_0000020367|obs_0000002320|obs_0000021394|obs_0000024204|obs_0000016918|obs_0000025361|obs_0000016298|obs_0000020778|obs_0000025134|obs_0000020787|obs_0000021688|obs_0000025528|obs_0000011323|obs_0000021186|obs_0000013647|obs_0000016719|obs_0000014289|obs_0000017102|obs_0000017103|obs_0000027215|obs_0000027602|obs_0000021597|obs_0000020575|obs_0000023776|obs_0000021606|obs_0000023399|obs_0000010105|obs_0000002943,obs_0000031302|obs_0000006380|obs_0000029422|obs_0000010105,x,
Knax Gewürzgurken,Hengstenberg,"€ 1,79",,"1 kg = 4,97","1 kg = 4,97","knackig und würzig, je 670-g-Glas, 360 g Abtropfgewicht",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_176.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,,,ref_000002,obs_0000029677|obs_0000001198|obs_0000015842|obs_0000028552|obs_0000033813|obs_0000028669,obs_0000001198|obs_0000015842|obs_0000029677,x,
Thunfisch-Salat,Saupiquet,"€ 2,29",,"1 kg = 14,31","1 kg = 14,31","versch. Sorten, je 160-g-Dosen-Pckg",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_177.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000003,obs_0000029303|obs_0000032053|obs_0000032672|obs_0000006829|obs_0000011810|obs_0000031813|obs_0000009827|obs_0000019063|obs_0000009368|obs_0000008366|obs_0000001218|obs_0000014193|obs_0000026575|obs_0000015841|obs_0000029304|obs_0000034620|obs_0000013927|obs_0000013452|obs_0000015656|obs_0000014147|obs_0000025985,obs_0000011810|obs_0000031813|obs_0000009827|obs_0000029303|obs_0000019063|obs_0000009368|obs_0000006829|obs_0000008366|obs_0000001218|obs_0000032053|obs_0000014193|obs_0000032672|obs_0000026575|obs_0000015841,x,
Curry-Gewürzketchup,Hela,"€ 1,49",,"1 l = 4,97","1 l = 4,97","delikat, je 300-ml-Fl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_178.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,BLS-R141200,ref_000004,obs_0000032397,obs_0000032397|obs_0000026532,x,
Feinschmecker Sauce,Knorr,"€ 0,79",,"pro Einheit = 0,79","pro Einheit = 0,79","versch. Sorten, ausreichend für 250 ml, je 1-Btl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_179.jpg,"cat_grundnahrung,tag_ultra_processed",bamberg,,,ref_000005,obs_0000015002|obs_0000031025|obs_0000010700|obs_0000028755|obs_0000006481|obs_0000029302|obs_0000032117|obs_0000013386|obs_0000034889|obs_0000011915|obs_0000010474|obs_0000008982|obs_0000007181|obs_0000005743|obs_0000032425|obs_0000007368,obs_0000007182|obs_0000005744|obs_0000029302|obs_0000015000|obs_0000015002|obs_0000007371|obs_0000031022|obs_0000031025|obs_0000006482|obs_0000012659|obs_0000032117|obs_0000010698|obs_0000010700,,
Hellmann s Chunky Burger Sauce oder Mayonnaise Die Cremige,BÜRGER,"€ 1,49",,"1 l = 5,96","1 l = 5,96",je 250-ml-Fl.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_180.jpg,"cat_grundnahrung,diet_vegetarian",bamberg,,,ref_000006,obs_0000031023|obs_0000006311|obs_0000015657|obs_0000010674|obs_0000001763|obs_0000015844,,x,
Thunfisch Filets,followfood,"€ 2,79",,"1 kg = 21,46","1 kg = 21,46","in eigenem Saft, je 185-g-Dosen-Pckg, 130 g Abtropfgewicht",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_181.jpg,"cat_grundnahrung,diet_lactose_free,tag_ultra_processed",bamberg,,,ref_000007,obs_0000031286|obs_0000032675|obs_0000006130|obs_0000019499|obs_0000024173|obs_0000020625|obs_0000022192|obs_0000023751|obs_0000025801|obs_0000010669|obs_0000022972|obs_0000021444|obs_0000031505|obs_0000002838|obs_0000003020|obs_0000013927|obs_0000013452|obs_0000015656|obs_0000014147,obs_0000031286|obs_0000032675|obs_0000006130,x,
Rote Pfeffersoße,Tabasco,"€ 1,99",,"1 l = 33,17","1 l = 33,17",je 60-ml-Fl.,Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_182.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000008,obs_0000008377,,x,
Altmeister Essig,Hengstenberg,"€ 1,11",,"1 l = 1,23","1 l = 1,23","Der Klassiker, je 900-ml-Fl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_183.jpg,"cat_grundnahrung,diet_gluten_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000009,obs_0000005370|obs_0000013504|obs_0000014540|obs_0000015850,obs_0000013504|obs_0000014540|obs_0000005370,x,
Essig Essenz,Hengstenberg,"€ 1,11",,"1 kg = 1,46","1 kg = 1,46","naturvergoren, je 760-g-Fl.",Nein,2026-04-20 bis 2026-04-26,2026-04-20,2026-04-26,../images/rewe/bamberg_offer_185.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000010,obs_0000019760|obs_0000016432|obs_0000005370|obs_0000015850,,x,
