Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Kaninchen,Kaninchen,"€ 1,79",,"pro Einheit = 2,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_001.jpg,"cat_fleisch_wurst,tag_ultra_processed",,,ref_000001,obs_0000033730|obs_0000028580|obs_0000028702|obs_0000030273|obs_0000018661|obs_0000021991|obs_0000015403|obs_0000017741|obs_0000023632|obs_0000030195|obs_0000007828|obs_0000016792|obs_0000032576,obs_0000033730|obs_0000028580|obs_0000028702
Skrei-Winterkabeljaufilet,Skrei-Winterkabeljaufilet,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_003.jpg,cat_fisch_meeresfruechte,,,ref_000002,,
Bio-Lachsfilet,Bio-Lachsfilet,"€ 3,99",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_004.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich,tag_whole_food",,,ref_000003,obs_0000033948|obs_0000027591|obs_0000023816|obs_0000023817|obs_0000024237|obs_0000024238|obs_0000008391|obs_0000034280|obs_0000010175|obs_0000028347|obs_0000014208|obs_0000007205|obs_0000031809|obs_0000010613,obs_0000000830|obs_0000033948
Corte Parma Aperitivo Emiliano,Corte Parma Aperitivo Emiliano,"€ 4,99",,"pro Einheit = 6,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_005.jpg,cat_getraenke,,,ref_000004,obs_0000013069|obs_0000008990|obs_0000020899|obs_0000003633|obs_0000009522|obs_0000008244|obs_0000021836|obs_0000010091|obs_0000020080|obs_0000003572|obs_0000015485|obs_0000009984,
Sauce Hollandaise,Lukull,"€ 1,79",,"pro Einheit = 2,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,,cat_grundnahrung,,BLS-U990400,ref_000005,obs_0000034898|obs_0000015434|obs_0000031029|obs_0000032237|obs_0000006127|obs_0000013386|obs_0000028755|obs_0000034889|obs_0000034901|obs_0000011915|obs_0000010474|obs_0000008982|obs_0000032425,obs_0000015434|obs_0000034898|obs_0000031029|obs_0000032237|obs_0000006127
T te de Moine,T te de Moine,"€ 12,90",,"pro Einheit = 17,90",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_007.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000006,obs_0000004697|obs_0000003688|obs_0000002673|obs_0000002207|obs_0000004270|obs_0000000226|obs_0000003843|obs_0000019261|obs_0000016731|obs_0000017266|obs_0000017302|obs_0000016893|obs_0000006804|obs_0000007339|obs_0000007553|obs_0000015808,obs_0000004697|obs_0000003688|obs_0000002673|obs_0000002207|obs_0000004270|obs_0000000226|obs_0000003843|obs_0000019261|obs_0000016731|obs_0000017266|obs_0000017302|obs_0000016893
Bio-Lammkotelett,Bio-Lammkotelett,"€ 4,99",,"pro Einheit = 5,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_008.jpg,"cat_obst_gemuese,diet_vegetarian,tag_ultra_processed",,,ref_000007,,
Quiche mit Lachs und Spinat,Quiche mit Lachs und Spinat,"€ 2,49",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_009.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,sub_tk_gemuese,tag_high_protein,tag_proteinreich",,,ref_000008,obs_0000034354|obs_0000034955|obs_0000023994|obs_0000024416|obs_0000018515|obs_0000020605|obs_0000034939|obs_0000022918|obs_0000021424|obs_0000033739|obs_0000025711|obs_0000022077|obs_0000026393,obs_0000034955|obs_0000034354
Rinderfilet,Rinderfilet,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_010.jpg,"cat_fisch_meeresfruechte,sub_rind,tag_high_protein,tag_proteinreich,tag_ultra_processed",,,ref_000009,obs_0000009729|obs_0000031469|obs_0000030832|obs_0000028851|obs_0000011445|obs_0000018165|obs_0000019724|obs_0000001638|obs_0000001010|obs_0000001945|obs_0000014910|obs_0000008496,obs_0000009729|obs_0000031469|obs_0000030832|obs_0000028851|obs_0000011445|obs_0000018165
Käserebellen Bio-Wiesen-Rebell,Naturland,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_011.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegetarian,sub_kaese,sub_milchprodukte",,,ref_000010,obs_0000034574,obs_0000034574
Kalbsfilet,Kalbsfilet,"€ 4,99",,"pro Einheit = 5,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_012.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,sub_rind,tag_high_protein,tag_proteinreich",,BLS-U333100,ref_000011,,
Urtyp Rohschinken,Urtyp Rohschinken,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_013.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000012,obs_0000031618|obs_0000017419|obs_0000018745,
Jurassic,Jurassic,"€ 2,49",,"pro Einheit = 3,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000013,,
Atlantik Graved Lachs,Friedrichs,"€ 4,79",,"1 kg = 47,90",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_015.jpg,"cat_fisch_meeresfruechte,tag_high_protein,tag_proteinreich",,,ref_000014,obs_0000034553|obs_0000018883|obs_0000034939|obs_0000033739,obs_0000034553
Lammlachs,Lammlachs,"€ 3,49",,"pro Einheit = 4,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_016.jpg,"cat_fisch_meeresfruechte,tag_proteinreich",,,ref_000015,obs_0000029793|obs_0000008031|obs_0000015750|obs_0000033725|obs_0000030786|obs_0000031454,obs_0000029793|obs_0000008031
Bio-Steinsalzkäse,Bio-Steinsalzkäse,"€ 2,49",,"pro Einheit = 2,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_017.jpg,"cat_molkerei_kaese,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000016,obs_0000033974|obs_0000029147,obs_0000033974
Bio-Lamm,Bio-Lamm,"€ 4,99",,"pro Einheit = 5,79",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_018.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000017,obs_0000033726|obs_0000034323,
Coburger Bio-Brietorte,Bioland,"€ 1,49",,"pro Einheit = 1,49",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_019.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian",,,ref_000018,,
Bio-Familienbaguette,Naturland Herzberger,"€ 2,99",,"1 kg = 7,48",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_020.jpg,"cat_grundnahrung,diet_vegetarian",,,ref_000019,obs_0000034488|obs_0000034705,obs_0000034488|obs_0000034705
Osterstrauß,Osterstrauß,"€ 14,99",,"pro Einheit = 14,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/tegut/tegut_offer_021.jpg,"cat_non_food,tag_ultra_processed",,,ref_000020,,
