Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Schweinerückensteak natur,Schweinerückensteak natur,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_001.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_vegetarian,sub_schwein,tag_high_protein,tag_proteinreich",,,ref_000001,obs_0000028889|obs_0000001347|obs_0000009644,,,
Nutella,Ferrero,"€ 6,00",,"1 kg = 6,67","1 kg = 6,67",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_002.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed",,,ref_000002,obs_0000017649|obs_0000018181|obs_0000022348|obs_0000019310|obs_0000033678|obs_0000000918|obs_0000024686|obs_0000032403|obs_0000023311|obs_0000032100|obs_0000022500|obs_0000018501|obs_0000022091|obs_0000026750|obs_0000026249|obs_0000001187|obs_0000016611|obs_0000017196|obs_0000014128|obs_0000017239|obs_0000017241|obs_0000016258|obs_0000027533|obs_0000016787|obs_0000017850|obs_0000001525|obs_0000001529|obs_0000008340|obs_0000007026|obs_0000016475|obs_0000027761|obs_0000002746|obs_0000014101|obs_0000027589|obs_0000029028,obs_0000024686|obs_0000032403|obs_0000017649|obs_0000018181|obs_0000023311|obs_0000022348|obs_0000032100|obs_0000019310|obs_0000007026|obs_0000033678|obs_0000000918|obs_0000022500,,
Bio-Emmentaler,Herz,"€ 1,49",,"pro Einheit = 1,49","pro Einheit = 1,49",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_003.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_whole_food",,,ref_000003,obs_0000009063|obs_0000025531|obs_0000001559|obs_0000010030|obs_0000018426|obs_0000018479|obs_0000002340|obs_0000003417|obs_0000022007|obs_0000022237|obs_0000031831|obs_0000031880|obs_0000032320,,,
Schneidebrett Bambus,Schneidebrett Bambus,"€ 17,99",,"pro Einheit = 44,99","pro Einheit = 44,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_004.jpg,cat_getraenke,,,ref_000004,obs_0000016021|obs_0000019618|obs_0000019369|obs_0000033206|obs_0000028914|obs_0000023549,,,
natürliches Mineralwasser,Volvic Naturelle,"€ 3,99",,"1 l = 0,44","1 l = 0,44",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_005.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,BLS-N120000,ref_000005,obs_0000034726|obs_0000027400|obs_0000026443|obs_0000005642|obs_0000006724|obs_0000006220|obs_0000006227|obs_0000005270|obs_0000006372|obs_0000007468|obs_0000005459|obs_0000007093|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603,obs_0000027400|obs_0000026443|obs_0000034726,,
Bio-Kleiner Rhöner,Herzberger,"€ 2,22",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_006.jpg,"cat_getraenke,diet_vegetarian",,,ref_000006,,,,
Kochmesser,Kochmesser,"€ 11,99",,"pro Einheit = 49,99","pro Einheit = 49,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_007.jpg,"cat_non_food,diet_vegetarian,sub_milchprodukte",,,ref_000007,obs_0000028773,obs_0000028773,,
Rotbarschfilet,Rotbarschfilet,"€ 2,79",,"pro Einheit = 2,79","pro Einheit = 2,79",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_008.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich",,BLS-Y6A3010,ref_000008,obs_0000034704|obs_0000034486|obs_0000015370|obs_0000006676|obs_0000024046|obs_0000028719|obs_0000024467,obs_0000015370|obs_0000034704|obs_0000006676|obs_0000034486,,
Nüsse,Ültje,"€ 1,49",,"1 kg = 8,28","1 kg = 8,28",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_009.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_high_protein,tag_proteinreich",,BLS-D733100,ref_000009,obs_0000016436|obs_0000032698,,,
Grillpfanne,KitchenAid,"€ 37,99",,"pro Einheit = 129,99","pro Einheit = 129,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_010.jpg,cat_non_food,,,ref_000010,obs_0000024741|obs_0000015583,,,
