Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Sportschuhe,Sportschuhe,"€ 12,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_001.jpg
Discreet Complete Protection,Always,"€ 6,49",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_002.jpg
Stretch-Jeans,UP2FASHION,"€ 5,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_003.jpg
Almighurt,Ehrmann,"€ 0,39",,"0,89 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_004.jpg
Himbeeren,Himbeeren,"€ 1,59",,"2,39 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_005.jpg
Paprika rot,Paprika rot,"€ 1,49",,"1,79 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_006.jpg
Karotten,Karotten,"€ 1,29",,kg-Preis 0.65,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_007.jpg
Mandarinen kernlos,Mandarinen kernlos,"€ 1,79",,"2,19 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_008.jpg
Brokkoli,Brokkoli,"€ 0,99",,1 kg = 1.98,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_009.jpg
Kiwi grün,Kiwi grün,"€ 0,25",,"0,49 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_010.jpg
Mini-Romana-Salatherzen,Mini-Romana-Salatherzen,"€ 0,75",,"0,89 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_011.jpg
Bio-Hackfleisch gemischt,Bio-Hackfleisch gemischt,"€ 4,69",,"6,19 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_012.jpg
Hähnchen-Innenfilets,Meine Metzgerei,"€ 3,99",,9.98 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_013.jpg
Schweinefilet,MEINE METZGEREI,"€ 5,49",,"7,14 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,
Rumpsteak,Fair Gut,"€ 5,99",,"7,31 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_015.jpg
Chicken-Nuggets,Meine Metzgerei,"€ 4,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_016.jpg
Bio-Landhähnchen-Flügel,Naturland,"€ 2,39",,"2,99 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_017.jpg
Minutensteaks,Meine Metzgerei,"€ 3,29",,"3,99 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_018.jpg
Hamburger,FAIR GUT,"€ 4,69",,"5,79 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_019.jpg
Almighurt Erdbeere,Ehrmann,"€ 0,39",,kg-Preis 2.60,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_020.jpg
