Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Primitivo Salento,Galadino,"€ 2,19",,"3,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_001.jpg,cat_getraenke
Homewear,UP2FASHION,"€ 7,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_002.jpg,cat_non_food
Backfisch-Stäbchen,Iglo,"€ 2,22",,"4,49 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_003.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte,tag_ultra_processed"
Fahrradkorb,Aldi,"€ 6,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_004.jpg,cat_non_food
OSTERBACKEN ZUM SPARPREIS,OSTERBACKEN ZUM SPARPREIS,"€ 0,99",,kg-Preis 9.90,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_005.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed"
Orangen,Orangen,"€ 2,49",,"2,99 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Erdbeeren,Erdbeeren,"€ 2,99",,"3,33 €",,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Kiwi grün,Kiwi grün,"€ 0,29",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
Avocado,Avocado,"€ 0,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_009.jpg,"cat_getraenke,tag_ultra_processed"
Rispentomaten lose,Rispentomaten lose,"€ 1,79",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
