Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Duschtuch oder Handtücher,Duschtuch oder Handtücher,"€ 6,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_001.jpg,cat_drogerie,,ref_000001,obs_0000001382|obs_0000004187|obs_0000014574|obs_0000014604|obs_0000000309|obs_0000002488|obs_0000004614|obs_0000011604|obs_0000011605|obs_0000024024|obs_0000003760|obs_0000001734,
Blätterteig-Minis,GOURMET FINEST CUISINE,"€ 1,79",,"2,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_002.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_gefluegel,tag_proteinreich,tag_ultra_processed",BLS-D072000,ref_000002,obs_0000001545|obs_0000014426|obs_0000026718|obs_0000026841|obs_0000010531|obs_0000024949|obs_0000014716|obs_0000021052|obs_0000021517|obs_0000023754|obs_0000023927|obs_0000011840|obs_0000018005|obs_0000026223|obs_0000018066|obs_0000026534,obs_0000001545
Spaghetti,Cucina,"€ 1,19",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_003.jpg,"cat_grundnahrung,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_nudeln",,ref_000003,obs_0000004120|obs_0000003693|obs_0000001286|obs_0000000270|obs_0000004547|obs_0000031284|obs_0000018560|obs_0000008601|obs_0000019379|obs_0000021433|obs_0000021054|obs_0000019601|obs_0000022704|obs_0000009981|obs_0000022278|obs_0000017693|obs_0000019744|obs_0000002362|obs_0000023873|obs_0000018782|obs_0000031681|obs_0000020938|obs_0000020441|obs_0000018925|obs_0000026684|obs_0000025222|obs_0000021166|obs_0000003250|obs_0000026804|obs_0000003266|obs_0000002423|obs_0000025599|obs_0000010811|obs_0000021390|obs_0000011386,obs_0000004120|obs_0000031284|obs_0000003693|obs_0000018560|obs_0000001286|obs_0000000270|obs_0000008601|obs_0000019379|obs_0000021433|obs_0000004547
Pflanzturm mit 4 Etagen,Belavi,"€ 4,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_004.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian",,ref_000004,,
Osterbaumstamm,Oster-Piazza,"€ 0,95",,9.50 €/kg,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_005.jpg,"cat_non_food,tag_ultra_processed",,ref_000005,,
Gurke,Gurke,"€ 0,55",,"0,79 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",BLS-G520100,ref_000006,obs_0000031985|obs_0000025220|obs_0000002349|obs_0000003482|obs_0000024254|obs_0000032202|obs_0000007989|obs_0000025782|obs_0000009918|obs_0000012955|obs_0000012160|obs_0000012964|obs_0000011658|obs_0000028047|obs_0000006963,obs_0000025220|obs_0000002349|obs_0000031985|obs_0000003482|obs_0000024254
Trauben dunkel kernlos,Trauben dunkel kernlos,"€ 1,49",,"1,65 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000007,obs_0000001071|obs_0000000879|obs_0000023716|obs_0000019239|obs_0000000053|obs_0000025911|obs_0000023615|obs_0000025669|obs_0000024265|obs_0000020058,
Heidelbeeren,kleine SCHÄTZE,"€ 1,99",,kg-Preis 13.27,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",BLS-F304100,ref_000008,obs_0000027265|obs_0000017668|obs_0000007175|obs_0000028687|obs_0000026387|obs_0000031382|obs_0000025629|obs_0000029987|obs_0000031146|obs_0000002605|obs_0000000051|obs_0000000695|obs_0000024503|obs_0000002874|obs_0000025915|obs_0000023511|obs_0000023896|obs_0000029790|obs_0000002786|obs_0000031586|obs_0000028389|obs_0000032207|obs_0000000880|obs_0000015224|obs_0000024825|obs_0000020878|obs_0000031783|obs_0000028599|obs_0000028265|obs_0000029046|obs_0000006404|obs_0000004906|obs_0000005295|obs_0000006574|obs_0000006589|obs_0000005311|obs_0000005478|obs_0000005499|obs_0000005680,obs_0000027265|obs_0000017668|obs_0000007175|obs_0000028687|obs_0000026387|obs_0000031382|obs_0000025629|obs_0000029987|obs_0000031146|obs_0000002605|obs_0000000051|obs_0000000695|obs_0000024503|obs_0000002874|obs_0000025915|obs_0000023511|obs_0000023896|obs_0000029790|obs_0000002786|obs_0000031586|obs_0000028389|obs_0000032207|obs_0000000880|obs_0000015224|obs_0000024825
Äpfel Elstar,Äpfel Elstar,"€ 1,49",,"1,79 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000009,obs_0000000881|obs_0000015235|obs_0000016649|obs_0000026122|obs_0000031395|obs_0000024361|obs_0000002348|obs_0000001075|obs_0000002747|obs_0000015425|obs_0000020295|obs_0000025928|obs_0000023115|obs_0000002901|obs_0000031999|obs_0000025569|obs_0000024804|obs_0000025319|obs_0000025850|obs_0000020736,obs_0000000881
Brokkoli,Brokkoli,"€ 0,75",,kg-Preis 1.50,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",BLS-G312100,ref_000010,obs_0000000502|obs_0000020428|obs_0000025326|obs_0000018299|obs_0000022631|obs_0000009239|obs_0000031390|obs_0000031647|obs_0000008768|obs_0000031777|obs_0000026905|obs_0000005862|obs_0000005102|obs_0000031988|obs_0000005879|obs_0000005113|obs_0000005304,obs_0000020428|obs_0000025326|obs_0000000502|obs_0000018299
Spargel weiß,Spargel weiß,"€ 3,39",,"4,44 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_011.jpg,"cat_getraenke,diet_gluten_free,diet_vegan,diet_vegetarian,tag_whole_food",BLS-G450100,ref_000011,obs_0000006760,obs_0000006760
Prime Burger,Meine Metzgerei Taste of British Isles,"€ 3,29",,"3,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_012.jpg,"cat_fleisch_wurst,tag_proteinreich",,ref_000012,obs_0000000980|obs_0000022134,obs_0000000980
Gulasch,Meine Metzgerei,"€ 6,99",,"7,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_aldi/aldi_offer_013.jpg,"cat_fleisch_wurst,sub_schwein,tag_proteinreich",BLS-Y341023,ref_000013,obs_0000000644|obs_0000000645|obs_0000001197|obs_0000000702|obs_0000000888|obs_0000000631|obs_0000002317|obs_0000002352|obs_0000003024|obs_0000006687|obs_0000008739|obs_0000025638|obs_0000004139|obs_0000007763|obs_0000028760|obs_0000026735|obs_0000029309|obs_0000003712|obs_0000024228|obs_0000027417|obs_0000000285|obs_0000002876|obs_0000005764|obs_0000029050|obs_0000012688|obs_0000029077|obs_0000004566|obs_0000028643|obs_0000027120|obs_0000020017|obs_0000023602|obs_0000028227|obs_0000015963|obs_0000022670|obs_0000028319|obs_0000017569|obs_0000027311|obs_0000022242|obs_0000028403|obs_0000019198|obs_0000018203|obs_0000023375|obs_0000024943|obs_0000017286|obs_0000012717|obs_0000030149|obs_0000026066|obs_0000027306|obs_0000028996|obs_0000005030,obs_0000000631|obs_0000000644|obs_0000000645|obs_0000001197|obs_0000000702|obs_0000000888
