Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Schoko & Gelee,CHOCEUR,"€ 1,49","€ 1,99","Je 250-g-Packung, kg-Preis 5.96",-25 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_001.png
Erdnuss-Flips,SUNSNACKS,"€ 0,79","€ 0,99","Classic, je 200-g-Packung, kg-Preis 3.95",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_002.png
Erdnüsse in der Schale,FARMER NATURALS,"€ 1,49","€ 2,29","Je 400-g-Packung, kg-Preis 3.73",-34 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_003.png
Pinienkerne,FARMER NATURALS,"€ 1,29","€ 2,29","Naturbelassen, je 50-g-Packung,
kg-Preis 25.80",-43 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_004.png
Cashew-Peanut-Mix,FARMER,"€ 1,99","€ 2,49","Honig & Salz oder Hot Chili, je 200-g-Packung, kg-Preis 9.95",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_005.png
2024 Fuga Primitivo Puglia IGP,Keine Marke,"€ 3,19","€ 4,99",Kein Mengenpreis,-36 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_006.png
Frischwurst-Aufschnitt,GUT DREI EICHEN,"€ 0,99","€ 1,29","Verschiedene Sorten, je 200-g-Packung,
kg-Preis 4.95",-23 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_007.png
Pizzeria-Pizza,PIZZ’AH,"€ 2,79","€ 3,49","Spinaci, je 2 x 390 g = 780-g-Packung,
kg-Preis 3.58",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_008.png
Pizzeria-Pizza,PIZZ’AH,"€ 2,79","€ 3,49","Funghi, je 2 x 365 g = 730-g-Packung,
kg-Preis 3.82",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_009.png
Pizzeria-Pizza,PIZZ’AH,"€ 2,79","€ 3,49","Mozzarella oder Thunfisch, je 2 x 355 g = 710-g-Packung, kg-Preis 3.93",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_010.png
Pizzeria-Pizza,PIZZ’AH,"€ 2,79","€ 3,49","Diavolo, je 2 x 350 g = 700-g-Packung,
kg-Preis 3.99",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_011.png
Pizzeria-Pizza,PIZZ’AH,"€ 2,79","€ 3,49","Speciale, je 2 x 345 g = 690-g-Packung,
kg-Preis 4.04",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_012.png
Pizzeria-Pizza,PIZZ’AH,"€ 2,79","€ 3,49","4-Käse oder Prosciutto, je 2 x 340 g = 680-g-Packung, kg-Preis 4.10",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_013.png
Schmand,MILSANI,"€ 0,69","€ 0,89","24 % Fett, je 200-g-Becher, kg-Preis 3.45",-22 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_014.png
Kondensmilch,MILSANI,"€ 0,59","€ 0,79","4 % Fett, je 340-g-Packung, kg-Preis 1.74",-25 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_015.png
Kondensmilch,MILSANI,"€ 0,69","€ 0,89","7,5 % Fett, je 340-g-Packung, kg-Preis 2.03",-22 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_016.png
Kondensmilch,MILSANI,"€ 0,79","€ 0,99","10 % Fett, je 340-g-Packung, kg-Preis 2.32",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_017.png
Filoncino,GOURMET FINEST CUISINE,"€ 1,39","€ 1,89","Natur oder Walnuss-Honig, je 400-g-Packung,
kg-Preis 3.48",-26 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_021.png
Bio-Kapern,GOURMET FINEST CUISINE,"€ 2,79","€ 3,49","In Olivenöl oder in Olivenöl mit Knoblauch,
je 180-g-Glas, kg-Preis 15.50",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_022.png
Alaska-Wildfisch,GOURMET FINEST CUISINE,"€ 2,39","€ 2,99","Verschiedene Sorten, je 170-g-Packung,
kg-Preis 14.06",-20 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_023.png
Festtagssauce,GOURMET FINEST CUISINE,"€ 1,11","€ 1,69","Verschiedene Sorten, enthält teils Alkohol,
je 340-g-Packung, kg-Preis 3.26",-34 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_024.png
Gefüllte Gnocchi,GOURMET FINEST CUISINE,"€ 1,49","€ 1,99","Trüffel oder Tomate-Mozzarella,
je 400-g-Packung, kg-Preis 3.73",-25 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_025.png
Tomatenpaste,GOURMET FINEST CUISINE,"€ 0,89","€ 1,19","Verschiedene Sorten, je 200-g-Tube,
kg-Preis 4.45",-25 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_026.png
Herzogin-Kartoffeln,GOURMET FINEST CUISINE,"€ 1,19","€ 1,69","Je 600-g-Packung, kg-Preis 1.98",-29 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_027.png
Maronen,GOURMET FINEST CUISINE,"€ 2,49","€ 3,39","Ganz, gegart und geschält, je 210-g-Glas,
kg-Preis 11.86",-26 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_028.png
Preiselbeer-Variationen,GOURMET FINEST CUISINE,"€ 1,29","€ 1,69","Verschiedene Sorten, je 200-g-Glas,
kg-Preis 6.45",-23 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_029.png
Pistazien-Creme,GOURMET FINEST CUISINE,"€ 2,59","€ 2,99","Ohne Palmöl, je 180-g-Glas, kg-Preis 14.39",,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_030.png
Mini-Panettone,GOURMET FINEST CUISINE,"€ 0,99","€ 1,39","Classic oder mit Schokoladenstückchen,
je 100-g-Packung, kg-Preis 9.90",-28 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_031.png
Edle Trüffel,GOURMET FINEST CUISINE,"€ 2,49","€ 3,49","Verschiedene Sorten, je 125-g-Packung,
kg-Preis 19.92",-28 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_032.png
Eis-Tannenbäume,GOURMET FINEST CUISINE,"€ 1,69","€ 2,29",Kein Mengenpreis,-26 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_033.png
Eis-Zimtsterne,GOURMET FINEST CUISINE,"€ 1,69","€ 2,29",Kein Mengenpreis,-26 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_034.png
Birnen oder Pfirsiche,GOURMET FINEST CUISINE,"€ 1,59","€ 2,29","Verschiedene Sorten, halbe Früchte,
je 580-ml-Glas, Abtropfgewicht 330 g, kg-Preis 4.82 / Abtropfgewicht",-30 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_035.png
Herzhafte Edelsalami,GUT DREI EICHEN,"€ 1,29","€ 1,69","Je 150-g-Packung, kg-Preis 8.60",-23 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_041.png
Geflügel-Fleischwurst,GÜLDENHOF,"€ 2,19","€ 2,69","Je 2 x 250 g = 500-g-Packung, kg-Preis 4.38",-18 %,Nein,"JEDERZEIT GÜNSTIG EINKAUFEN. BIS ZU 43 % SPAREN VON MO., 1.12. BIS SA., 6.12.",2025-12-01,2025-12-06,images_aldi/aldi_offer_042.png
