Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
U10 mobiler LTE Router,Zte,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",Details im Prospekt,Nein,25.09. - 08.11.,2025-09-25,2025-11-08
CPE 5S Stationärer 5G Router,Zte,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt,Nein,25.09. - 08.11.,2025-09-25,2025-11-08
Müller Thurgau,Keine Marke,"€ 1,79","€ 2,39","€ 1,79 / l -","QbA Aus Rheinhessen oder der Pfalz, trocken, 1-l-Flasche",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Stumpenkerzen,Home Creation,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,27.10. - 01.11.,2025-10-27,2025-11-01
Magnum Stieleis,Langnese,"€ 2,99","€ 5,49","€ 4,98 / l -","Versch. Sorten, je 6 x 100 ml = 600-ml Packung",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Laternen-Bastelset,Home Creation,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,27.10. - 01.11.,2025-10-27,2025-11-01
Bio-Mini-Elisenlebkuchen,Gut Bio,"€ 3,49","€ 4,29","€ 23,27 / kg -","Versch. Sorten, je 150-g-Packung",Nein,27.10. - 01.11.,2025-10-27,2025-11-01
Nussknacker XXL,Choceur,"€ 3,49",Kein vorheriger Preis,"€ 11,63 / kg -","Vollmilch, mit ganzen Haselnüssen, 300-g-Tafel",Nein,31.10. - 01.11.,2025-10-31,2025-11-01
Winterjersey Bettwäsche,Novitesse,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,06.11. - 08.11.,2025-11-06,2025-11-08
Zierpaprika,Gardenline,"€ 1,79",Kein vorheriger Preis,"€ 1,79 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Tesafilm,Tesa,"€ 1,99","€ 6,99","€ 0,25 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Napolitains,Wintertraum,"€ 1,99","€ 2,79","€ 22,11 / kg -",90-g-Packung,Nein,27.10. - 01.11.,2025-10-27,2025-11-01
Weihnachtliches Geschenkpapier,Home Creation,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",Details im Prospekt,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Luxus Wohndecke,Home Creation,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt,Nein,06.11. - 08.11.,2025-11-06,2025-11-08
Weihnachts Geschenkband,Home Creation,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Heißklebe-Pistole,Home Creation,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Adventskalender,Mattel Games,"€ 19,99","€ 29,99","€ 19,99 / Stk -",Details im Prospekt,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Weihnachtsmann,Wintertraum,"€ 1,49","€ 1,69","€ 13,55 / kg -","Vollmilchschokolade, 110-g-Figur",Nein,27.10. - 01.11.,2025-10-27,2025-11-01
Steak-Pfeffermühle,Le Gusto,"€ 4,99",Kein vorheriger Preis,"€ 52,53 / kg -","Versch. Sorten, mit Keramikmahlwerk, nachfüllbar, je 85-, 90-, 95- bzw. 100-g-Packung",Nein,31.10. - 01.11.,2025-10-31,2025-11-01
