Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Hähnchen Unterkeulen XXL,Meine Metzgerei,"€ 4,39","€ 5,49","€ 4,39 / kg -",1-kg-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Schweinefilet,Meine Metzgerei,"€ 4,99","€ 6,23","€ 10,00 / kg -","Zum Braten oder für den Grill, versch. Gewichte, z. B. 499 g",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Pils,Krombacher,"€ 0,69","€ 0,95","€ 1,38 / l -","0,5-l-Dose zzgl. Pfand 0.25",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Cola,Coca-Cola,"€ 0,99","€ 1,59","€ 0,79 / l -","Fanta/mezzo mix/Sprite Versch. Sorten, teilweise koffeinhaltig, je 1‚25-l-Flasche zzgl. Pfand 0.25",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Bio-Premium Gemüsebrühe,Bio Smiley,"€ 2,85",Kein vorheriger Preis,"€ 9,83 / kg -",290-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Mayo-Spezialität,Delikato,"€ 1,79",Kein vorheriger Preis,"€ 7,16 / l -","Versch. Sorten, je 250-ml-Flasche",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Bio-Dinkelvollkorn-Krusti,Nur Nur Natur,"€ 0,35","€ 0,49","€ 0,35 / Stk -","Aus dem Backofen, je Stück",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Buffet-Kochhinterschinken,Gut Drei Eichen,"€ 1,59","€ 1,99","€ 10,60 / kg -",oder Güldenhof Putenkochschinken Je 150-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Nussknacker,Choceur,"€ 1,11","€ 1,39","€ 11,10 / kg -","oder Mandelknacker Versch. Sorten, je 100-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Burrata,Cucina,"€ 1,49","€ 2,19","€ 11,92 / kg -",Abtropfgewicht 125 g,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Mortadella Bologna,Cucina,"€ 1,39","€ 1,99","€ 9,27 / kg -",g. g. A. 150-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Herbstliche Duftkerze,Home Creation,"€ 2,79",Kein vorheriger Preis,"€ 2,79 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Baby-Schlafsack,Lily & Dan,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Badekugel,Craze,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Damen Pullover,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kassettenfederbett,Novitesse,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Sedum-Mix,Gardenline,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Exotische Trockenfrüchte,Farmer naturals,"€ 2,19",Kein vorheriger Preis,"€ 21,90 / kg -","Versch. Sorten, je 100-, 125- bzw. 250-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
High-Protein-Cups,Aldi Sports,"€ 1,39",Kein vorheriger Preis,"€ 33,10 / kg -","Pistazien-Geschmack, 42-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kokosmakronen,Wintertraum,"€ 1,39",Kein vorheriger Preis,"€ 6,95 / kg -",200-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Vegan Marzipankartoffeln,Wintertraum,"€ 1,49",Kein vorheriger Preis,"€ 11,92 / kg -",125-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Runde braune Lebkuchen,Wintertraum,"€ 1,89",Kein vorheriger Preis,"€ 9,45 / kg -","Mit Zuckerglasur und Zartbitterschokolade, 200-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Baumkuchenspitzen,Wintertraum,"€ 2,99",Kein vorheriger Preis,"€ 19,93 / kg -","Versch. Sorten, teilw. mit Alkohol, je 150-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Avocados Hass,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -","Ursprung: siehe Sticker, Klasse I, Stück",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Sky Jahrespaket,ALDI,"€ 89,00",Kein vorheriger Preis,"€ 89,00 / Stk -",Details im Prospekt,Nein,04.10. - 19.10.,2025-10-04,2025-10-19
Gemischtes Hackfleisch XXL,Meine Metzgerei,"€ 5,79","€ 6,99","€ 7,24 / kg -","Aus Rind- und Schweinefleisch, 800-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Puten-Ministeaks,Fair & Gut,"€ 3,79","€ 4,79","€ 10,83 / kg -","Aus dem Putenbrustfilet geschnitten, 350-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Marinierte Nackensteaks,BBQ,"€ 3,99","€ 4,95","€ 6,65 / kg -","Vom Schwein, versch. Sorten, je 600-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Prinzen Rolle,DeBeukelaer,"€ 1,69","€ 2,49","€ 4,22 / kg -",400-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Vegane Scheiben,My Vay,"€ 1,19",Kein vorheriger Preis,"€ 7,93 / kg -","oder veganer Genuss Versch. Sorten, je 150-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Vegane Apfelecke,Meine Backwelt,"€ 0,45","€ 0,69","€ 0,45 / Stk -","Knuspriger Blätterteig mit fruchtiger Füllung, aus dem Backofen, je Stück",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Laktosefreie H-Milch,Milsani,"€ 0,99","€ 1,19","€ 0,99 / l -","ab 0.99 Versch. Sorten, z. B. 1,5 % Fett 1-l-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Tortelloni,Cucina,"€ 1,49","€ 1,89","€ 3,72 / kg -","Versch. Sorten, je 400-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Gnocchi,Cucina,"€ 1,59","€ 1,99","€ 3,98 / kg -","Versch. Sorten, je 400- bzw. 600-g Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
XXL-Pizzateig,Cucina Nobile,"€ 0,99","€ 1,29","€ 1,80 / kg -","Frischer Pizzateig nach italienischer Art, 550-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Halloween-Figur,Home Creation,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
LED-Halloween-Sortiment,Home Creation,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Baby-Fleece-Overall,Lily & Dan,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Damen-Strumpfhose,Up2Fashion,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Damen Cordhose,Up2Fashion,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Chrysantheme,Gardenline,"€ 1,59",Kein vorheriger Preis,"€ 1,59 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Amaryllis,Gardenline,"€ 2,49",Kein vorheriger Preis,"€ 2,49 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Schwebende Kerzen,Home Creation,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Bio-Quetschbeutel,Mamia Bio,"€ 0,65",Kein vorheriger Preis,"€ 6,50 / kg -","Versch. Sorten, je 100-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Bio-Getreide-Pops,Mamia Bio,"€ 0,99",Kein vorheriger Preis,"€ 49,50 / kg -","Versch. Sorten, je 20-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Edelmarzipan-Nougat-Baumstamm,Wintertraum,"€ 1,49",Kein vorheriger Preis,"€ 14,90 / kg -","Versch. Sorten, je 100-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Lebkuchenherzen,Wintertraum,"€ 3,39",Kein vorheriger Preis,"€ 11,30 / kg -","Versch. Sorten, fruchtig gefüllt, je 300-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Gewürzspekulatius,Wintertraum,"€ 1,69",Kein vorheriger Preis,"€ 2,82 / kg -",600-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Erdnussberge,Wintertraum,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / kg -","Versch. Sorten, je 250-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Heidelbeeren,Keine Marke,"€ 2,89","€ 3,79","€ 9,63 / kg -","Ursprung: siehe Etikett, Klasse I, 300-g-Schale",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Halloween Kürbis,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -","Inkl. Schnitzanleitung, Ursprung: Deutschland, Stück",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Bio Gulasch,Bio Smiley,"€ 5,99","€ 7,39","€ 14,97 / kg -","Vom Rind, 400-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Milch-Schnitte,Ferrero,"€ 2,59","€ 2,99","€ 9,25 / kg -","10 Riegel à 28 g, 280-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Dinkel-Roggen-Sandwich,Goldähren,"€ 0,99",Kein vorheriger Preis,"€ 2,64 / kg -",375-g-Packung,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Almighurt,Ehrmann,"€ 0,39","€ 0,79","€ 2,60 / kg -","Versch. Sorten, je 150-g-Becher",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Flüssigwürze,Le Gusto,"€ 0,89",Kein vorheriger Preis,"€ 3,46 / kg -",257-g-Flasche,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Tomatenketchup,Delikato,"€ 0,99",Kein vorheriger Preis,"€ 3,96 / l -",250-ml-Flasche,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Stremellachs,Almare,"€ 2,49","€ 3,49","€ 19,92 / kg -","Versch. Sorten, heiß geräuchert über Buchenholz, je 125-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Choco & Keks,Choceur,"€ 2,79","€ 3,29","€ 9,30 / kg -","Versch. Sorten, je 9 Stück, je 300-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kaffeesahne,Milsani,"€ 0,49","€ 0,79","€ 2,45 / kg -","12 % Fett, 200-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Creme mit Aceto Balsamico di Modena,Cucina,"€ 0,99","€ 1,49","€ 3,96 / l -","I. G. P. Classic, 250-ml-Flasche",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Gorgonzola,Cucina Nobile,"€ 2,29","€ 2,99","€ 11,45 / kg -","DOP Versch. Sorten, je 200-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Italienisches Dessert,Cucina,"€ 2,39","€ 2,99","€ 4,78 / kg -","Versch. Sorten, je 450- bzw. 500-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Halloween Lichterkette,Home Creation,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Glow-in-the-Dark-Teppich,Home Creation,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kinder LED-Highcut-Sneaker,Lily & Dan,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Damen Loungewear-Set,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Jersey-Bettwäsche,Novitesse,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / Stk -",Details im Prospekt,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Jersey-Spannbetttuch,Novitesse,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Strudel,Meine Kuchenwelt,"€ 2,29",Kein vorheriger Preis,"€ 5,72 / kg -","Versch. Sorten, je 400-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Kaffeekapseln,Barissimo,"€ 3,99",Kein vorheriger Preis,"€ 36,27 / kg -","Koffeinfrei, 20 Aluminium-Kapseln, 110-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Edelmarzipan-Brot,Wintertraum,"€ 1,49",Kein vorheriger Preis,"€ 11,92 / kg -","Mit Zartbitterschokolade überzogen, 125-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Nougathappen,Wintertraum,"€ 1,99",Kein vorheriger Preis,"€ 15,92 / kg -","Versch. Sorten, je 125-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Schokolebkuchen,Wintertraum,"€ 3,99",Kein vorheriger Preis,"€ 7,98 / kg -","Versch. Sorten, Herzen, Sterne, Brezeln, je 500-g-Packung",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Karotten,Keine Marke,"€ 1,11",Kein vorheriger Preis,"€ 0,56 / kg -","Ursprung: Deutschland, Klasse I, 2-kg-Beutel",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Passionsfrucht,Kleine Schätze,"€ 0,77","€ 0,89","€ 0,77 / Stk -","Ursprung: Vietnam/ Südafrika/Sambia/ Simbabwe, Stück",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Äpfel,Keine Marke,"€ 1,39",Kein vorheriger Preis,"€ 1,39 / kg -","rot Ursprung: Deutschland, Klasse I 1-kg-Schale",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
Lachsfiletseite XXL,Golden Seafood,"€ 14,99","€ 18,99","€ 14,99 / kg -","Mit Haut, versch. Gewichte, z. B. 1267 g 1 kg",Nein,13.10. - 18.10.,2025-10-13,2025-10-18
