Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Bio-Dinkel-Spaghetti,Nur Nur Natur,"€ 1,19","€ 1,45","€ 2,38 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Frischkäse,Philadelphia,"€ 1,19","€ 2,29","€ 6,80 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Sahnejoghurt,Zott,"€ 0,39","€ 0,89","€ 2,79 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Crema d'Oro,Dallmayr,"€ 13,99","€ 20,99","€ 13,99 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Zugluftstopper,Tesamoll,"€ 7,99","€ 12,99","€ 7,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Kroketten,Speise Zeit,"€ 1,59","€ 1,79","€ 2,12 / kg -",26.09. - 11.10.,2025-09-26,2025-10-11
Waschmittel,Lenor,"€ 4,49","€ 6,49","€ 0,22 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Kleiderbügel,Home Creation,"€ 1,99",Kein vorheriger Preis,"€ 0,20 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Frottiertücher,Novitesse,"€ 9,99",Kein vorheriger Preis,"€ 1,67 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Damen Regenstiefelette,Up2Fashion,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Damen Filzpantoffeln,Up2Fashion,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Lampenputzergras,Keine Marke,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Feigenbaum Ficus Carica,Keine Marke,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",22.09. - 27.09.,2025-09-22,2025-09-27
Universal Transporthilfe,Workzone,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Handwerks-Öl,Workzone,"€ 2,99",Kein vorheriger Preis,"€ 7,48 / l -",25.09. - 27.09.,2025-09-25,2025-09-27
Dichtungsringe Sortiment,Workzone,"€ 4,99",Kein vorheriger Preis,"€ 0,01 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Beautybelle,Calluna Garden Girls,"€ 2,69",Kein vorheriger Preis,"€ 2,69 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Viola,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 0,33 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Hausschuhe,Aldi Mania,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Damen Socken,Aldi Mania,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Damen Ledergürtel,Up2Fashion,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",25.09. - 27.09.,2025-09-25,2025-09-27
Margarine,Lätta,"€ 1,25","€ 2,19","€ 2,78 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Garnelen,Golden Seafood,"€ 8,99",Kein vorheriger Preis,"€ 12,49 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Primitivo di Manduria Riserva,Costellore,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -",26.09. - 27.09.,2025-09-26,2025-09-27
Münchner Hell,Spaten,"€ 0,79","€ 1,04","€ 1,58 / l -",26.09. - 27.09.,2025-09-26,2025-09-27
Pepsi Cola XXL,Pepsi,"€ 0,99","€ 1,79","€ 0,57 / l -",26.09. - 27.09.,2025-09-26,2025-09-27
Schwenksteaks XXL,BBQ,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Räucherlachs XXL,Almare,"€ 4,79",Kein vorheriger Preis,"€ 21,77 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Katenschinkenwürfel XXL,Gut Drei Eichen,"€ 2,99",Kein vorheriger Preis,"€ 7,48 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Weizenmehl XXL,Back Family,"€ 0,99",Kein vorheriger Preis,"€ 0,49 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Bio Eier,Bio Smiley,"€ 3,99",Kein vorheriger Preis,"€ 0,27 / Stk -",26.09. - 27.09.,2025-09-26,2025-09-27
Kristallzucker XXL,Diadem,"€ 1,59",Kein vorheriger Preis,"€ 0,80 / kg -",26.09. - 27.09.,2025-09-26,2025-09-27
Bio-Bergbauern-Weichkäse,Nur Nur Natur,"€ 3,69",Kein vorheriger Preis,"€ 18,45 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
Riesling,Keine Marke,"€ 2,89",Kein vorheriger Preis,"€ 2,89 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Lugana,Ca’ Del Mare,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Primitivo Puglia,Doppio Tratto,"€ 3,69",Kein vorheriger Preis,"€ 4,92 / l -",22.09. - 27.09.,2025-09-22,2025-09-27
Jamón Serrano Gran Reserva,Gourmet Finest Cuisine,"€ 1,99",Kein vorheriger Preis,"€ 28,43 / kg -",22.09. - 27.09.,2025-09-22,2025-09-27
