Retailer,Produkt,Marke,Preis,Preis_float,Vorheriger Preis,Vorheriger_float,Preis_kg,Preis_kg_float,Rabatt_vs_prev,Hinweis,Nur_online,Produktlink,Bild_URL,Bewertung,Bewertungen,Gueltig_von,Gueltig_bis,Ist_aktuell
Amazon,"Warrior Raw Protein Riegel Flapjack (20 g) – 12 x 75 g – zuckerarmer, ballaststoffreicher Mahlzeitenersatz – gesunder Frühstücks-Hafer-Snack für Energie und Muskelwachstum (Cookies & Cream)",Warrior,13.64 €,13.64,"16,81 €",16.81,"14,96 €/kg",14.96,0.18857822724568699,Amazon-Produkt,Ja,https://www.amazon.de/Warrior-Protein-Flapjack-Cookies-12X75G/dp/B09JGTL92B/ref=sr_1_2?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&rdc=1&sr=8-2,https://m.media-amazon.com/images/I/71t8AMDjr+L._AC_UL320_.jpg,3.9,7263.0,2025-10-14,2025-10-21,True
Amazon,"MaxiNutrition Hazelnut Spread Protein Waffle Bar, 25% Eiweiß, 202 kcal, (12 Eiweißriegel x 39g), Ohne Zuckerzusatz",MaxiNutrition,21.20 €,21.2,,,"45,30 €/kg",45.3,,Amazon-Produkt,Ja,https://www.amazon.de/MaxiNutrition-Hazelnut-Protein-Eiwei%C3%9Friegel-Zuckerzusatz/dp/B0D4294RJQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-3,https://m.media-amazon.com/images/I/81rfR+VmGKL._AC_UL320_.jpg,4.7,105.0,2025-10-14,2025-10-21,True
Amazon,IronMaxx Proteino Proteinriegel 12x30g - White Chocolate Pistachio | High Protein Bar mit cremiger Füllung auf Waffelbasis | Zuckerreduziert glutenfrei palmölfrei Fitness Snack,IronMaxx,22.32 €,22.32,,,"62,00 €/kg",62.0,,Amazon-Produkt,Ja,https://www.amazon.de/IronMaxx-Proteino-Proteinriegel-High-Protein-Bar-zuckerreduzierter/dp/B0BGPX8436/ref=sr_1_4?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-4,https://m.media-amazon.com/images/I/81EqeZZO8yL._AC_UL320_.jpg,3.8,1126.0,2025-10-14,2025-10-21,True
Amazon,Powerbar - 52% Protein Plus - Cookies&Cream - 20x50g - High Protein Low Sugar Riegel,Powerbar,39.24 €,39.24,,,"39,24 €/kg",39.24,,Amazon-Produkt,Ja,https://www.amazon.de/PowerBar-Protein-Cookies-Cream-20x50g/dp/B07BSPBGKV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&rdc=1&sr=8-5,https://m.media-amazon.com/images/I/71bhtZVx47L._AC_UL320_.jpg,4.3,1266.0,2025-10-14,2025-10-21,True
Amazon,"Multipower Power Pack Classic Dark Protein Riegel, Eiweißriegel mit 27% Protein, klassischer Bar als gesunder Sport-Snack, mit leichter Banane-Vanille-Note, 24 x 35 g",Multipower,34.56 €,34.56,"37,91 €",37.91,"34,56 €/Stück",34.56,0.08836718543919796,Amazon-Produkt,Ja,https://www.amazon.de/Multipower-Eiwei%C3%9Friegel-klassischer-Sport-Snack-Banane-Vanille-Note/dp/B08BYHFLH3/ref=sr_1_6?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-6,https://m.media-amazon.com/images/I/81gwvXuuQcS._AC_UL320_.jpg,4.3,202.0,2025-10-14,2025-10-21,True
Amazon,"Layenberger High Protein Riegel - Fitness Power Bar, viel Eiweiß, wenig Zucker - 18er Pack (18 x 35 g) - Mango-Orange",Layenberger,21.70 €,21.7,"25,07 €",25.07,"34,44 €/kg",34.44,0.13442361388113286,Amazon-Produkt,Ja,https://www.amazon.de/Layenberger-LowCarb-one-Protein-Riegel-Mango-Orange-18/dp/B072XK26DG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-8,https://m.media-amazon.com/images/I/71ai5-2FLdL._AC_UL320_.jpg,3.9,2085.0,2025-10-14,2025-10-21,True
Amazon,"Layenberger 3K Protein Bar Crunchy - Fitness Riegel - viel Eiweiß, wenig Zucker - 15er Pack (15 x 45 g) - Raspberry White",Layenberger,27.34 €,27.34,"30,70 €",30.7,"40,50 €/kg",40.5,0.10944625407166123,Amazon-Produkt,Ja,https://www.amazon.de/Layenberger-Protein-Crunchy-Raspberry-Kohlenhydraten/dp/B08ZMZ23KM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-9,https://m.media-amazon.com/images/I/618qY1GKhsL._AC_UL320_.jpg,4.5,121.0,2025-10-14,2025-10-21,True
Amazon,ALL STARS Whey-Crisp Protein Bars - White Chocolate Cookie Crunch - Protein Riegel überzogen mit Schokolade und verfeinert mit Whey-Crispies – mit 15g Eiweiß pro Riegel - 25x50g,ALL,46.53 €,46.53,,,"37,22 €/kg",37.22,,Amazon-Produkt,Ja,https://www.amazon.de/All-Stars-Whey-Crisp-Chocolate-Cookie/dp/B07XRF4BPF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-10,https://m.media-amazon.com/images/I/71OQb-HZNEL._AC_UL320_.jpg,4.1,590.0,2025-10-14,2025-10-21,True
Amazon,Multipower Protein Layer Bar Energieriegel mit 30% Protein – Fitnessriegel 18 x 50g – Proteinriegel als Sport-Snack – Eiweißriegel mit Caramel Peanut Crunch Geschmack – kalorienarmer Eiweißriegel,Multipower,33.48 €,33.48,,,"37,20 €/kg",37.2,,Amazon-Produkt,Ja,https://www.amazon.de/Multipower-Protein-Power-Layer-Energieriegel/dp/B072QCS1VW/ref=sr_1_12?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-12,https://m.media-amazon.com/images/I/71pZ+8Rj08L._AC_UL320_.jpg,4.3,872.0,2025-10-14,2025-10-21,True
Amazon,"ALL STARS Oatcake Hafer-Riegel (Mix-Box, 12 x 80g) – Energy-Riegel mit Haferflocken & hochwertigen Kohlenhydraten – gebackener Oat Bar - soft & sättigend - idealer Mahlzeitenersatz",ALL,19.62 €,19.62,"25,22 €",25.22,"20,44 €/kg",20.44,0.22204599524187146,Amazon-Produkt,Ja,https://www.amazon.de/STARS-Oatcake-Haferriegel-Mixed-Energieriegel/dp/B088FQGJC1/ref=sr_1_13?dib=eyJ2IjoiMSJ9.f5XeANoybO50nh25mH6sxhY1sTtcGGeMDgh_TN-5xVITENzmq7tMTazoVdlH-G_7azZemRvzvKeIMfGzsBxUkLSRVF3JT1lvEAPMDBtkO60yEIFTyx2lxSuBsuE_e91LSvmavx4d2S9c_eG3AfJlntthJAKY_BcGEFOS269HjtpDeMtC0qMJColdiFLiZHxLQ-nmsor_D5LtzaifprayiMuPMEzZkXm6iQXsqjfc_zo0JdfIB1R0oRB9iAWYt4vb4gGI-YLhpaUn1GStXgz_phl9JXHxccP_FntdIgF5_D0.QbFB2nA42MiGq4WslrmUhW8dGlu3-egHfHXA5wvwUUs&dib_tag=se&keywords=Proteinriegel&qid=1760456375&sr=8-13,https://m.media-amazon.com/images/I/71+jkF6QCIL._AC_UL320_.jpg,4.3,1042.0,2025-10-14,2025-10-21,True
