Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Gut Günstig WWF Bananen,"€ 0,99",Kein Mengenpreis,"Herkunft siehe Auszeichnung, 1 kg",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-wwf-bananen.jpg
Gut Günstig Tafeltrauben hell kernlos,"€ 1,49","1 kg = 2,98 €","Sorte und Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 2,98 €)",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-tafeltrauben-hell-kernlos.jpg
EDEKA Herzstücke Apeel Riesenorangen,"€ 2,99","1 kg = 1,50 €","Sorte siehe Etikett, aus Spanien/Griechenland, Kl. I, 2 kg Netz, (1 kg = 1,50 €)",2026-01-12,2026-01-17,images_edeka/edeka-herzst-cke-apeel-riesenorangen.jpg
Gut Günstig Speisekartoffeln,"€ 1,49","1 kg = 0,60 €","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland Abbildung ähnlich., 2,5 kg Netz, (1 kg = 0,60 €)",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-speisekartoffeln.jpg
EDEKA Heimatliebe Fränkische Bio Möhren,"€ 1,29","1 kg = 1,29 €","Kl. II, 1 kg Packung, (1 kg = 1,29 €)",2026-01-12,2026-01-17,images_edeka/edeka-heimatliebe-fr-nkische-bio-m-hren.jpg
Driscoll s Himbeeren,"€ 1,49","1 kg = 11,92 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 125 g Packung, (1 kg = 11,92 €)",2026-01-12,2026-01-17,images_edeka/driscoll-s-himbeeren.jpg
Gut Günstig Brokkoli,"€ 1,00","1 kg = 2,00 €","aus Italien, Kl. I, 500 g Packung, (1 kg = 2,00 €)",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-brokkoli.jpg
Kiwis,"€ 2,49",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/kiwis.jpg
Nektarinen gelb- oder weißfleischig,"€ 0,49",Kein Mengenpreis,"aus der Republik Südafrika, Kl. I, 100 g",2026-01-12,2026-01-17,images_edeka/nektarinen-gelb-oder-wei-fleischig.jpg
Mandarinen,"€ 3,49","1 kg = 2,33 €","Sorte siehe Etikett, aus Spanien, Kl. I Abbildung ähnlich., 1,5 kg Big Pack, (1 kg = 2,33 €)",2026-01-12,2026-01-17,images_edeka/mandarinen.jpg
Gut Günstig Zitronen,"€ 1,79","1 kg = 2,39 €","Sorte siehe Etikett, aus Spanien/Italien, Kl. I, 750 g Netz, (1 kg = 2,39 €)",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-zitronen.jpg
EDEKA Herzstücke Champignons braun,"€ 2,49","1 kg = 8,30 €","aus Deutschland, Kl. I, 300 g Packung, (1 kg = 8,30 €)",2026-01-12,2026-01-17,images_edeka/edeka-herzst-cke-champignons-braun.jpg
Kopfsalat grün,"€ 1,00",Kein Mengenpreis,"aus Italien, Kl. I, Stück",2026-01-12,2026-01-17,images_edeka/kopfsalat-gr-n.jpg
EDEKA Heimatliebe Fränkische Mini-Gurken,"€ 2,99","1 kg = 9,97 €","Kl. I, 300 g Packung, (1 kg = 9,97 €)",2026-01-12,2026-01-17,images_edeka/edeka-heimatliebe-fr-nkische-mini-gurken.jpg
EDEKA Herzstücke Mini Pflaumentomaten,"€ 1,99","1 kg = 7,96 €","Herkunft siehe Etikett, Kl. I, 250 g Becher, (1 kg = 7,96 €)",2026-01-12,2026-01-17,images_edeka/edeka-herzst-cke-mini-pflaumentomaten.jpg
EDEKA Herzstücke Mandarinen Clemenvilla,"€ 3,49",Kein Mengenpreis,"aus Spanien, Kl. I, 1 kg",2026-01-12,2026-01-17,images_edeka/edeka-herzst-cke-mandarinen-clemenvilla.jpg
2 Stück Mangos Kent,"€ 1,00",Kein Mengenpreis,"aus Brasilien, Kl. I",2026-01-12,2026-01-17,images_edeka/2-st-ck-mangos-kent.jpg
Gut Günstig Brokkoli,"€ 1,00","1 kg = 2,00","aus Italien, Kl. I, 500 g Packung, (1 kg = 2,00)",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-brokkoli.jpg
Driscoll s Himbeeren,"€ 1,49","1 kg = 11,92","Herkunft siehe Etikett, Kl. I, 125 g Packung, (1 kg = 11,92)",2026-01-12,2026-01-17,images_edeka/driscoll-s-himbeeren.jpg
Gut Günstig Tafeltrauben hell,"€ 1,49","1 kg = 2,98","Sorte und Herkunft siehe Etikett, Kl. I, kernlos, 500 g Packung, (1 kg = 2,98)",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-tafeltrauben-hell.jpg
Gut Günstig Speisekartoffeln,"€ 1,49","1 kg = 0,60","vorwiegend festkochend, Sorte siehe Etikett, aus Deutschland, 2,5 kg Netz, (1 kg = 0,60)",2026-01-12,2026-01-17,images_edeka/gut-g-nstig-speisekartoffeln.jpg
Alle Angebote finden Sie im Prospekt,"€ ,00",Kein Mengenpreis,,2026-01-12,2026-01-17,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 23,"€ ,00",Kein Mengenpreis,"*Angebot nur gültig bei Vorlage der EDEKA App an der Kasse, vorheriger erfolgreicher Registrierung und Auswahl des Lieblingsmarktes. Teilnehmende Märkte in der Marktsuche",2026-01-12,2026-01-17,
Landliebe Butter,"€ 1,29","1 kg = 5,16 €","rahmig-frisch oder Die Streichzarte ungesalzen, 250 g Stück/Becher, (1 kg = 5,16 €)",2026-01-12,2026-01-17,images_edeka/landliebe-butter.jpg
Bergader Käse Scheiben,"€ 1,79",Kein Mengenpreis,verschiedene Sorten und Fettstufen,2026-01-12,2026-01-17,images_edeka/bergader-k-se-scheiben.jpg
Landliebe haltbare Landmilch,"€ 0,99","1 l = 0,99 €","verschiedene Fettstufen Je nach Verfügbarkeit des Marktes., 1 Liter Packung, (1 l = 0,99 €)",2026-01-12,2026-01-17,images_edeka/landliebe-haltbare-landmilch.jpg
Ehrmann Almighurt,"€ 0,29","1 kg = 1,93 €","verschiedene Sorten und Fettstufen, 150 g Becher, (1 kg = 1,93 €)",2026-01-12,2026-01-17,images_edeka/ehrmann-almighurt.jpg
