Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
San Lucar Heidelbeeren,Keine Marke,"€ 2,99",,"1 kg = 19,93 €","Herkunft siehe Etikett, KL. I, 150 g Packung, (1 kg = 19,93 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/san-lucar-heidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
Genussmomente Kulturheidelbeeren,EDEKA,"€ 2,99",,"1 kg = 19,93 €","Herkunft siehe Etikett, Kl. I, 150 g Packung, (1 kg = 19,93 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/edeka-genussmomente-kulturheidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
Tafeltrauben Rot oder Hell kernlos,EDEKA Herzstücke,"€ 2,99",,"1 kg = 5,12 €","Herkunft und Sorte siehe Etikett, Kl. I,, 650 g Packung, (1 kg = 5,12 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/edeka-herzst-cke-tafeltrauben-rot-oder-hell-kernlos.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Erdbeeren,EDEKA Herzstücke,"€ 2,99",,"1 kg = 8,73 €","aus Spanien, Kl. I, 400 g Packung, (1 kg = 8,73 €)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/edeka-herzst-cke-erdbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Apricot Peppers Paprika,Keine Marke,"€ 2,29",,"1 kg = 22,90 €","mit Aprikosenfrischkäsezubereitung, 100 g",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/apricot-peppers-paprika.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Salatgurke,Gut Günstig,"€ 0,99",,"1 st = 0,99 €","aus den Niederlanden/ Spanien, Kl. I, Stück",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/gut-g-nstig-salatgurke.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
Brokkoli,Keine Marke,"€ 1,00",,"1 kg = 2,00","aus Italien, Kl. I, 500 g Packung, (1 kg = 2,00)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/brokkoli.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Eisbergsalat,Gut Günstig,"€ 1,29",,"1 st = 1,29 €","aus Spanien, Kl. I, Stück",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/gut-g-nstig-eisbergsalat.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
Mini Pflaumentomaten,EDEKA Herzstücke,"€ 1,99",,"1 kg = 7,96","Herkunft siehe Etikett Kl. I, 250 g Becher, (1 kg = 7,96)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/edeka-herzst-cke-mini-pflaumentomaten.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
San Lucar Heidelbeeren,Keine Marke,"€ 2,99",,"1 kg = 19,93","Herkunft siehe Etikett, Kl. I, 150, (1 kg = 19,93)",Nein,Gültig vom 02.03.2026 bis zum 07.03.2026.,2026-03-02,2026-03-07,images_edeka/san-lucar-heidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
