Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
EDEKA Herzstücke Speisekartoffeln Drillinge,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 2,49 €","festkochend, Sorte siehe Etikett, aus Deutschland, 1 kg Packung, (1 kg = 2,49 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-speisekartoffeln-drillinge.jpg
Blumenkohl,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"aus Italien/Frankreich, Kl. I",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/blumenkohl.jpg
Mini Pflaumentomaten,Keine Marke,"€ 1,00",Kein vorheriger Preis,"1 kg = 5,00 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 200 g Packung, (1 kg = 5,00 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/mini-pflaumentomaten.jpg
EDEKA Heimatliebe Fränkische Mini-Gurke,Keine Marke,"€ 0,79",Kein vorheriger Preis,Kein Mengenpreis,"Kl. I, Stück",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-heimatliebe-fr-nkische-mini-gurke.jpg
EDEKA Herzstücke Mini Paprika Mix,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,45 €","Herkunft siehe Etikett, Kl. I, 200 g Packung, (1 kg = 7,45 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-mini-paprika-mix.jpg
Mini Romanasalat,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"aus Spanien, Kl. I Abbildung ähnlich., 2er Packung",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/mini-romanasalat.jpg
Partytomaten,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 1,98 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 1,98 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/partytomaten.jpg
Driscoll s Himbeeren,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 11,92 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 125 g Packung, (1 kg = 11,92 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/driscoll-s-himbeeren.jpg
EDEKA Herzstücke Limetten,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"Herkunft siehe Etikett, Kl. I, 6er Packung",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-limetten.jpg
Kohlrabi,Keine Marke,"€ 0,79",Kein vorheriger Preis,Kein Mengenpreis,"aus Spanien, Kl. I, Stück",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/kohlrabi.jpg
Kopfsalat rot,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,"aus Italien, Kl. I, Stück",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/kopfsalat-rot.jpg
Feldsalat,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 6,60 €","aus Italien, Kl. I Abbildung ähnlich., 150 g Packung, (1 kg = 6,60 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/feldsalat.jpg
EDEKA Bio Orangen,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 2,49 €","Sorte siehe Etikett, aus Spanien, Kl. II, 1 kg Netz, (1 kg = 2,49 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-bio-orangen.jpg
EDEKA Herzstücke Apeel Avocado Hass,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"aus Marokko, Kl. I, Stück",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-apeel-avocado-hass.jpg
Litschis,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 7,98 €","aus Madagaskar, Kl. I Abbildung ähnlich., 500 g Eimer, (1 kg = 7,98 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/litschis.jpg
Gut Günstig Mango Kent,Keine Marke,"€ 1,00",Kein vorheriger Preis,Kein Mengenpreis,"aus Peru, Kl. I, Stück",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/gut-g-nstig-mango-kent.jpg
EDEKA Herzstücke Mini Paprika Mix,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 7,45","Herkunft siehe Etikett, Kl. I, 200 g Packung, (1 kg = 7,45)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/edeka-herzst-cke-mini-paprika-mix.jpg
Mini Romanasalat,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"aus Spanien, Kl. I, 2er Packung",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/mini-romanasalat.jpg
Driscoll s Himbeeren,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 11,92","Herkunft siehe Etikett, Kl. I, 125 g Packung, (1 kg = 11,92)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/driscoll-s-himbeeren.jpg
Feldsalat,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 6,60","aus Italien, Kl. I, 150 g Packung, (1 kg = 6,60)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/feldsalat.jpg
Gut Günstig Möhren,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 kg = 0,56","aus Deutschland, Kl. I, 2 kg Packung, (1 kg = 0,56)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/gut-g-nstig-m-hren.jpg
Alle Angebote finden Sie im Prospekt,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt 23,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,
Grünländer Käse,Keine Marke,"€ 2,79",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes.,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/gr-nl-nder-k-se.jpg
Landliebe Joghurt oder Joghurt mild,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 kg = 2,22 €","verschiedene Sorten und Fettstufen, 500 g Glas + 0,15 Pfand, (1 kg = 2,22 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/landliebe-joghurt-oder-joghurt-mild.jpg
Milkana Schmelzkäsezubereitung,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten und Fettstufen oder Tolle Rolle! Je nach Verfügbarkeit des Marktes.,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/milkana-schmelzk-sezubereitung.jpg
Brunch,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 kg = 6,97 €","verschiedene Sorten, 185 g Becher, (1 kg = 6,97 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/brunch.jpg
Milram Gewürz Quark Veganer Aufstrich,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"verschiedene Sorten und Fettstufen, Sour Cream, Zaziki oder Aioli",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/milram-gew-rz-quark-veganer-aufstrich.jpg
Dr Oetker High Protein Pudding Milchreis,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 4,98 €","verschiedene Sorten oder Porridge, 400 g Becher, (1 kg = 4,98 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/dr-oetker-high-protein-pudding-milchreis.jpg
Bauer Der Grosse Joghurt,Keine Marke,"€ 0,49",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten und Fettstufen,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/bauer-der-grosse-joghurt.jpg
Emmi Raclette Classic,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"schweizer Schnittkäse, 47 % Fett i. Tr., mindestens 3 Monate in rotgeschmierter Naturrinde gereift, intensiv-aromatischer Geschmack, 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/emmi-raclette-classic.jpg
Landliebe Pudding,Keine Marke,"€ 0,44",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/landliebe-pudding.jpg
Galbani Mozzarella,Keine Marke,"€ 1,19",Kein vorheriger Preis,"1 kg = 9,52 €","45 % Fett i. Tr., 220 g Packung (Abtropfgewicht 125 g), (1 kg = 9,52 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/galbani-mozzarella.jpg
Bauer Weichkäse,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 13,27 €","verschiedene Sorten, 60 % Fett i. Tr. Nur solange der Vorrat reicht., 150 g Packung, (1 kg = 13,27 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/bauer-weichk-se.jpg
Dr Oetker Löffelglück Grütze Pudding oder Milchreis,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten Je nach Verfügbarkeit des Marktes.,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/dr-oetker-l-ffelgl-ck-gr-tze-pudding-oder-milchreis.jpg
Dr Oetker High Protein Mousse Coffee oder Shake,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten Je nach Verfügbarkeit des Marktes.,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/dr-oetker-high-protein-mousse-coffee-oder-shake.jpg
Meggle Butterzubereitung,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,verschiedene Sorten oder Kräuter-Tube,Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/meggle-butterzubereitung.jpg
Weihenstephan Schlagsahne Sahne zum Kochen oder Kochcreme,Keine Marke,"€ 1,29",Kein vorheriger Preis,"1 kg = 5,16 €","verschiedene Fettstufen Je nach Verfügbarkeit des Marktes., 250 g Packung, (1 kg = 5,16 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/weihenstephan-schlagsahne-sahne-zum-kochen-oder-kochcreme.jpg
Coburger Frankendammer,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"deutscher Schnittkäse aus frischer Milch gekäst, 45 % Fett i. Tr., raffiniert-nussig oder fein-geräuchert* *Je nach Verfügbarkeit des Marktes., 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/coburger-frankendammer.jpg
Switzerland T te de Moine AOP,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"schweizer Schnittkäse mit Rohmilch, 51 % Fett i. Tr., 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/switzerland-t-te-de-moine-aop.jpg
Emmi Kaltbach,Keine Marke,"€ 2,69",Kein vorheriger Preis,Kein Mengenpreis,"Der Cremig-Würzige, Gold, schweizer Schnitt- oder Hartkäse, verschiedene Fettstufen, 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/emmi-kaltbach.jpg
Goldsteig Emmentaler,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"deutscher Hartkäse, 45 % Fett i. Tr., nussig-mild, 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/goldsteig-emmentaler.jpg
Saint Albray Saint Agur Chaumes,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"französischer Weich- oder Edelpilzkäse, verschiedene Fettstufen, 100 g",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/saint-albray-saint-agur-chaumes.jpg
Switzerland Appenzeller Fondue,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 9,98 €","40 % Fett i. Tr., 400 g Packung, (1 kg = 9,98 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/switzerland-appenzeller-fondue.jpg
Arla K rg rden,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 8,95 €","verschiedene Sorten oder Bio ungesalzen, 200 g Becher, (1 kg = 8,95 €)",Nein,Gültig vom 29.12.2025 bis zum 03.01.2026,2025-12-29,2026-01-03,images_edeka/arla-k-rg-rden.jpg
