Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Brauner Rohrzucker,K-Classic,"€ 0,69",Kein vorheriger Preis,"€ 1,38 / kg -",mit feiner Karamellnote je 500-g-Packg.,Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Tabasco,Mc Ilhenny,"€ 1,99",Kein vorheriger Preis,"€ 33,17 / l -",Chilisauce Classic oder Green Pepper je 60-ml-Fl.,Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Erfrischungsgetränk,Thomas Henry,"€ 1,29",Kein vorheriger Preis,"€ 1,72 / l -","versch. Sorten (+ 0.25 Pfand) je 0,75-l-PET-Fl.",Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Textilboxen Glitter,Domopak Living,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Puten-Hackfleisch,K-Purland,"€ 6,49",Kein vorheriger Preis,"€ 5,49 / kg -",zum Braten je 1-kg-Großpackg.,Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Zitronensaft,K-Classic,"€ 1,59",Kein vorheriger Preis,"€ 2,12 / l -","oder Limettensaft aus Zitronen- bzw. Limettensaftkonzentrat, 100 % Fruchtgehalt je 0,75-l-Fl.",Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Comtess Zitrone,Bahlsen,"€ 1,79",Kein vorheriger Preis,"€ 5,11 / kg -",HINWEIS: MIT KAUFLAND CARD 1.49 € versch. Sorten je 350-g-Packg.,Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Stremellachs,K-Classic,"€ 2,79",Kein vorheriger Preis,"€ 22,32 / kg -",versch. Sorten je 125-g-Packg.,Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Orangenlikör,Triple Sec Le Favori,"€ 7,99",Kein vorheriger Preis,"€ 11,41 / l -","franz., 40 Vol. % je 0,7-l-Fl.",Nein,16.10. - 22.10.,2025-10-16,2025-10-22
London Dry Gin,Tanqueray,"€ 14,99",Kein vorheriger Preis,"€ 21,41 / l -","vierfach destilliert, besonders trocken und rein, 43,1 Vol. % je 0,7-l-Fl. 0,25-l-Dose Gin Tonic gra...",Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Pelmeni,Dymow,"€ 4,99",Kein vorheriger Preis,"€ 5,54 / kg -","Teigtaschen gefüllt mit Schweine-, Puten- oder Schweine- & Rindfleisch je 900-g-Packg.",Nein,16.10. - 22.10.,2025-10-16,2025-10-22
Filegro Müllerin Art,Iglo,"€ 2,79",Kein vorheriger Preis,"€ 11,16 / kg -","HINWEIS: MIT KAUFLAND CARD 2.29 € Fisch-Portionsfilets, versch. Sorten je 240 - 250-g-Packg.",Nein,16.10. - 22.10.,2025-10-16,2025-10-22
