Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Pralinés Classic,Lindt,"€ 8,99",Kein vorheriger Preis,"€ 44,95 / kg -","Confiserie für Kenner, versch. Sorten je 200-g-Packg.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Tzatziki,Ergüllü,"€ 1,99",Kein vorheriger Preis,"€ 9,95 / kg -","oder Aioli Joghurtcreme mit Gurken, Olivenöl und Knoblauch oder pikante oder milde Knoblauch-Creme j...",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Tafeltrauben,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / kg -","Ital. hell oder rot, lose Sorte laut Auszeichnung, Kl. I je kg",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Bergkäse,Salzburg Milch,"€ 1,99",Kein vorheriger Preis,"€ 13,27 / kg -","österr. Premium-Hartkäse in Scheiben, 50 % Fett. i. Tr. je 150-g-Packg.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Curry Paste,Bamboo Garden,"€ 1,99",Kein vorheriger Preis,"€ 15,92 / kg -","vegan, rot oder gelb je 125-g-Glas",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Asia Garnelen in Knusper-Panade,K-Classic,"€ 2,79",Kein vorheriger Preis,"€ 12,13 / kg -","vorfrittiert, mit Sweet-Chili-Dip je 230-g-Packg.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Sonicare W2 Aufsteckbürsten,Philips,"€ 13,99",Kein vorheriger Preis,"€ 4,66 / Stk -","Optimal White, medium soft je 3-St.-Packg",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Schauma For Men Shampoo,Schwarzkopf,"€ 1,59",Kein vorheriger Preis,"€ 3,98 / l -",oder Spülung versch. Sorten je 250 - 400-ml-Fl.,Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Herbstpflanzen,Keine Marke,"€ 2,22",Kein vorheriger Preis,"€ 2,22 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Cola,Afri Cola,"€ 0,89",Kein vorheriger Preis,"€ 0,89 / l -","Erfrischungsgetränk versch. Sorten, koffeinhaltig (+ 0.25 Pfand) je 1-l-PET-Fl.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Tasty Snacks Rosmary & Sea Salt crisps,Wasa,"€ 1,99",Kein vorheriger Preis,"€ 10,47 / kg -","Crisps oder Rounds, versch. Sorten je 190 - 235-g-Packg.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Seelachsfilet,Keine Marke,"€ 1,39",Kein vorheriger Preis,"€ 13,90 / kg -","ohne Haut, praktisch grätenfrei, gefangen im Nordatlantik je 100 g",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Orchidee,Keine Marke,"€ 10,99",Kein vorheriger Preis,"€ 10,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Chiemseer Hell,Chiemgauer Brauhaus,"€ 14,99",Kein vorheriger Preis,"€ 1,50 / l -","(+ 3.10 Pfand) je Ka. 20 x 0,5-l-Fl.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Original,Leerdammer,"€ 1,11",Kein vorheriger Preis,"€ 11,10 / kg -","oder Delacrème holl. Schnittkäse, mild-nussig bzw. mild-würzig im Geschmack, 45 - 51 % Fett i. Tr. j...",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Bromelie,Keine Marke,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt,Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Limonade Orange,Libella,"€ 7,99",Kein vorheriger Preis,"€ 0,80 / l -","Zitrone oder Cola-Mix, z. T. koffeinhaltig (+ 3.10 Pfand) je Ka. 20 x 0,5-l-Fl.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Rotling,Weingut Divino,"€ 5,49",Kein vorheriger Preis,"€ 5,49 / l -","Qualitätswein, Franken, Aromen von Walderdbeere, Himbeere und roter Johannisbeere, ideal als Aperiti...",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Powerball Spülmaschinentabs,Finish,"€ 12,99",Kein vorheriger Preis,"€ 0,17 / Stk -","Powerball All in 1, versch. Sorten, = 78 - 98 Anwendungen je Packg.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Cevapcici XXL,K-Purland,"€ 3,99",Kein vorheriger Preis,"€ 6,65 / kg -","gewürzt, ideal für Grill und Pfanne je 600-g-Großpackg.",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Duschgel For Men,Duschdas,"€ 0,89",Kein vorheriger Preis,"€ 3,96 / l -",versch. Sorten je 225-ml-Fl.,Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Nudeln,Seitz,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -","GLUTENFREI Nudeln auf Maismehl-Basis, mit Kichererbsenmehl verfeinert, versch. Ausformungen je 500-g...",Nein,30.10. - 05.11.,2025-10-30,2025-11-05
Adventskalender,PlayStation 5,"€ 50,00",Kein vorheriger Preis,"€ 50,00 / Stk -",Details im Prospekt,Nein,30.10. - 05.11.,2025-10-30,2025-11-05
