Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Mix-In-Joghurt XXL,Nestlé,"€ 3,79",Kein vorheriger Preis,"€ 5,26 / kg -",mit Smarties oder Lion Cereals je 6 x 120-g-Becher,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Kinder Duo,Ferrero,"€ 3,99",Kein vorheriger Preis,"€ 13,30 / kg -",knusprige Kekse mit einem Überzug aus Vollmilch- und weißer Schokolade je 24 St. = 300-g-Packg.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Für Genießer Sauce,Maggi,"€ 0,79",Kein vorheriger Preis,"€ 3,16 / l -","für 250 - 300 ml, versch. Sorten je Packg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Knusper-Fisch,K-Blue Bay,"€ 3,49",Kein vorheriger Preis,"€ 11,63 / kg -","Kibbelinge, Pangasiusfilet oder Seehechtfilet in Knusperpanade, aufgetaut je 200 - 300-g-Packg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Mild & Nussig,Grünländer,"€ 1,49",Kein vorheriger Preis,"€ 10,65 / kg -","in Scheiben oder Würfeln, 48 - 50 % Fett i. Tr., versch. Sorten je 140-g-Packg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Hamburger,K-Purland,"€ 2,89",Kein vorheriger Preis,"€ 11,56 / kg -","vom Rind, zum Braten je 2 St. = 250-g-Packg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Pfannen-Set 3-teilig.,Domo,"€ 15,99",Kein vorheriger Preis,"€ 5,33 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Pasta Classic,Barilla,"€ 0,75",Kein vorheriger Preis,"€ 1,50 / kg -","aus Hartweizengrieß, ohne Ei, versch. Sorten je 500-g-Packg.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Original Überrübe,Zörbiger,"€ 1,49",Kein vorheriger Preis,"€ 4,26 / kg -",Brotaufstrich je 350-g-Glas,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Teegetränk,Arizona,"€ 1,39",Kein vorheriger Preis,"€ 0,79 / l -","Erfrischungsgetränk auf Teebasis, versch. Sorten (+ 0.25 Pfand) je 1,75-l-PET-Fl.",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Wanduhr XXL,Mebus,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Joghurt,K-Classic,"€ 1,19",Kein vorheriger Preis,"€ 2,38 / kg -","Art Honig, Kokos, Salted Caramel oder Kirsch je 500-g-Becher",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Adventskalender,Red Bull,"€ 29,99",Kein vorheriger Preis,"€ 5,00 / l -","Mischung aus 14 versch. Sorten Red Bull, z. B. Original oder Juneberry (+ 6.00 Pfand) je Packg. = 24...",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Börekstick,Kaufland Bäckerei,"€ 0,49",Kein vorheriger Preis,"€ 0,49 / Stk -","HINWEIS: MIT KAUFLAND CARD 0.39 €, mit Weißkäse gefüllt, auch mit Spinat je Stück",Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Chambelle,Reinert,"€ 1,59",Kein vorheriger Preis,"€ 22,38 / kg -",Gourmet-Salami mit orig. franz. Camembert je 80-g-Packg.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
Hafer-Porridge,Kölln,"€ 2,49",Kein vorheriger Preis,"€ 6,64 / kg -",versch. Sorten je 350 - 375-g-Packg.,Nein,02.10. - 08.10.,2025-10-02,2025-10-08
