Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Choco Crossies,Nestlé,"€ 1,99",Kein vorheriger Preis,"€ 17,30 / kg -",HINWEIS: MIT KAUFLAND CARD 1.79 € oder Choco Crossies versch. Sorten je 115 - 150-g-Packg.,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Vollmilch Schokolade,Lindt,"€ 1,89",Kein vorheriger Preis,"€ 18,90 / kg -",HINWEIS: MIT KAUFLAND CARD 1.49 € Schokolade Klassiker versch. Sorten je 100-g-Tafel,Nein,13.10. - 15.10.,2025-10-13,2025-10-15
Original Rum 3 Jahre,Havana Club,"€ 10,99",Kein vorheriger Preis,"€ 15,70 / l -","HINWEIS: MIT KAUFLAND CARD 9.99 €, o. Especial echter kubanischer Rum, 37,5 Vol. % je 0,7-l-Fl.",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Schinken-Eisbein,Tulip,"€ 3,79",Kein vorheriger Preis,"€ 6,32 / kg -","oder Grillhaxe mit Schwarte gegart, besonders saftig je 600-g-Packg.",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Küchentücher,The Papermakers,"€ 3,99",Kein vorheriger Preis,"€ 0,50 / Stk -","saugstark, 3-lagig je Packg. = 8 x 64 Blatt",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Apfelstrudel,Coppenrath & Wiese,"€ 2,49",Kein vorheriger Preis,"€ 4,15 / kg -","100 % pflanzlich, mit Äpfeln aus dem Alten Land je 600-g-Packg.",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Halloween-Fledermäuse,Keine Marke,"€ 1,49",Kein vorheriger Preis,"€ 1,49 / Stk -",Details im Prospekt,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Bio Passierte Tomaten,Mutti,"€ 1,99",Kein vorheriger Preis,"€ 2,84 / kg -",HINWEIS: MIT KAUFLAND CARD 1.79 € aus Italien je 3 x 200-g-Packg. oder 700-g-Fl.,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
WC Aktiv Gel,00,"€ 1,49",Kein vorheriger Preis,"€ 1,99 / l -","langanhaltende Frische und hygienische Sauberkeit, stark gegen Kalk, versch. Sorten je 750-ml-Fl.",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Mandeln,K-Classic,"€ 1,59",Kein vorheriger Preis,"€ 7,95 / kg -",gemahlen gemahlen je 200-g-Beutel,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Gefüllte Lebkuchenherzen,Weiss,"€ 2,69",Kein vorheriger Preis,"€ 8,97 / kg -","Zartbitter oder Vollmilch, mit Aprikosen-Fruchtfüllung je 300-g-Packg.",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Hähnchengeschnetzeltes XXL,K-Purland,"€ 6,99",Kein vorheriger Preis,"€ 8,74 / kg -",aus dem Brustfilet geschnitten je 800-g-Großpackg.,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Sonntagsaufschnitt,Wiesbauer,"€ 2,79",Kein vorheriger Preis,"€ 13,95 / kg -",HINWEIS: MIT KAUFLAND CARD 2.49 € mit 4 Schinkenspezialitäten je 200-g-Packg.,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Rückenlehnen Organizer,osann,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt.,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Reines Sonnenblumenöl,Thomy,"€ 1,99",Kein vorheriger Preis,"€ 2,66 / l -",reich an Vitamin E je 750-ml-Fl.,Nein,13.10. - 15.10.,2025-10-13,2025-10-15
Crispy Chickimicki Burger,The Vegetarian Butcher,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / kg -","Niederl./belg. Fleischtomaten, lose Kl. I je kg",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Ravioli,Maggi,"€ 1,99",Kein vorheriger Preis,"€ 2,49 / kg -",versch. Sorten je 800-g-Dose,Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Hefe-Weißbier Naturtrüb,Paulaner,"€ 13,99",Kein vorheriger Preis,"€ 1,40 / l -","(+ 3.10 Pfand) je Ka. 20 x 0,5-l-Fl.",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Schweizer Wurstsalat,K-Classic,"€ 2,69",Kein vorheriger Preis,"€ 6,73 / kg -","aus Lyoner, mit Emmentaler Käse und Zwiebeln verfeinert je 2 x 200-g-Packg.",Nein,09.10. - 15.10.,2025-10-09,2025-10-15
Prodomo Kaffeepads,Dallmayr,"€ 1,99",Kein vorheriger Preis,"€ 17,77 / kg -",oder Crema d'Oro mild & fein je 16 St. = 112-g-Packg.,Nein,13.10. - 15.10.,2025-10-13,2025-10-15
