Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
SUNTORY,-196 Double Lemon oder Grapefruit,"€ 1,99",2.69,1 l = 6.03,"alk. Mixgetränk mit Vodka und Shochu, 10 Vol. % (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_287.jpg,"cat_getraenke,tag_ultra_processed"
PARKSIDE,2-in-1-Hochbeet,"€ 19,99",,Kein Mengenpreis,"Nutzbar als Hochbeet oder als Pflanzkasten Ideal zur Ansaat von Kräutern, Gemüse, Blumen Aus Kunststoff In Rattan-Geflecht-Optik Witterungs- und UV-beständig Herausnehmbarer Pflanzeinsatz Pflanzeinsatz mit Wasserstandsanzeige Mit Stopfen zur Wasserentleerung Pflanzvolumen max. 30 l Größe ca. B 60 x H 24/46 x T 25 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_492.jpg,cat_non_food
SEVERIN,2-in-1-Mikrowelle MW 7781,"€ 59,99",,Kein Mengenpreis,"Zum Grillen, Auftauen, Erwärmen Garraum ca. 17 l 9 Leistungsstufen inkl. Grill und Auftauen Grillfunktion getrennt und kombiniert schaltbar 9 automatische Programme Timer bis 30 min Grillrost ca. Ø 20 cm Drehteller ca. Ø 25 cm Max. 700 W, Grill max. 900 W Größe ca. B 47 x H 27 x T 40 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_357.jpg,cat_non_food
METAXA,5-Stern,"€ 10,99",,1 l = 15.70,"griech. Spirituosenspezialität, 38 Vol. %",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_290.jpg,cat_getraenke
K-CLASSIC,Abfalleimer 50 l,"€ 5,99",,Kein Mengenpreis,Aus Kunststoff Kuppeldeckel mit Schiebeverschluss (per Knauf) Passend für handelsübliche 50-l-Müllbeutel Größe ca. Ø 40 x 68 cm,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_397.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
INVICTUS,Akku-Handstaubsauger INVICTUS ONE 2 0,"€ 49,99",,Kein Mengenpreis,"2 in 1: Boden- und Handstaubsauger 2-fach-HEPA-Filtersystem inkl. Ersatzfilter 90-ml-Staubbehälter mit Quick-Clean-Funktion Fugen-, Bodendüse, Aufsatzbürste, Bürstenaufsatz",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_360.jpg,"cat_non_food,diet_vegetarian"
PARKSIDE,Akku-Rasenmäher 20 V PRMHA 20-Li B2 ohne Akku,"€ 49,99",,Kein Mengenpreis,Ideal für kleine Gärten oder Vorgärten bis 50 m² Robustes Gehäuse mit leichtlaufenden Rädern Klappfunktion zur platzsparenden Aufbewahrung Zentrale 3-Stufen-Schnitthöheneinstellung Schnitthöhe ca. 30 - 50 mm Schnittbreite ca. 22 cm Mit Mulchmesser Leerlaufdrehzahl 6.000 min¹ Kompatibel mit Akkus der Serie »X 20V Team« Ohne Akku und Ladegerät (separat erhältlich) Empfohlener Akku: 4 Ah Inkl. Reinigungsspachtel 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_516.jpg,cat_non_food
PARKSIDE,Akku-Universalstreuer 20 V PUSA 20-Li B1 ohne Akku,"€ 24,99",,Kein Mengenpreis,"Ideal zum Düngen, Säen oder Streuen Fassungsvermögen ca. 3,3 l Flächenleistung max. 800 m² Streubreite max. 5 m (individuell einstellbar) 8-stufige Streugut-Mengenregulierung 6-stufige elektronische Drehzahlregulierung Drehzahl max. 2.200 min⁻¹ Griff mit rutschhemmender Softgrip-Ausstattung Schaufelabdeckung aus Kunststoff Ohne Akku und Ladegerät (separat erhältlich) Kompatibel mit Akkus der Serie »X 20V Team« 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_515.jpg,cat_non_food
RÜCKER,Alt-Mecklenburger Tilsiter,"€ 1,09",2.19,Kein Mengenpreis,"dtsch. Schnittkäse, herzhaft bis pikant, 45 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 09.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-09,2026-03-11,images_kaufland/kaufland_offer_004.jpg,"cat_molkerei_kaese,sub_kaese"
Lammhaxe,am Stück,"€ 14,90",,Kein Mengenpreis,"am Stück, ideal zum Braten",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_137.jpg,"cat_fleisch_wurst,tag_ultra_processed"
