Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
KAISER,12er-Muffinform Gourmet,"€ 4,99",UVP 14.99,Kein Mengenpreis,Aus antihaftbeschichtetem Stahlblech Größe ca. 38 x 27 cm,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_478.jpg,"cat_fleisch_wurst,diet_vegetarian",,ref_000001,obs_0000013274,obs_0000013274
BESTRON,3-in-1-Sandwichmaker ASM8010,"€ 19,99",UVP 49.99,Kein Mengenpreis,"Sandwichmaker, Waffeleisen und Kontaktgrill Alu-Druckguss-Wechselplatten antihaftbeschichtet Platten spülmaschinengeeignet Mit Backampel Verriegelbarer Griff Anti-Rutsch-Füße Kabel ca. 1 m mit Aufwicklung Leistungsaufnahme 750 W Inkl. Rezeptvorschläge",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_411.jpg,cat_non_food,,ref_000002,,
EASYMAXX,5-in-1-Silikonentferner,"€ 7,99",,Kein Mengenpreis,Zum einfachen Silikonentfernung/-verarbeitung Erzeugt 28 versch. Fugen Messer zum einfachen Öffnen von Silikontuben Metallspitze zum Lösen von Silikonresten Inkl. je 5 Aufsteck-Fugenglätter und -spachtel,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_458.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,ref_000003,,
PARKSIDE,Akku-Bohrschrauber-Set 20 V PABS 20-Li I9 mit 2 Akkus,"€ 59,99",,Kein Mengenpreis,"25 Drehmomentstufen + Bohrstufe Drehmoment max. 45 Nm Drehzahl max. 430/1.500 min-1 Metall-Schnellspannbohrfutter 1,5 - 13 mm Automatische Spindel-Arretierung (Spindle Lock) Bohr-Ø Holz/Metall max. 30/13 mm Rutschhemmende Softgrip-Ausstattung Integrierte LED-Arbeitsleuchte 2 magnetische Bit-Halter am Gerät Gürtelclip inkl. Flaschenöffner-Funktion Kompatibel mit Akkus der Serie »X 20 V Team« Inkl. 2 Akkus (2 Ah), Ladegerät und Koffer Inkl. Zubehör-Set (u. a. 19 Bohrer, 14 Bits) 3 Jahre Garantie",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_440.jpg,cat_non_food,,ref_000004,obs_0000017891|obs_0000021958|obs_0000020723|obs_0000016679|obs_0000000133|obs_0000014740|obs_0000023610|obs_0000018038|obs_0000016364,
JACK DANIEL S,Alkoholisches Mixgetränk,"€ 2,00",2.99,1 l = 6.07,"Tennessee-Whiskey mit Coca-Cola, Lynchburg Lemonade, Berry oder Ginger, 10 Vol. % (+ 0.25 Pfand)",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_328.jpg,"cat_getraenke,tag_ultra_processed",,ref_000005,obs_0000013587|obs_0000011872|obs_0000024139|obs_0000013588|obs_0000011871,obs_0000013587|obs_0000011872
EHRMANN,Almighurt,"€ 0,39",,1 kg = 2.60,"Fruchtjoghurt, versch. Sorten, 3,5 - 3,8 % Fett im Milchanteil",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_135.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,ref_000006,obs_0000026652|obs_0000004688|obs_0000026768|obs_0000004261|obs_0000003834|obs_0000002879|obs_0000001348|obs_0000000360|obs_0000011640|obs_0000021430|obs_0000031163|obs_0000012742|obs_0000013795|obs_0000000497|obs_0000000513|obs_0000031379|obs_0000031978|obs_0000025867|obs_0000005122|obs_0000005687|obs_0000028243|obs_0000006781|obs_0000030019|obs_0000029545,obs_0000005122|obs_0000026652|obs_0000005687|obs_0000004688|obs_0000026768|obs_0000004261|obs_0000003834|obs_0000002879|obs_0000001348|obs_0000000360|obs_0000011640|obs_0000021430|obs_0000031163|obs_0000012742|obs_0000013795|obs_0000000497
RÜCKER,Alt-Mecklenburger oder Alter Schwede,"€ 1,69",2.19,1 kg = 16.90) / (1 kg = 12.90)**,"naturgereifter Schnittkäse, rahmig-kräftig oder nordisch-pikant, 50 - 60 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_160.jpg,"cat_molkerei_kaese,sub_kaese",,ref_000007,obs_0000013831|obs_0000012767,obs_0000013831
HENGSTENBERG,Altmeister Essig,"€ 0,99",1.69,1 l = 1.32,weinwürzig,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_193.jpg,cat_grundnahrung,,ref_000008,obs_0000013065|obs_0000009169|obs_0000005156|obs_0000014375,obs_0000013065|obs_0000005156
3M,Aluminium-Klebeband,"€ 1,99",,1 m = 0.14,Schützt vor Hitzeeinstrahlung Temperaturbeständig bis 60 °C Von Hand abreißbar Größe ca. 50 mm x 15 m,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_436.jpg,cat_non_food,,ref_000009,obs_0000023408|obs_0000025019,
DR OETKER,Aromen,"€ 0,69",0.99,1 l = 86.25,"zum Verfeinern, versch. Sorten",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_229.jpg,"cat_grundnahrung,sub_tk_pizza,tag_ultra_processed",,ref_000010,obs_0000013101,obs_0000013101
LIV BO,Aufbewahrungsbox,"€ 4,99",,Kein Mengenpreis,"Aus Kunststoff und Bambus Für z. B. Kosmetik, Accessoires, Bad-Utensilien Größe ca. B 20 x H 11 x T 14 cm",Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_487.jpg,cat_non_food,,ref_000011,obs_0000008371|obs_0000011985|obs_0000014550|obs_0000007949|obs_0000011538|obs_0000008037|obs_0000018295|obs_0000024984|obs_0000008117|obs_0000008135|obs_0000022000|obs_0000014544|obs_0000014558,obs_0000008371
ARGETA,Aufstrich,"€ 1,00",1.49,1 kg = 10.53,versch. Sorten,Nein,Dieses Angebot findest du vom 12.03. bis 18.03. in deiner Kaufland-Filiale.,2026-03-12,2026-03-18,images_kaufland/kaufland_offer_192.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian",BLS-S131100,ref_000012,obs_0000010127|obs_0000013778|obs_0000021843|obs_0000016471|obs_0000025465|obs_0000006274|obs_0000031267|obs_0000030140|obs_0000021917|obs_0000002524|obs_0000005917|obs_0000031279|obs_0000006790|obs_0000006247|obs_0000006987|obs_0000032301,obs_0000010127|obs_0000013778
