Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Touch Apfel Geschmack,Volvic,"€ 1,19",Kein vorheriger Preis,"€ 0,79 / l -",HINWEIS: MIT KAUFLAND CARD 0.99 € oder Tee Mineralwasser mit Fruchtgeschmack oder mit Auszügen von T...,Nein,29.09. - 01.10.,2025-09-29,2025-10-01
Passionsfrucht,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",Südafrik. Kl. I je Stück,Nein,29.09. - 01.10.,2025-09-29,2025-10-01
Damen Langarm-Shirt,Mustang,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Cola,K-Classic,"€ 0,49",Kein vorheriger Preis,"€ 0,33 / l -","Cola-Mix oder Limonade versch. Sorten, z. T. koffeinhaltig (+ 0.25 Pfand) je 1,5-l-PET-Fl.",Nein,29.09. - 01.10.,2025-09-29,2025-10-01
Putenbrust,Langewiesche,"€ 1,79",Kein vorheriger Preis,"€ 17,90 / kg -",mit Paprika je 100 g,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Herren Jeans,Mustang,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",Details im Prospekt,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Himbeeren,Driscoll's,"€ 1,79",Kein vorheriger Preis,"€ 14,32 / kg -",Portug./marokk. Kl. I je 125-g-Schale,Nein,29.09. - 01.10.,2025-09-29,2025-10-01
Herren Retroboxer 3 Stück,Mustang,"€ 12,99",Kein vorheriger Preis,"€ 4,33 / Stk -",Details im Prospekt,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Gouda Holland Pikant,Landana,"€ 0,88",Kein vorheriger Preis,"€ 8,80 / kg -","holl. Schnittkäse, vollmundigaromatisch, 48 % Fett i. Tr. je 100 g",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Herren-Boots,Mustang,"€ 34,99",Kein vorheriger Preis,"€ 34,99 / Stk -",Details im Prospekt,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Herbstpflanzen,Keine Marke,"€ 2,49",Kein vorheriger Preis,"€ 2,49 / Stk -","Calluna oder Erica, einfarbig oder dreifarbig, Topf Ø 11 - 12 cm je",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Geschirrspülmittel,Fairy,"€ 2,29",Kein vorheriger Preis,"€ 2,55 / l -","Zitrone, Original oder Granatapfel je 900-ml-Fl.",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Herren-Sneaker,Mustang,"€ 34,99",Kein vorheriger Preis,"€ 34,99 / Stk -",Details im Prospekt,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Orchidee,Keine Marke,"€ 8,88",Kein vorheriger Preis,"€ 8,88 / Stk -","mit 2 blühenden Trieben, in versch. Farben, Topf Ø 12 cm je",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Akku-Drehschlagschrauber Starterset 20 V PASSK 20­Li C4,Parkside,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -","HINWEIS: MIT KAUFLAND CARD 29.99, Details im Prospekt",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Herren-Pyjama,Townland,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Teleskopratsche,Parkside,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
One Katzennahrung,Purina,"€ 2,99",Kein vorheriger Preis,"€ 3,99 / kg -",HINWEIS: MIT KAUFLAND CARD 2.49 € versch. Sorten je 750-g-Beutel,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Energy Drink,Red Bull,"€ 0,85",Kein vorheriger Preis,"€ 3,40 / l -","oder Erfrischungsgetränk versch. Sorten, z. T. taurin- und koffeinhaltig (+ 0.25 Pfand) je 0,25 - 0,...",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Mini-Würstchen,Ferdi Fuchs,"€ 1,00",Kein vorheriger Preis,"€ 7,69 / kg -",versch. Sorten je 48 - 130-g-Packg.,Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Sahnepudding Vanille,Landliebe,"€ 0,49",Kein vorheriger Preis,"€ 2,17 / kg -","Sahne-, Vollmilch- oder Grießpudding, versch. Sorten je 150 - 225-g-Becher",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
XXL Hähnchenflügel,K-Purland,"€ 4,49",Kein vorheriger Preis,"€ 4,49 / kg -","HKL A, ohne Spitze je 1-kg-Großpackg.",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
Rispentomaten,Keine Marke,"€ 1,49",Kein vorheriger Preis,"€ 1,49 / kg -","Niederl. Rispentomaten, lose Kl. I je kg",Nein,25.09. - 01.10.,2025-09-25,2025-10-01
