Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
EHRMANN,Grand Dessert,0.49,1.19,1 kg = 2.58,-58%,je 190-g-Becher,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_01.jpg
KERRYGOLD,Extra,2.69,5.99,1 kg = 6.73,-55%,je 400-g-Becher,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_02.jpg
,"Span. Kaki, lose",0.39,0.79,,-50%,je Stück,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_03.jpg
SALZBURGMILCH,Premium Heujuwel,0.99,1.99,,-50%,je 100 g,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_04.jpg
RÜGENWALDER MÜHLE,Teewurst,1.19,2.39,,-50%,je 100 g,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_05.jpg
PATROS,Salzlakenkäse od. Pflanzlich,1.69,3.29,1 kg = 9.39 - 13.00,-48%,je 130 - 180-g-Packg.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_06.jpg
BÄRENMARKE,"Haltbare Milch, 3,8 % Fett",0.99,1.79,,-44%,je 1-l-Packg.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_07.jpg
MAGNUM,Premium-Eis Mini,2.49,4.49,1 l = 7.55,-44%,je 330-ml-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_08.jpg
LANDLIEBE,Landkäse,1.49,2.69,1 kg = 9.94,-44%,je 150-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_09.jpg
MAGGI,Ravioli,1.69,2.99,1 kg = 2.12,-43%,je 800-g-Dose,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_10.jpg
LYSELL,Heringsfiletröllchen,1.69,2.99,Abtropfgewicht 75 g - 90 g 1 kg = 18.78 - 22.54,-43%,je 125-g-Dose,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_11.jpg
,"Marokk. Bohnen, breit",1.99,3.49,1 kg = 3.98,-42%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_12.jpg
HERTA,Finesse Aufschnitt,1.49,2.59,1 kg = 14.90 / 1 kg = 12.90**,"-42%; 1.29€, mit Kaufland Card",je 100-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_13.jpg
K-PURLAND,Schinkenbraten,5.49,8.99,,-38%,je kg,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_15.jpg
MÜLLER,Doppel-Decker oder Wackelpudding,0.99,1.59,1 kg = 1.98,-37%,je 4 x 125-g-Becher,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_16.jpg
LOTUS,Biscoff,1.29,1.99,1 kg = 6.45,-35%,je 200-g-Packg.,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_17.jpg
,Ital./span. Bio-Zitronen,1.29,1.99,1 kg = 2.58,-35%,je 500-g-Netz,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_18.jpg
,Brasil. Bio-Limetten,1.29,1.99,,-35%,je 4-St-Packg.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_19.jpg
,Dtsch./span. Cherryrispentomaten,2.29,3.49,1 kg = 7.64,-34%,je 300-g-Schale,Nein,Dieses Angebot findest du vom 17.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-17,2025-11-19,images_kaufland/kaufland_offer_20.jpg
WIESBAUER,Österr. Wurstspezialitäten,1.49,,1 kg = 18.63 / 1 kg = 16.13**,"nur; 1.29€, mit Kaufland Card",je 80-g-Packg.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_21.jpg
K-CLASSIC,Bacon-Scheiben,1.11,,1 kg = 11.10 / 1 kg = 9.90**,"nur; 0.99€, mit Kaufland Card",je 100-g-Packg.,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_22.jpg
