Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Erweiterungs-Set,Lupilu,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Kopfkissen,Livarno Home,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Kuscheldecke,Livarno Home,"€ 7,79",Kein vorheriger Preis,"€ 7,79 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Goldfischli,Funny Frisch,"€ 1,11",Kein vorheriger Preis,"€ 11,10 / kg -",Versch. Sorten. Je 100 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Schlemmerfilet,Nordsee,"€ 2,49",Kein vorheriger Preis,"€ 6,55 / kg -",Versch. Sorten. Je 380 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
LED-Lichtdekoration,Livarno Home,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Oriental Style Instant Noodles,Mama,"€ 2,22",Kein vorheriger Preis,"€ 7,40 / kg -",Versch. Sorten. Je 275/300 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Geschenkbandset,Crelando,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Schafkäse,Gazi,"€ 4,99",Kein vorheriger Preis,"€ 12,47 / kg -",oder Ziegenkäse Mind. 50 % Fett i.Tr. Je 750 g Abtropfgewicht: 400 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Margarine Backvergnügen XXL,Sanella,"€ 2,89",Kein vorheriger Preis,"€ 3,21 / kg -",Je 900 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Bistro Baguettes,Dr. Oetker,"€ 2,99",Kein vorheriger Preis,"€ 5,98 / kg -","HINWEIS: MIT LIDL PLUS APP, Versch. Sorten. Je 500 g Normalpreis: 4.38",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Corny Müsliriegel,Schwartau,"€ 1,69",Kein vorheriger Preis,"€ 9,66 / kg -",Versch. Sorten. Je 7x 25/7x 20 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Damen Fleece-Jumpsuit,Esmara,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Orangen,Keine Marke,"€ 3,69",Kein vorheriger Preis,"€ 1,23 / kg -",Ursprung: Spanien Klasse I. Je 3 kg,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Tafelschokolade,Fin Carre,"€ 0,79",Kein vorheriger Preis,"€ 7,90 / kg -",Versch. Sorten. Je 100 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
No Milk Haferdrink,Vemondo,"€ 0,95",Kein vorheriger Preis,"€ 0,95 / l -","3,5% Fett. Je 1 l",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Ice Impérial Champagner,Moët & Chandon,"€ 48,90",Kein vorheriger Preis,"€ 65,20 / l -","Champagne/ Frankreich. Je 0,75 l",Nein,12.11. - 22.11.,2025-11-12,2025-11-22
Miraval Côtes de Provence Rosé,Jolie-Pitt & Perrin,"€ 17,90",Kein vorheriger Preis,"€ 23,87 / l -","HINWEIS: NUR ONLINE VERFÜGBAR. AOP, trocken Provence/ Frankreich. Je 0,75 l",Ja,12.11. - 22.11.,2025-11-12,2025-11-22
Manuka Honig,Deluxe,"€ 16,99",Kein vorheriger Preis,"€ 67,96 / kg -",aus Neuseeland Je 250 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Single Malt Irish Whiskey 10 Jahre,Bushmills,"€ 24,99",Kein vorheriger Preis,"€ 35,70 / l -","Je 0,7 l",Nein,12.11. - 22.11.,2025-11-12,2025-11-22
Dessert-Spezialitäten,Deluxe,"€ 2,99",Kein vorheriger Preis,"€ 6,64 / kg -",Versch. Sorten. Enthält Alkohol. Je 450 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Lübecker Edelmarzipan,Favorina,"€ 3,99",Kein vorheriger Preis,"€ 15,96 / kg -",Je 250 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Bierfass,Desperados,"€ 16,99",Kein vorheriger Preis,"€ 3,40 / l -",mit Zapfhahn. Je 5 l,Nein,12.11. - 22.11.,2025-11-12,2025-11-22
Dresdner Christstollen,Dr. Quendt,"€ 5,99",Kein vorheriger Preis,"€ 10,70 / kg -",In Scheiben. Je 560 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Hirschgulasch,Deluxe,"€ 7,99",Kein vorheriger Preis,"€ 19,97 / kg -",Versch. Sorten. Je 400 g,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Ciabatta,Lidl Backshop,"€ 0,55",Kein vorheriger Preis,"€ 1,83 / kg -",HINWEIS: MIT LIDL PLUS APP Je 300 g Normalpreis: 0.79,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Holzwerkzeug,Lupilu,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Kinder Velourskleid,Lupilu,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",Details im Prospekt,Nein,17.11. - 22.11.,2025-11-17,2025-11-22
Knusperente,Deluxe,"€ 8,99",Kein vorheriger Preis,"€ 17,98 / kg -","Halbe Ente, ohne Knochen. Auf Wintergemüse. Je 550 g",Nein,17.11. - 22.11.,2025-11-17,2025-11-22
