Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Dão Reserva,Torre de Ferro,"€ 8,99",Kein vorheriger Preis,"€ 5,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR DOC, Rotwein, trocken Dão/Portugal Je 1,5 l",Ja,26.10. - 08.11.,2025-10-26,2025-11-08
Rum Anejo Aniversario Reserva Exclusiva,Pampero,"€ 19,99",Kein vorheriger Preis,"€ 28,56 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, in Ledertasche Je 0,7 l",Ja,26.10. - 08.11.,2025-10-26,2025-11-08
Kubanischer Rum 3 Jahre,Ron Rumbero,"€ 11,99",Kein vorheriger Preis,"€ 17,13 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Kuba, Je 0,7 l",Ja,26.10. - 08.11.,2025-10-26,2025-11-08
Deluxe Geschenkbox Strandkorb,Sansibar,"€ 29,99",Kein vorheriger Preis,"€ 5,00 / Stk -",Details im Prospekt,Nein,02.11. - 15.11.,2025-11-02,2025-11-15
Rum Masskara,Don Papa,"€ 27,99",Kein vorheriger Preis,"€ 39,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Spirit Drink Philippinen Je 0,7 l",Ja,26.10. - 08.11.,2025-10-26,2025-11-08
Riesling,Vin d’Alsace,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Weißwein, Elsass/Frankreich Je 0,75 l",Ja,26.10. - 08.11.,2025-10-26,2025-11-08
5 Oros Rioja Crianza,Isidro Milagro,"€ 6,99",Kein vorheriger Preis,"€ 9,32 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Rotwein, trocken Rioja/Spanien Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Primitivo di Manduria,Poggio Marù,"€ 8,99",Kein vorheriger Preis,"€ 11,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Manduria DOP Rotwein, trocken Apulien/Italien Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Whispering Angel,Château d'Esclans,"€ 17,99",Kein vorheriger Preis,"€ 23,99 / l -","HINWEIS: NUR ONLINE VERFÜGBAR AOC, Roséwein, trocken Provence/ Frankreich Je 0,75 l",Ja,02.11. - 15.11.,2025-11-02,2025-11-15
Kuytchi,Ron Millonario,"€ 24,99",Kein vorheriger Preis,"€ 35,70 / l -","(Rum-Basis) Peru Je 0,7 l",Nein,26.10. - 08.11.,2025-10-26,2025-11-08
