Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Maccaroni,Combino,"€ 0,69",Kein vorheriger Preis,"€ 1,38 / kg -",02.10. - 11.10.,2025-10-02,2025-10-11
Fusilli,Combino,"€ 0,69",Kein vorheriger Preis,"€ 1,38 / kg -",02.10. - 11.10.,2025-10-02,2025-10-11
Fresh Grapes Raki,Efe,"€ 12,99",Kein vorheriger Preis,"€ 18,56 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Spiced Rum,Remedy,"€ 17,99",Kein vorheriger Preis,"€ 25,70 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Spaghetti,Combino,"€ 0,69",Kein vorheriger Preis,"€ 1,38 / kg -",02.10. - 11.10.,2025-10-02,2025-10-11
Single Malt Scotch Whisky 12 Jahre,Highland Park,"€ 39,99",Kein vorheriger Preis,"€ 57,13 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Highlands Single Malt Scotch Whisky 12 Jahre,Loch Lomond,"€ 34,99",Kein vorheriger Preis,"€ 34,99 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Fusilli XXL,Combino,"€ 1,29",Kein vorheriger Preis,"€ 1,29 / kg -",02.10. - 11.10.,2025-10-02,2025-10-11
Original italienische Penne Rigate,Combino,"€ 0,69",Kein vorheriger Preis,"€ 1,38 / kg -",02.10. - 11.10.,2025-10-02,2025-10-11
Speyside Single Malt Scotch Whisky 29 Jahre,Ben Bracken,"€ 88,88",Kein vorheriger Preis,"€ 126,97 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Overproof Rum,Plantation Rum,"€ 22,22",Kein vorheriger Preis,"€ 31,74 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Blanc Wein Aperitif,L’arrivée,"€ 6,79",Kein vorheriger Preis,"€ 9,05 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Linguine,Combino,"€ 0,69",Kein vorheriger Preis,"€ 1,38 / kg -",02.10. - 11.10.,2025-10-02,2025-10-11
Nudeln XXL,Combino,"€ 1,39",Kein vorheriger Preis,"€ 1,39 / kg -",02.10. - 11.10.,2025-10-02,2025-10-11
Schweine Nackenkoteletts XXL,Metzgerfrisch,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Selection Geflügel Variation,Sheba,"€ 15,99",Kein vorheriger Preis,"€ 4,70 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Likör,Licor 43,"€ 12,99",Kein vorheriger Preis,"€ 18,56 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Original Sahne Muh-Muhs Toffees,Pico Food,"€ 1,79",Kein vorheriger Preis,"€ 8,33 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Mini-Monsieur Cuisine PMMC 5 A1,Playtive,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
