Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Französische Woche,Duc De Coeur,"€ 2,29",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_001.jpg
Matsch- und Buddel-Jacke,Lupilu,"€ 4,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_002.jpg
Selection Cashewkerne,Alesto,"€ 1,99",,1 kg = 9.95,,Nein,,,,images_lidl/lidl_offer_003.jpg
Funktionsshirt mit Merinowolle,CRIVIT,"€ 12,99",,"24,99 €",,Nein,,,,images_lidl/lidl_offer_004.jpg
Tafelschokolade,Milka,"€ 0,99",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_005.jpg
Joghurt mit der Ecke,Müller,"€ 0,35",,"UVP
0,89 €",,Nein,,,,images_lidl/lidl_offer_006.jpg
Gestreifte Premium Tomaten,Gestreifte Premium Tomaten,"€ 2,49",,1 kg = 8.30,,Nein,,,,images_lidl/lidl_offer_007.jpg
Artischocken,Artischocken,"€ 1,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_008.jpg
Birnen,Birnen,"€ 2,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_009.jpg
Zwiebelzopf,Zwiebelzopf,"€ 3,69",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_010.jpg
Bauerngurken,Bauerngurken,"€ 2,99",,1 kg = 3.99,,Nein,,,,images_lidl/lidl_offer_011.jpg
Bananen lose,Fairtrade,"€ 1,69",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_012.jpg
Bio Mini Möhren,Bio Mini Möhren,"€ 0,99",,1 kg = 4.95,,Nein,,,,images_lidl/lidl_offer_013.jpg
Grapefruit,Grapefruit,"€ 0,69",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_014.jpg
Elektro-Oberflächenbürste,Parkside,"€ 49,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_015.jpg
Elektro-Messerhäcksler,Parkside,"€ 79,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_016.jpg
Benzin-Kettensäge,Parkside,"€ 79,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_017.jpg
Akku-Gras- und Strauchschere 4V,Parkside,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_018.jpg
Benzin-Erdbohrer,Parkside,"€ 149,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_019.jpg
Elektro-Laubsauger und -bläser,Parkside,"€ 29,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_020.jpg
Benzin-Laubsauger und -bläser,Parkside,"€ 129,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_021.jpg
Benzin-Rasenmäher,Güde,"€ 169,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_022.jpg
4in1-Benzin-Kombigerät,Parkside,"€ 149,00",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_023.jpg
Sitzbank,Livarno home,"€ 29,99",,"49,99 €",,Nein,,,,images_lidl/lidl_offer_024.jpg
Polsterstuhl-Set,Home Deluxe,"€ 74,99",,"UVP
149,00 €",,Nein,,,,images_lidl/lidl_offer_025.jpg
Küchenzeile,Pino,"€ 2,399,00",,"2.599,00 €",,Nein,,,,images_lidl/lidl_offer_026.jpg
Klappstuhl,Livarno home,"€ 89,99",,"99,99 €",,Nein,,,,images_lidl/lidl_offer_027.jpg
Thermo-Filterkaffeemaschine,Silvercrest,"€ 29,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_028.jpg
Heißluftfritteuse,Tefal,"€ 49,99",,"UVP
119,99 €",,Nein,,,,images_lidl/lidl_offer_029.jpg
Pizzaofen,Severin,"€ 119,00",,"UVP
269,00 €",,Nein,,,,images_lidl/lidl_offer_030.jpg
Bilderrahmen-Set,Livarno,"€ 9,99",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_031.jpg
Allesschneider,Severin,"€ 29,99",,"UVP
49,99 €",,Nein,,,,images_lidl/lidl_offer_032.jpg
Etagere,Silvercrest,"€ 5,99",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_033.jpg
Kaiserbrötchen,Kaiserbrötchen,"€ 0,38",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_034.jpg
Rohwurst,Dulano,"€ 1,29",,1 kg = 6.45,,Nein,,,,images_lidl/lidl_offer_035.jpg
Cronut Haselnuss-Krokant,Cronut Haselnuss-Krokant,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_036.jpg
Flammkuchen,Flammkuchen,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_037.jpg
Pudding Streuselkuchen,Fränkische Feinback,"€ 1,99",,1 kg = 6.63,,Nein,,,,images_lidl/lidl_offer_038.jpg
Cref e Frischkäse,Milbona,"€ 0,79",,"0,99 €",,Nein,,,,images_lidl/lidl_offer_039.jpg
Norwegische Lachsseite,Fischerstolz,"€ 13,49",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_040.jpg
Frisches Gulasch gemischt,Metzgerfrisch,"€ 7,77",,1 kg = 9.71,,Nein,,,,images_lidl/lidl_offer_041.jpg
Metzgerfrisch,Frischer Schweine-Nackenbraten,"€ 5,99",,"8,49 €",,Nein,,,,images_lidl/lidl_offer_042.jpg
Frisches Rinder-Suppenfleisch,Metzgerfrisch,"€ 6,79",,1 kg = 13.58,,Nein,,,,images_lidl/lidl_offer_043.jpg
Frisches Hackfleisch,Metzgerfrisch,"€ 7,99",,1 kg = 6.66,,Nein,,,,images_lidl/lidl_offer_044.jpg
ASC Dorade Royal,Fischerstolz ASC,"€ 5,25",,10.49 €/kg,,Nein,,,,images_lidl/lidl_offer_045.jpg
Premium Frische Maispoularde,Metzgerfrisch,"€ 3,99",,"5,56 €",,Nein,,,,images_lidl/lidl_offer_046.jpg
Frische Hähnchenschenkel,Metzgerfrisch,"€ 8,49",,1 kg = 3.40,,Nein,,,,images_lidl/lidl_offer_047.jpg
Joghurt mit der Ecke,Müller,"€ 0,35",,"UVP
0,89 €",,Nein,,,,images_lidl/lidl_offer_048.jpg
Tafelschokolade,Milka,"€ 0,99",,"1,99 €",,Nein,,,,images_lidl/lidl_offer_049.jpg
La Mia Familia Grande,Dr Oetker,"€ 3,19",,"UVP
4,19 €",,Nein,,,,images_lidl/lidl_offer_050.jpg
Pick Up,Leibniz,"€ 1,79",,"3,79 €",,Nein,,,,images_lidl/lidl_offer_051.jpg
Erfrischungsgetränk,Pepsi,"€ 0,88",,"UVP
1,49 €",,Nein,,,,images_lidl/lidl_offer_052.jpg
Selection Cashewkerne,Alesto,"€ 1,99",,1 kg = 9.95,,Nein,,,,images_lidl/lidl_offer_053.jpg
Actimel XXL,Danone,"€ 3,33",,1 kg = 2.78,,Nein,,,,images_lidl/lidl_offer_054.jpg
Bake Rolls,Tuc,"€ 1,49",,"UVP
2,19 €",,Nein,,,,images_lidl/lidl_offer_055.jpg
Original Irische Butter,Kerrygold,"€ 1,99",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_056.jpg
Energy Drink,Red Bull,"€ 5,29",,"UVP
7,45 €",,Nein,,,,images_lidl/lidl_offer_057.jpg
Selection Walnusskerne,Alesto,"€ 1,99",,1 kg = 9.95,,Nein,,,,images_lidl/lidl_offer_058.jpg
Kekse,Oreo,"€ 1,19",,"UVP
1,89 €",,Nein,,,,images_lidl/lidl_offer_059.jpg
Haltbare Milch,Weihenstephan,"€ 0,99",,"1,69 €",,Nein,,,,images_lidl/lidl_offer_060.jpg
Prodomo,Dallmayr,"€ 7,99",,1 kg = 15.98,,Nein,,,,images_lidl/lidl_offer_061.jpg
Ice Cream Riegel,Snickers Twix Mars Bounty,"€ 2,29",,"UVP
3,69 €",,Nein,,,,images_lidl/lidl_offer_062.jpg
High Protein Vanilla Pudding,Ehrmann,"€ 0,99",,"1,49 €",,Nein,,,,images_lidl/lidl_offer_063.jpg
Coca-Cola,Coca-Cola,"€ 6,66",,1 l = 1.68,,Nein,,,,images_lidl/lidl_offer_064.jpg
Toilettenpapier,The Papermakers,"€ 5,99",,"UVP
8,49 €",,Nein,,,,images_lidl/lidl_offer_065.jpg
Hanuta,Hanuta,"€ 2,79",,"UVP
3,29 €",,Nein,,,,images_lidl/lidl_offer_066.jpg
Maxi King,Kinder,"€ 1,49",,"UVP
1,89 €",,Nein,,,,images_lidl/lidl_offer_067.jpg
Erfrischungsgetränk,Schweppes,"€ 1,59",,"UVP
1,99 €",,Nein,,,,images_lidl/lidl_offer_068.jpg
Sekt Ros,Fürst von Metternich,"€ 5,99",,"UVP
9,99 €",,Nein,,,,images_lidl/lidl_offer_069.jpg
Toasty,Tillman s,"€ 2,99",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_070.jpg
Fruchtsnacks Erdbeere,Nutripur,"€ 5,99",,"UVP
8,99 €",,Nein,,,,images_lidl/lidl_offer_071.jpg
Waschmittel,Ariel,"€ 23,99",,1 WL = .24/ .22/ .30,,Nein,,,,images_lidl/lidl_offer_072.jpg
Finesse,Herta,"€ 1,39",,"UVP
2,59 €",,Nein,,,,images_lidl/lidl_offer_073.jpg
Reiniger,Sagrotan,"€ 2,79",,"UVP
3,29 €",,Nein,,,,images_lidl/lidl_offer_074.jpg
Thunfisch Filets,Nixe,"€ 0,99",,"1,29 €",,Nein,,,,images_lidl/lidl_offer_075.jpg
Sojasauce XXL,Kania,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_076.jpg
Spaghetti XXL,Combino,"€ 0,69",,1 kg = 1.15,,Nein,,,,images_lidl/lidl_offer_077.jpg
Geflügel Fisch Variation,Sheba,"€ 21,49",,"UVP
37,99 €",,Nein,,,,images_lidl/lidl_offer_078.jpg
Shampoo,Pantene Pro-V,"€ 8,89",,"UVP
11,99 €",,Nein,,,,images_lidl/lidl_offer_079.jpg
Pils,Beck s,"€ 3,95",,"UVP
5,40 €",,Nein,,,,images_lidl/lidl_offer_080.jpg
Schokolade XXL,Kinder,"€ 5,79",,1 kg = 12.87,,Nein,,,,images_lidl/lidl_offer_081.jpg
Aloe Vera Getränk XXL,Solevita,"€ 2,49",,1 l = 1.66,,Nein,,,,images_lidl/lidl_offer_082.jpg
Anti-Schuppen Shampoo XXL,Head Shoulders,"€ 9,99",,"UVP
12,49 €",,Nein,,,,images_lidl/lidl_offer_083.jpg
Burgerbrötchen XXL,Grafschafter,"€ 1,19",,1 kg = 2.64,,Nein,,,,images_lidl/lidl_offer_084.jpg
Duplo Riegel,Kinder,"€ 5,39",,1 kg = 14.81/12.83,,Nein,,,,images_lidl/lidl_offer_085.jpg
Jaffa Cake Orange XXL,Sondey,"€ 2,59",,1 kg = 5.76,,Nein,,,,images_lidl/lidl_offer_086.jpg
Fertiggericht,Youcook,"€ 3,79",,"4,79 €",,Nein,,,,images_lidl/lidl_offer_087.jpg
