Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Aluminium-Klappsessel,Livarno,"€ 34,99",,"39,99 €",,Nein,,,,images_lidl/lidl_offer_001.jpg,cat_non_food
Energy Drink XXL,Kong Strong,"€ 0,49",,1 l = 0.98,,Nein,,,,images_lidl/lidl_offer_002.jpg,"cat_getraenke,tag_ultra_processed"
Lachsfiletportionen XXL,Ocean Sea,"€ 9,99",,1 kg = 16.65,,Nein,,,,images_lidl/lidl_offer_003.jpg,"cat_fisch_meeresfruechte,diet_lactose_free,tag_high_protein,tag_proteinreich"
Activia XXL,Danone,"€ 2,69",,1 kg = 2.92,,Nein,,,,images_lidl/lidl_offer_004.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed"
Delikatess Kochschinken Hähnchen- Putenbrust XXL,Dulano,"€ 4,49",,1 kg = 11.23,,Nein,,,,images_lidl/lidl_offer_005.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein,sub_wurst,tag_proteinreich,tag_ultra_processed"
Bio Reiswaffeln,Sondey,"€ 0,52",,1 kg = 3.85,,Nein,,,,images_lidl/lidl_offer_006.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Baby-Reisebett,Lupilu,"€ 34,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_007.jpg,cat_non_food
Autokindersitz Modell Musca,Osann,"€ 69,99",,"UVP
99,95 €",,Nein,,,,images_lidl/lidl_offer_008.jpg,cat_non_food
Treppenhochstuhl,Roba,"€ 54,99",,"UVP
89,90 €",,Nein,,,,images_lidl/lidl_offer_009.jpg,cat_non_food
Autokindersitz Huddle I-Size 2,Osann,"€ 89,99",,"UVP
159,95 €",,Nein,,,,images_lidl/lidl_offer_010.jpg,cat_non_food
Wippe,Feber,"€ 29,99",,"UVP
154,99 €",,Nein,,,,images_lidl/lidl_offer_011.jpg,"cat_getraenke,tag_ultra_processed"
Autorennbahn,Carrera,"€ 39,99",,"UVP
87,99 €",,Nein,,,,images_lidl/lidl_offer_012.jpg,cat_non_food
Quadrocopter Helikopter,Jamara,"€ 19,99",,"UVP
37,99 €",,Nein,,,,images_lidl/lidl_offer_013.jpg,cat_non_food
Spielhaus,Feber,"€ 29,99",,"UVP
139,99 €",,Nein,,,,images_lidl/lidl_offer_014.jpg,cat_non_food
Ferngesteuertes Baufahrzeug,Jamara,"€ 29,99",,"UVP
71,99 €",,Nein,,,,images_lidl/lidl_offer_015.jpg,cat_non_food
Bagger,Jamara,"€ 29,99",,"UVP
71,99 €",,Nein,,,,images_lidl/lidl_offer_016.jpg,cat_non_food
E-Bike Trekking 28,Zündapp,"€ 949,00",,"UVP
2.399,00 €",,Nein,,,,images_lidl/lidl_offer_017.jpg,cat_non_food
E-Bike City 28,Telefunken,"€ 949,00",,"UVP
1.769,90 €",,Nein,,,,images_lidl/lidl_offer_018.jpg,"cat_fleisch_wurst,diet_lactose_free,tag_ultra_processed"
Fahrradanhänger,Qeridoo,"€ 379,00",,"UVP
650,00 €",,Nein,,,,images_lidl/lidl_offer_019.jpg,cat_non_food
Fahrradträger,Eufab,"€ 289,00",,"UVP
469,95 €",,Nein,,,,images_lidl/lidl_offer_020.jpg,cat_non_food
E-Bike Mountainbike 27 5,Zündapp,"€ 1,099,00",,"UVP
2.549,00 €",,Nein,,,,images_lidl/lidl_offer_021.jpg,cat_non_food
Pfanne,Pfanne,"€ 17,90",,"UVP
44,99 €",,Nein,,,,images_lidl/lidl_offer_022.jpg,cat_non_food
Kaffeevollautomat,Melitta,"€ 569,00",,"UVP
799,99 €",,Nein,,,,images_lidl/lidl_offer_023.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Pfanne,Tefal,"€ 19,99",,"UVP
49,99 €",,Nein,,,,images_lidl/lidl_offer_024.jpg,cat_non_food
Schmor-Pfanne,Tefal,"€ 39,99",,"UVP
64,99 €",,Nein,,,,images_lidl/lidl_offer_025.jpg,cat_non_food
Filterkaffeemaschine,Severin,"€ 89,99",,"UVP
169,90 €",,Nein,,,,images_lidl/lidl_offer_026.jpg,cat_non_food
Kaffeepadmaschine Senseo,Philips,"€ 49,99",,"UVP
84,99 €",,Nein,,,,images_lidl/lidl_offer_027.jpg,cat_non_food
Pfannen-Set,Tefal,"€ 39,99",,"UVP
94,99 €",,Nein,,,,images_lidl/lidl_offer_028.jpg,cat_non_food
Wok-Pfanne,Tefal,"€ 29,99",,"UVP
49,99 €",,Nein,,,,images_lidl/lidl_offer_029.jpg,cat_non_food
Bio Avocado,Bio Avocado,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_030.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Bio Basmati Reis,Golden Sun,"€ 1,27",,1 kg = 2.54,,Nein,,,,images_lidl/lidl_offer_031.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_reis,tag_whole_food"
Bio Strauchtomaten,Bio Strauchtomaten,"€ 1,59",,1 kg = 3.18,,Nein,,,,images_lidl/lidl_offer_032.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Käse,Bioland,"€ 3,51",,1 kg = 15.91,,Nein,,,,images_lidl/lidl_offer_033.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
Bio Brühe,Kania,"€ 1,11",,1 l = -0.16,,Nein,,,,images_lidl/lidl_offer_034.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Rote Bio Zwiebeln,Rote Bio Zwiebeln,"€ 1,03",,1 kg = 2.06,,Nein,,,,images_lidl/lidl_offer_035.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Dinkel Hafer Müsli Früchte,Bioland,"€ 2,63",,1 kg = 5.26,,Nein,,,,images_lidl/lidl_offer_036.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Bio Reiswaffeln,Sondey,"€ 0,52",,1 kg = 3.85,,Nein,,,,images_lidl/lidl_offer_037.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Dinkel Nudeln,Bioland,"€ 1,16",,1 kg = 2.32,,Nein,,,,images_lidl/lidl_offer_038.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian,tag_whole_food"
Mandarinen Clementinen,Mandarinen Clementinen,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_039.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Rote Äpfel,Rote Äpfel,"€ 1,69",,1 kg = -.85,,Nein,,,,images_lidl/lidl_offer_040.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
Deglet Nour Datteln,Deglet Nour Datteln,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_041.jpg,cat_non_food
Trauben Mix,Trauben Mix,"€ 1,99",,1 kg = 3.98,,Nein,,,,images_lidl/lidl_offer_042.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Chicoree,Chicoree,"€ 1,39",,1 kg = 2.78,,Nein,,,,images_lidl/lidl_offer_043.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
Salat-Mix,Salat-Mix,"€ 0,99",,"1,19 €",,Nein,,,,images_lidl/lidl_offer_044.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
Veganer Bio Haferdrink ohne Zucker,Vemondo,"€ 0,72",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_045.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
Bio Italienische Tomaten gehackt,Baresa,"€ 0,60",,1 l = 1.41,,Nein,,,,images_lidl/lidl_offer_046.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Rübenzucker,Bioland,"€ 1,19",,1 kg = 1.59,,Nein,,,,images_lidl/lidl_offer_047.jpg,cat_grundnahrung
Bio Natives Olivenöl Extra,Primadonna,"€ 5,56",,"6,95 €",,Nein,,,,images_lidl/lidl_offer_048.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Bio Maisstangen,Lupilu,"€ 0,68",,1 kg = 13.60,,Nein,,,,images_lidl/lidl_offer_049.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Bioland Hirtenkäse,Milbona,"€ 1,75",,"2,19 €",,Nein,,,,images_lidl/lidl_offer_050.jpg,cat_molkerei_kaese
Bio Hummus,Chef Select,"€ 1,19",,1 kg = 5.95,,Nein,,,,images_lidl/lidl_offer_051.jpg,"cat_sonstiges,diet_lactose_free,diet_vegan,diet_vegetarian"
Bioland Haltbare Milch,Milbona,"€ 0,92",,"1,15 €",,Nein,,,,images_lidl/lidl_offer_052.jpg,cat_molkerei_kaese
Käse am Stück,Bioland,"€ 1,91",,1 kg = 9.55,,Nein,,,,images_lidl/lidl_offer_053.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
Veganer Bio Brotaufstrich Papaya Mango Curry,Vemondo,"€ 1,00",,1 kg = 5.56,,Nein,,,,images_lidl/lidl_offer_054.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
Bio Griechischer Feta,Milbona,"€ 2,12",,1 kg = 10.60,,Nein,,,,images_lidl/lidl_offer_055.jpg,cat_molkerei_kaese
Bio Sonnenmais,Freshona,"€ 0,84",,"1,05 €",,Nein,,,,images_lidl/lidl_offer_056.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Ciabatta,Ciabatta,"€ 0,59",,"0,79 €",,Nein,,,,images_lidl/lidl_offer_057.jpg,"cat_grundnahrung,diet_vegetarian"
Käselaugenstange,Käselaugenstange,"€ 1,18",,"1,77 €",,Nein,,,,images_lidl/lidl_offer_058.jpg,"cat_grundnahrung,diet_vegetarian,sub_kaese,sub_milchprodukte"
Brioche-Croissant mit Cremefüllung,Brioche-Croissant mit Cremefüllung,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_059.jpg,"cat_drogerie,tag_ultra_processed"
Kakao Donuts XXL,Kakao Donuts XXL,"€ 2,59",,1 kg = 8.46,,Nein,,,,images_lidl/lidl_offer_060.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Apfeltasche,Apfeltasche,"€ 1,38",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_061.jpg,cat_non_food
Marillenspitzen,Marillenspitzen,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_062.jpg,cat_non_food
Chicken Nuggets,Metzgerfrisch,"€ 7,79",,1 kg = 5.99,,Nein,,,,images_lidl/lidl_offer_063.jpg,cat_fleisch_wurst
Frisches Hähnchen-Geschnetzeltes,Metzgerfrisch,"€ 3,79",,"4,99 €",,Nein,,,,images_lidl/lidl_offer_064.jpg,cat_fleisch_wurst
Barbarie Entenbrustfilet,Deluxe,"€ 5,40",,kg = 17.99,,Nein,,,,images_lidl/lidl_offer_065.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich"
Frische Hähnchen-Schenkel,Metzgerfrisch,"€ 3,99",,1 kg = 3.63,,Nein,,,,images_lidl/lidl_offer_066.jpg,cat_fleisch_wurst
ASC Frisches Lachsforellenfilet,Fischerstolz,"€ 2,79",,1 kg = 15.50,,Nein,,,,images_lidl/lidl_offer_067.jpg,"cat_fisch_meeresfruechte,tag_high_protein,tag_proteinreich"
Frisches Hackfleisch gemischt,Metzgerfrisch,"€ 6,99",,1 kg = 5.83,,Nein,,,,images_lidl/lidl_offer_068.jpg,cat_fleisch_wurst
Metzgerfrisch Frische Rinder-Rouladen,Metzgerfrisch Frische Rinder-Rouladen,"€ 8,49",,1 kg = 16.98,,Nein,,,,images_lidl/lidl_offer_069.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,sub_schwein,tag_proteinreich"
Bio Lachsseite,Fischerstolz,"€ 18,00",,19.99 €/kg,,Nein,,,,images_lidl/lidl_offer_070.jpg,cat_fisch_meeresfruechte
Coca-Cola Fanta Sprite Mezzo Mix,Coca-Cola,"€ 0,99",,"UVP
1,59 €",,Nein,,,,images_lidl/lidl_offer_071.jpg,cat_getraenke
Kaergarden Butter,Arla,"€ 1,29",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_072.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte"
Pasta Sauce,Barilla,"€ 1,69",,"UVP
3,39 €",,Nein,,,,images_lidl/lidl_offer_073.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_hackfleisch,sub_nudeln"
Pesto,Barilla,"€ 1,79",,"UVP
3,79 €",,Nein,,,,images_lidl/lidl_offer_074.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_nudeln,tag_ultra_processed"
Body Balsam,Mixa,"€ 2,79",,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_075.jpg,"cat_grundnahrung,diet_vegetarian"
Tafelschokolade,Milka,"€ 1,11",,"UVP
1,99 €",,Nein,,,,images_lidl/lidl_offer_076.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Überraschung Riesen-Ei,Kinder,"€ 9,99",,1 kg = 45.41,,Nein,,,,images_lidl/lidl_offer_077.jpg,cat_knabbern_naschen
Feine Eier,Milka,"€ 3,29",,1 kg = 36.56,,Nein,,,,images_lidl/lidl_offer_078.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Schmunzelhase,Milka,"€ 1,49",,"UVP
1,89 €",,Nein,,,,images_lidl/lidl_offer_079.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Kaffee,Melitta,"€ 7,49",,1 kg = 14.98,,Nein,,,,images_lidl/lidl_offer_080.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Duo,Kinder,"€ 2,39",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_081.jpg,cat_knabbern_naschen
Pants Baby Dry Premium Protection XXL,Pampers,"€ 33,99",,"UVP
40,99 €",,Nein,,,,images_lidl/lidl_offer_082.jpg,"cat_getraenke,tag_high_protein,tag_proteinreich"
Bueno,Kinder,"€ 2,49",,"UVP
3,29 €",,Nein,,,,images_lidl/lidl_offer_083.jpg,cat_knabbern_naschen
Pasta,Barilla,"€ 1,99",,"UVP
3,99 €",,Nein,,,,images_lidl/lidl_offer_084.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_hackfleisch,sub_nudeln"
Red Label Blended Scotch Whisky,Johnnie Walker,"€ 10,99",,1 l = 15.70,,Nein,,,,images_lidl/lidl_offer_085.jpg,cat_getraenke
Suprema,Dr Oetker,"€ 3,99",,"UVP
5,49 €",,Nein,,,,images_lidl/lidl_offer_086.jpg,"cat_grundnahrung,tag_ultra_processed"
KitKat,Nestl,"€ 1,99",,"2,99 €",,Nein,,,,images_lidl/lidl_offer_087.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Ostermischung,Milka,"€ 4,99",,"UVP
6,59 €",,Nein,,,,images_lidl/lidl_offer_088.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Müllermilch Shake,Müller,"€ 0,79",,"UVP
1,49 €",,Nein,,,,images_lidl/lidl_offer_089.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Tafelschokolade,Fin Carr,"€ 1,09",,1 kg = 10.90,,Nein,,,,images_lidl/lidl_offer_090.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Milch Freunde Schokoladenbonbons,Mister Choc,"€ 2,19",,"2,49 €",,Nein,,,,images_lidl/lidl_offer_091.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_milchprodukte,tag_ultra_processed"
Mini Friends,Kinder,"€ 3,39",,1 kg = 27.79,,Nein,,,,images_lidl/lidl_offer_092.jpg,cat_knabbern_naschen
Löffel Ei,Milka,"€ 3,79",,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_093.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Mini Eggs,Kinder,"€ 2,49",,1 kg = 29.29,,Nein,,,,images_lidl/lidl_offer_094.jpg,cat_knabbern_naschen
Tafelschokolade,Fin Carr,"€ 0,85",,1 kg = 8.50,,Nein,,,,images_lidl/lidl_offer_095.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Maxi Mix,Kinder,"€ 5,79",,1 kg = 36.88,,Nein,,,,images_lidl/lidl_offer_096.jpg,cat_knabbern_naschen
Weichspüler Aromatherapie,Vernel,"€ 1,85",,"UVP
2,99 €",,Nein,,,,images_lidl/lidl_offer_097.jpg,cat_drogerie
