Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Kinder-Spielteppich,Livarno,"€ 8,88",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_01.jpg
Schokolade,Milka,"€ 2,59",Kein vorheriger Preis,"UVP
4,99 €",,Nein,,,,images_lidl/lidl_offer_02.jpg
Haltbare Milch,Weihenstephan,"€ 0,89",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_03.jpg
Zero Zucker,Pepsi,"€ 0,59",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_04.jpg
Renforc -Bettwäsche,Livarno,"€ 5,99",Kein vorheriger Preis,"12,99 €",,Nein,,,,images_lidl/lidl_offer_05.jpg
Eis,Mövenpick,"€ 1,49",Kein vorheriger Preis,"3,99 €",,Nein,,,,images_lidl/lidl_offer_06.jpg
Feine Butter,Meggle,"€ 1,29",Kein vorheriger Preis,"2,99 €",,Nein,,,,images_lidl/lidl_offer_07.jpg
Raclette-Variation,1 29,"€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_08.jpg
Spaghetti XXL,Combino,"€ 1,29",Kein vorheriger Preis,"1,49 €",,Nein,,,,images_lidl/lidl_offer_09.jpg
Gouda jung,Milbona,"€ 3,49",Kein vorheriger Preis,"5,49 €",,Nein,,,,images_lidl/lidl_offer_10.jpg
Bellarom Premium Röstkaffee Kräftig,5 49 5 99,"€ 5,49",Kein vorheriger Preis,"5,99 €",,Nein,,,,images_lidl/lidl_offer_11.jpg
Deutsche Markenbutter,Milbona,"€ 0,99",Kein vorheriger Preis,"1,19 €",,Nein,,,,images_lidl/lidl_offer_12.jpg
frischer Orangensaft,Solevita,"€ 2,59",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_13.jpg
Thermo-Kaffeemaschine,Rowenta,"€ 45,99",Kein vorheriger Preis,"UVP
109,99 €",,Nein,,,,images_lidl/lidl_offer_14.jpg
Kombiservice,Silvercrest,"€ 49,99",Kein vorheriger Preis,"59,99 €",,Nein,,,,images_lidl/lidl_offer_15.jpg
Stabmixer,Silvercrest,"€ 14,99",Kein vorheriger Preis,"19,99 €",,Nein,,,,images_lidl/lidl_offer_16.jpg
Elektrische Salz- und Pfeffermühle,Silvercrest,"€ 8,99",Kein vorheriger Preis,"12,99 €",,Nein,,,,images_lidl/lidl_offer_17.jpg
Vakuumierer,Silvercrest,"€ 34,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_18.jpg
Computer- nähmaschine,Singer,"€ 359,00",Kein vorheriger Preis,"UVP
579,00 €",,Nein,,,,images_lidl/lidl_offer_19.jpg
Beutel-Staubsauger,AEG,"€ 129,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_20.jpg
Näh- Stickmaschine,Singer,"€ 799,00",Kein vorheriger Preis,"UVP
239,95 €",,Nein,,,,images_lidl/lidl_offer_21.jpg
Saug- und Wischroboter L60 Hybrid,Eufy,"€ 159,00",Kein vorheriger Preis,"299,00 €",,Nein,,,,images_lidl/lidl_offer_22.jpg
Freeride-Hose,24 99 34 99,"€ 24,99",Kein vorheriger Preis,"34,99 €",,Nein,,,,images_lidl/lidl_offer_23.jpg
Freeride-Jacke,Crivit,"€ 29,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_24.jpg
Freeride-Jacke,Crivit,"€ 29,99",Kein vorheriger Preis,"44,99 €",,Nein,,,,images_lidl/lidl_offer_25.jpg
Fleece Funktionsshirt,Crivit,"€ 9,99",Kein vorheriger Preis,"12,99 €",,Nein,,,,images_lidl/lidl_offer_26.jpg
Damen-Thermo-Funktionstights,Crivit,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_27.jpg
Fleece-Funktionsshirt Damen,Crivit,"€ 9,99",Kein vorheriger Preis,"12,99 €",,Nein,,,,images_lidl/lidl_offer_28.jpg
Damen-Funktionsshirt,Crivit,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_29.jpg
Seamless-Funktionswäsche,Crivit,"€ 9,99",Kein vorheriger Preis,"12,99 €",,Nein,,,,images_lidl/lidl_offer_30.jpg
Orangen,1 99,"€ 1,99",Kein vorheriger Preis,1 kg = 1.00,,Nein,,,,images_lidl/lidl_offer_31.jpg
Heidelbeeren,1 89,"€ 1,89",Kein vorheriger Preis,1 kg = 7.40,,Nein,,,,images_lidl/lidl_offer_32.jpg
Dunkle kernlose Trauben,1 99,"€ 1,99",Kein vorheriger Preis,1 kg = 3.98,,Nein,,,,images_lidl/lidl_offer_33.jpg
Grünpflanze in Schwarz-Weiß-Keramik,7 99,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_34.jpg
Schmetterlingsorchidee,6 99,"€ 6,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_35.jpg
Glücksklee,1 29,"€ 1,29",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_36.jpg
Romatomaten,0 99,"€ 0,99",Kein vorheriger Preis,1 kg = 1.98,,Nein,,,,images_lidl/lidl_offer_37.jpg
Glücksfeder,3 99,"€ 3,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_38.jpg
Rosenkohl,0 85,"€ 0,85",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_39.jpg
Deutsche Speisekartoffeln,Bioland,"€ 1,79",Kein vorheriger Preis,1 kg = -0.90,,Nein,,,,images_lidl/lidl_offer_40.jpg
Avocado lose,0 75,"€ 0,75",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_41.jpg
Galiamelone,1 79,"€ 1,79",Kein vorheriger Preis,kg-Preis,,Nein,,,,images_lidl/lidl_offer_42.jpg
Rote Spitzpaprika,1 49,"€ 1,49",Kein vorheriger Preis,1 kg = 2.98,,Nein,,,,images_lidl/lidl_offer_43.jpg
Metzgerfrisch Puten-Hacksteaks,2 19,"€ 2,19",Kein vorheriger Preis,1 kg = 6.84,,Nein,,,,images_lidl/lidl_offer_44.jpg
Frisches Schlachtpaket,5 49,"€ 5,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_45.jpg
Metzgerfrisch Frische Puten-Brustschnitzel,3 99 5 29,"€ 3,99",Kein vorheriger Preis,"5,29 €",,Nein,,,,images_lidl/lidl_offer_46.jpg
Frische Hähnchen-Brustfilets,Metzgerfrisch,"€ 4,99",Kein vorheriger Preis,"6,79 €",,Nein,,,,images_lidl/lidl_offer_47.jpg
Norwegische Lachseite,14 99,"€ 14,99",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_48.jpg
Metzgerfrisch Frisches Schweinegulasch,9 49,"€ 9,49",Kein vorheriger Preis,1 kg = 5.93,,Nein,,,,images_lidl/lidl_offer_49.jpg
Metzgerfrisch Hähnchen-Oberkeulenrouladen,3 19 3 99,"€ 3,19",Kein vorheriger Preis,"3,99 €",,Nein,,,,images_lidl/lidl_offer_50.jpg
Metzgerfrisch Cevapcici,6 99,"€ 6,99",Kein vorheriger Preis,1 kg = 8.74,,Nein,,,,images_lidl/lidl_offer_51.jpg
Metzgerfrisch Frische Hähnchenschenkel,8 49,"€ 8,49",Kein vorheriger Preis,1 kg = 3.40,,Nein,,,,images_lidl/lidl_offer_52.jpg
Metzgerfrisch Frisches Hackfleisch gemischt,7 49,"€ 7,49",Kein vorheriger Preis,1 kg = 6.24,,Nein,,,,images_lidl/lidl_offer_53.jpg
Metzgerfrisch Chicken-Crispies,8 49,"€ 8,49",Kein vorheriger Preis,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_54.jpg
Premium Australisches Rinder-Chuck-Eye-Steak,Metzgerfrisch,"€ 2,85",Kein vorheriger Preis,18.99 €/kg,,Nein,,,,images_lidl/lidl_offer_55.jpg
Metzgerfrisch Hähnchen-Knusperchen,6 49,"€ 6,49",Kein vorheriger Preis,1 kg = 8.65,,Nein,,,,images_lidl/lidl_offer_56.jpg
