Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Cream & Marula Fruit,Amarula,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / l -",1 l 17% Vol.,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Stereoanlage MC6580D,Karcher Audio,"€ 79,99",Kein vorheriger Preis,"€ 79,99 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Sekt,Schloss Herrenbrunn,"€ 1,15",Kein vorheriger Preis,"€ 5,75 / l -",trocken 200 ml,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Boombox RR 5045,Karcher Audio,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Auflaufformen Bianco,Ritzenhoff & Breker,"€ 57,95",Kein vorheriger Preis,"€ 14,49 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Glühwein,Rotkäppchen,"€ 3,49",Kein vorheriger Preis,"€ 4,65 / l -","versch. Sorten 0,75 Liter",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Original Österreichische Wurstspezialitäten,Berger,"€ 1,49",Kein vorheriger Preis,"€ 18,63 / kg -",80 g versch. Sorten,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Ungarische Salami,Pick,"€ 2,79",Kein vorheriger Preis,"€ 13,95 / kg -",Mix 200 g versch. Sorten,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Spitztüte,Nappo,"€ 2,49",Kein vorheriger Preis,"€ 16,60 / kg -",150 g Holländischer Nougat mit Schokoladenüberzug,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Thüringer Knackwurst,Wolf,"€ 1,99",Kein vorheriger Preis,"€ 8,84 / kg -",225 g mit Kümmel,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Hirschschinken,Greußener,"€ 1,99",Kein vorheriger Preis,"€ 24,88 / kg -",oder Hirschsalami 80 g aus reinem Hirschfleisch,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Schweinefilet,Keine Marke,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / kg -","vakuumverpackt, ca. 550 g pro kg",Nein,08.11. - 08.11.,2025-11-08,2025-11-08
Limonade,Deit,"€ 7,99",Kein vorheriger Preis,"€ 0,67 / l -","12 x 1 l teilweise koffeinhaltig, versch. Sorten zzgl. Pfand 3.30",Nein,08.11. - 08.11.,2025-11-08,2025-11-08
Damen Sneakersocken 6er,Puma,"€ 14,99",Kein vorheriger Preis,"€ 2,50 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Karbonstahl-Bratpfanne 20 cm,Brat Maxx,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante.,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Active O2 Erfrischungsgetränk,Adelholzener,"€ 0,99",Kein vorheriger Preis,"€ 1,20 / l -","versch. Sorten, 0,75 Liter, zzgl. Pfand 0.25",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Pils,Beck's,"€ 0,79",Kein vorheriger Preis,"€ 1,58 / l -","0,5 l versch. Sorten zzgl. Pfand 0.25",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Dusche,Dove,"€ 3,49",Kein vorheriger Preis,"€ 8,72 / l -",400 - 450 ml versch. Sorten,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Pedi Power Hornhaut-Entferner,Vitalmaxx,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt.,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Walnusskerne,Clarky's,"€ 3,59",Kein vorheriger Preis,"€ 17,95 / kg -",200 g naturbelassen,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Leberwurst,Windau,"€ 1,29",Kein vorheriger Preis,"€ 5,16 / kg -",250 g versch. Sorten,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Carta Premium Sparkling Wine,Freixenet,"€ 3,99",Kein vorheriger Preis,"€ 5,32 / l -","oder Selected Sparkling 0,0 % Alkoholfrei versch. Sorten 0,75 Liter",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Mucho Más Tinto,Felix Solis,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -","0,75 Liter",Nein,06.11. - 08.11.,2025-11-06,2025-11-08
Mischbeutel Tanne,Lindt,"€ 5,79",Kein vorheriger Preis,"€ 38,60 / kg -",150 g,Nein,06.11. - 08.11.,2025-11-06,2025-11-08
Laugenbrezel,Netto Backstube,"€ 0,35",Kein vorheriger Preis,"€ 0,35 / Stk -",Stück,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Silikon-Frischhaltebeutel,Gourmetmaxx,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt.,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Unsere originale Nudelsauce Bolognaise,Bernbacher,"€ 1,49",Kein vorheriger Preis,"€ 8,76 / l -",170 ml,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Lollipop-Eimer,Chupa Chups,"€ 19,00",Kein vorheriger Preis,"€ 10,56 / kg -","1,8 kg",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Vegan Haferdrink Barista Edition,Oatly,"€ 2,17",Kein vorheriger Preis,"€ 2,17 / l -",1 Liter,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Rispentomaten,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / kg -","1 kg Niederlande/Spanien, Kl. I",Nein,06.11. - 08.11.,2025-11-06,2025-11-08
Kitzinger Hofrat Silvaner,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / l -","1 Liter, Deutschland, Franken Weißwein, trocken zu Brotzeit, Begleiter für die tägliche Küche",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Activia,Danone,"€ 2,99",Kein vorheriger Preis,"€ 3,25 / kg -","gekühlt, versch. Sorten 8 x 115 g; 920 g",Nein,06.11. - 08.11.,2025-11-06,2025-11-08
Bonuslife Netflix Trinkmahlzeit Pistazie,YFood,"€ 3,33",Kein vorheriger Preis,"€ 6,66 / l -",oder Tiramisu 500 ml,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Iced Blue Bier X Energy,Karlsberg MiXery,"€ 0,99",Kein vorheriger Preis,"€ 1,98 / l -","teilw. taurin- & koffeinhaltig, versch. Sorten 0,5 Liter, zzgl. Pfand 0.25",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Unsere Goldstücke Weizen-Brötchen XXL,Coppenrath & Wiese,"€ 2,99",Kein vorheriger Preis,"€ 4,27 / kg -","tiefgekühlt, versch. Sorten 0,7 kg – 1 kg",Nein,06.11. - 08.11.,2025-11-06,2025-11-08
Glühweinkocher,Kesser,"€ 41,99",Kein vorheriger Preis,"€ 41,99 / Stk -",Details im Prospekt.,Nein,08.11. - 08.11.,2025-11-08,2025-11-08
Erdbeer-Konfitüre,Bonne Maman,"€ 2,99",Kein vorheriger Preis,"€ 8,08 / kg -","versch. Sorten, 345 – 370 g",Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Bilderrahmen,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Boxspringbett Manitoba,Juskys,"€ 799,00",Kein vorheriger Preis,"€ 799,00 / Stk -",Details im Prospekt.,Nein,08.11. - 08.11.,2025-11-08,2025-11-08
Leibniz Kekse,Bahlsen,"€ 1,49",Kein vorheriger Preis,"€ 7,45 / kg -",150 – 200 g versch. Sorten,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
Damen Kuschelsocken 3er Pack,Spirit of Colours,"€ 4,99",Kein vorheriger Preis,"€ 1,66 / Stk -",Details im Prospekt,Nein,03.11. - 08.11.,2025-11-03,2025-11-08
