Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Gartenfräse GF 420-4.1,Güde,"€ 539,00",Kein vorheriger Preis,"€ 539,00 / Stk -",Details im Prospekt,Nein,18.10. - 25.10.,2025-10-18,2025-10-25
Balkonkraftwerk,Solarway,"€ 529,00",Kein vorheriger Preis,"€ 529,00 / Stk -",Details im Prospekt. Preis variiert je nach Größe und Variante,Nein,18.10. - 25.10.,2025-10-18,2025-10-25
E-Scooter,Kesser,"€ 419,99",Kein vorheriger Preis,"€ 419,99 / Stk -",Details im Prospekt,Nein,18.10. - 25.10.,2025-10-18,2025-10-25
Schubkarren/Dumper,Bamato,"€ 349,99",Kein vorheriger Preis,"€ 349,99 / Stk -",Details im Prospekt. Preis variiert je nach Größe und Variante,Nein,18.10. - 25.10.,2025-10-18,2025-10-25
Heißluftfritteuse,Keine Marke,"€ 69,99",Kein vorheriger Preis,"€ 69,99 / Stk -",Details im Prospekt,Nein,18.10. - 25.10.,2025-10-18,2025-10-25
Akku-Staubsauger,Kesser,"€ 74,99",Kein vorheriger Preis,"€ 74,99 / Stk -",Details im Prospekt. Preis variiert je nach Größe und Variante,Nein,18.10. - 25.10.,2025-10-18,2025-10-25
Bayerisches Wammerl,Hofmaier,"€ 3,49",Kein vorheriger Preis,"€ 11,63 / kg -","300 g, geräuchert und gegart",Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Naturelle,Volvic,"€ 3,99",Kein vorheriger Preis,"€ 0,44 / l -","Natürliches Mineralwasser 6 x 1,5 Liter, zzgl. Pfand 1.50 Einzelpreis: 1.19, zzgl. Pfand 0.25",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Caffe Crema Mild,Tchibo,"€ 15,99",Kein vorheriger Preis,"€ 15,99 / kg -","Ganze Kaffeebohnen, versch. Sorten 1 kg",Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Kuchenglasur Kakao,Backfee,"€ 1,49",Kein vorheriger Preis,"€ 5,96 / kg -",250 g,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Taschenlampe,Maximus,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Herren Thermo-Socken 3er-Pack,Keine Marke,"€ 6,99",Kein vorheriger Preis,"€ 2,33 / Stk -",Details im Prospekt,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Multi-Zyklonstaubsauger,Clean Maxx,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",Details im Prospekt.,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Saugroboter,Clean Maxx,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",Details im Prospekt.,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Knoppers Waffeln,Storck,"€ 1,79",Kein vorheriger Preis,"€ 8,95 / kg -",oder Knoppers Riegel versch. Sorten 200 g,Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Winzer Stangerl,Stastnik,"€ 2,89",Kein vorheriger Preis,"€ 9,63 / kg -",300 g versch. Sorten,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Gezuckerte Kondensmilch,Dovgan,"€ 1,69",Kein vorheriger Preis,"€ 4,57 / kg -",370 g,Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Ristorante Pizza Salame,Dr. Oetker,"€ 3,99",Kein vorheriger Preis,"€ 6,23 / kg -","538 g – 780 g tiefgekühlt, versch. Sorten",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Mais-Hähnchen,Keine Marke,"€ 4,19",Kein vorheriger Preis,"€ 4,19 / kg -","pro kg, ganz, Hkl. A, ca. 1,4 kg",Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Akku-Milbensauger,Clean Maxx,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",Details im Prospekt,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Wild Preiselbeeren,Beste Ernte,"€ 1,99",Kein vorheriger Preis,"€ 4,97 / kg -",400 g,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Frucht Knusper Erdbeere,Berchtesgadener Land,"€ 0,59",Kein vorheriger Preis,"€ 3,93 / kg -","Joghurt 150 g gekühlt, versch. Sorten",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Akku-Fensterreiniger,Clean Maxx,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",Details im Prospekt,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Ice,Smirnoff,"€ 23,99",Kein vorheriger Preis,"€ 8,00 / l -","HINWEIS: NUR ONLINE VERFÜGBAR 12er Pack 10,0 % vol, 0,25 Liter Dose",Ja,20.10. - 25.10.,2025-10-20,2025-10-25
Bodyspray,Axe,"€ 3,49",Kein vorheriger Preis,"€ 23,27 / l -",versch. Sorten 150 ml,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Mango,Chiquita,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -","Italien, Kl. I 1 kg Schale",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Weichspüler,Vernel,"€ 1,49",Kein vorheriger Preis,"€ 1,83 / l -",versch. Sorten 814 ml – 858 ml,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Merci Adventskalender,Storck,"€ 8,49",Kein vorheriger Preis,"€ 32,28 / kg -",263 g,Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Energy Drink,Red Bull,"€ 22,90",Kein vorheriger Preis,"€ 3,82 / l -","HINWEIS: MIT NETTO PLUS APP 21.90 €, Regular, taurin- & koffeinhaltig 24 x 0,25 Liter zzgl. Pfand 6....",Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Buttermilch-Drink,Milram,"€ 1,29",Kein vorheriger Preis,"€ 1,72 / kg -","gekühlt, versch. Sorten 750 g",Nein,23.10. - 25.10.,2025-10-23,2025-10-25
LED Echtwachs-Stumpenkerzen,Keine Marke,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",Details im Prospekt.,Nein,23.10. - 25.10.,2025-10-23,2025-10-25
Quäse Mild,Loose,"€ 2,49",Kein vorheriger Preis,"€ 9,96 / kg -","220 g, gekühlt, versch. Sorten",Nein,23.10. - 25.10.,2025-10-23,2025-10-25
