Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
510 E-Scooter Seniorenmobil,Eco Engel,"€ 1.999,00",Kein vorheriger Preis,"€ 1.999,00 / Stk -","HINWEIS: NUR ONLINE VERFÜGBAR, Details im Prospekt",Ja,04.10. - 11.10.,2025-10-04,2025-10-11
Benzin-Kehrmaschine SC2200PE,Scheppach,"€ 1.049,00",Kein vorheriger Preis,"€ 1.049,00 / Stk -","HINWEIS: NUR ONLINE VERFÜGBAR, Details im Prospekt",Ja,04.10. - 11.10.,2025-10-04,2025-10-11
Abdeckplanen,Greenyard,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -","HINWEIS: NUR ONLINE VERFÜGBAR, ab, Details im Prospekt – Preis variiert je nach Größe und Variante",Ja,04.10. - 11.10.,2025-10-04,2025-10-11
Werkstattwagen TW1100,Scheppach,"€ 329,99",Kein vorheriger Preis,"€ 329,99 / Stk -","HINWEIS: NUR ONLINE VERFÜGBAR, Details im Prospekt",Ja,04.10. - 11.10.,2025-10-04,2025-10-11
Balkonkraftwerk,Solakon,"€ 449,99",Kein vorheriger Preis,"€ 449,99 / Stk -","HINWEIS: NUR ONLINE VERFÜGBAR, ab, Details im Prospekt – Preis variiert je nach Größe und Variante",Ja,04.10. - 11.10.,2025-10-04,2025-10-11
Premium Pilsener,Warsteiner,"€ 10,99",Kein vorheriger Preis,"€ 1,10 / l -","20 x 0,5 l zzgl. Pfand 3.10",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Wildsalami,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 15,96 / kg -",versch. Sorten 250 g,Nein,09.10. - 11.10.,2025-10-09,2025-10-11
Fresh Mint,Tic Tac,"€ 1,49",Kein vorheriger Preis,"€ 27,59 / kg -",54 g versch. Sorten,Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Weine,Edition Valentin Vogel,"€ 3,99",Kein vorheriger Preis,"€ 5,32 / l -","0,75 l versch. Sorten",Nein,09.10. - 11.10.,2025-10-09,2025-10-11
Knusper Minis,Leerdammer,"€ 2,49",Kein vorheriger Preis,"€ 16,60 / kg -","gekühlt, versch. Sorten 150 g",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
