Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Hundenahrung,Keine Marke,"€ 7,94","€ 8,94",0.94 / kg,Einzelpreis: 1.49 (1.20 / kg),Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_001.png
Katzennahrung,Keine Marke,"€ 8,60","€ 9,60",2.50 / kg,versch. Sorten Einzelpreis: 0.30 (3.- / kg),Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_002.png
Katzennahrung,Keine Marke,"€ 10,00",Kein vorheriger Preis,1.20 / kg,versch. Sorten Einzelpreis: 0.55 (1.33 / kg),Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_003.png
Hundenahrung,Keine Marke,"€ 12,80","€ 13,80",2.- / kg,versch. Sorten Einzelpreis: 0.75 (2.50 / kg),Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_004.png
Danone Actimel,Keine Marke,"€ 2,99","€ 5,98",2.49 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_005.png
Bergader Käsescheiben,Keine Marke,"€ 1,49","€ 2,89",9.93 - 11.92 / kg,"gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_006.png
Kiwi grün,Keine Marke,"€ 0,19",Kein vorheriger Preis,Kein Mengenpreis,"Griechenland/Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_007.png
Mövenpick Kaffee,Keine Marke,"€ 13,99","€ 19,49",Kein Mengenpreis,"ganze Bohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_008.png
Schweine-Nacken,Keine Marke,"€ 5,49",Kein vorheriger Preis,Kein Mengenpreis,"ohne Knochen, vakuumverpackt, ca. 2,4 kg",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_009.png
Nutella,Keine Marke,"€ 2,99","€ 3,79",6.64 - 8.54 / kg,"Nuss-Nugat-Creme, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_010.png
Weißer Riese Waschmittel,Keine Marke,"€ 12,99","€ 16,99",0.13 - 0.14 / WL,versch.Sorten,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_011.png
Paulaner Spezi oder Zero,Keine Marke,"€ 9,99",Kein vorheriger Preis,1.- / l,koffeinhaltig,Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_012.png
Jacobs Krönung,Keine Marke,"€ 7,99","€ 9,29",15.98 / kg,"Kaffee gemahlen oder Ganze Bohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 05.01.26 - Samstag, 10.01.26",05.01.26,10.01.26,images_netto/netto_offer_013.png
