Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Edelstahlmesser,Fiskars,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pizza Edelsalami,Mondo Italiano,"€ 3,99",Kein vorheriger Preis,"€ 3,80 / kg -",tiefgekühlt 1050 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Alpenmilch,Ritter Sport,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / kg -","100 g, versch. Sorten",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pizza Diavola,Mondo Italiano,"€ 3,49",Kein vorheriger Preis,"€ 6,02 / kg -","tiefgekühlt, versch. Sorten 580 – 730 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Pizzabrötchen,Genuss Welt,"€ 1,99",Kein vorheriger Preis,"€ 7,96 / kg -","gekühlt, versch. Sorten, 250 g",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Bio Feta,BioBio,"€ 2,65",Kein vorheriger Preis,"€ 13,25 / kg -",gekühlt 200 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Altländer Grünkohl Platte,Keine Marke,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / kg -","bestehend aus: 1 Scheibe Kasseler Lachs, 1 Scheibe Kassseler Nacken, 2 Scheiben Kasseler Bauch, 2 St...",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Ayran,Sevinc,"€ 0,49",Kein vorheriger Preis,"€ 1,96 / l -","HINWEIS: MIT NETTO APP 0.29 € 250 ml gekühlt, Joghurtgetränk",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Alkoholfreies Malzgetränk,Karamalz,"€ 11,99",Kein vorheriger Preis,"€ 1,20 / l -","20 x 0,5 Liter Kiste zzgl. Pfand 3.10",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Samt Konfitüre,Schwartau,"€ 1,99",Kein vorheriger Preis,"€ 7,37 / kg -",oder Extra 270 - 410 g versch. Sorten,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Küchenzeile Stauraumwunder,FlexWell,"€ 799,00",Kein vorheriger Preis,"€ 799,00 / Stk -",HINWEIS: NUR ONLINE VERFÜGBAR Details im Prospekt,Ja,27.09. - 04.10.,2025-09-27,2025-10-04
Bananen,Chiquita,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / kg -",1 kg Costa Rica / Ecuador,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Kentuckey Straight Bourbon Whiskey,Jim Beam,"€ 15,99",Kein vorheriger Preis,"€ 22,84 / l -","HINWEIS: MIT NETTO APP 10.99 € Jim Beam 0,7 Liter versch. Sorten, 32,5 – 40% Vol.",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Ofenkäse,Rougette,"€ 3,99",Kein vorheriger Preis,"€ 12,47 / kg -",HINWEIS: MIT NETTO APP 3.79€ 320 g versch. Sorten,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Frühstücksknacker,Schildauer,"€ 2,49",Kein vorheriger Preis,"€ 9,96 / kg -","250 g, mit feiner Rauchnote",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Almighurt Joghurt,Ehrmann,"€ 0,44",Kein vorheriger Preis,"€ 2,93 / kg -","150 g gekühlt, versch. Sorten",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Alpenveilchen,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -","je Topf ca. 20 cm hoch, versch. Farben Ø = 10,5 cm",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Bauernschinken,Moser Speckworld,"€ 1,79",Kein vorheriger Preis,"€ 17,90 / kg -",oder Bratenschinken 100 g,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Unsere originale Nudelsauce Bolognaise,Bernbacher,"€ 1,39",Kein vorheriger Preis,"€ 8,18 / l -",170 ml,Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Mini-Orchideen,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -","je Topf ca. 15 cm hoch, versch. Farben Ø = 6 cm",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Möhren,Keine Marke,"€ 0,79",Kein vorheriger Preis,"€ 0,79 / kg -","1 kg Beutel Deutschland, Kl. ll",Nein,29.09. - 04.10.,2025-09-29,2025-10-04
Energy Drink Energy4Life Sternfrucht,Booster,"€ 17,99",Kein vorheriger Preis,"€ 1,50 / l -","HINWEIS: NUR ONLINE VERFÜGBAR 24 x 0,5 Liter Dose",Ja,29.09. - 04.10.,2025-09-29,2025-10-04
