Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Essreife Avocado Hass,Rewe Feine Welt,"€ 1,69",Kein vorheriger Preis,"€ 1,69 / Stk -","Chile: Kl. I, je St.",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Dorade Royale,Keine Marke,"€ 1,49",Kein vorheriger Preis,"€ 14,90 / kg -","festes, weißes, sehr schmackhaftes Fleisch, ideal zum Braten oder Grillen, je 100 g",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Bier + Cola,Karlsberg MiXery,"€ 3,99",Kein vorheriger Preis,"€ 2,02 / l -","HINWEIS: MIT APP 0.10 € REWE BONUS versch. Sorten, teilw. koffeinhaltig, je 6 x 0,33-l-Fl.- Sixpack...",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Geschirrspülmittel,Fairy,"€ 1,29",Kein vorheriger Preis,"€ 2,87 / l -","versch. Sorten, je 450-ml-Fl.",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Pro Expert Zahncreme,Oral-B,"€ 3,59",Kein vorheriger Preis,"€ 47,86 / l -",je 75-ml-Tuben-Pckg.,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Weihnachts-Elf,Triton-X,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",oder Wichtel Brief-Set versch. Artikel je St./Set,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Käse für den Ofen,ja!,"€ 2,49",Kein vorheriger Preis,"€ 13,83 / kg -","würzig, je 180-g-Pckg.",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Adventskalender Exit-Das Spiel,Kosmos,"€ 27,99",Kein vorheriger Preis,"€ 27,99 / Stk -",24 spannende Rätsel in versch. Ausführungen je Pckg.,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Cola,Coca-Cola,"€ 1,39",Kein vorheriger Preis,"€ 0,93 / l -","Fanta oder Sprite versch. Sorten, teilw. koffeinhaltig, je 1,5-l-Fl. zzgl. 0.25 Pfand",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Kinder Schoko-Bons,Ferrero,"€ 3,99",Kein vorheriger Preis,"€ 13,30 / kg -","HINWEIS: MIT APP 0.20 € REWE BONUS je 300-g-Btl. oder Duplo je 18 x 18,2-g-Pckg",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Hunde Adventskalender,ZooRoyal,"€ 4,99",Kein vorheriger Preis,"€ 20,37 / kg -",je 245-g-Pckg. oder Adventskalender Katze je 200-g-Pckg.,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Schweinswürstle,Metzgerei Palmberger,"€ 0,99",Kein vorheriger Preis,"€ 9,90 / kg -",oder Wollwürstl je 100 g,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Mach3 Start Rasierklingen,Gillette,"€ 11,99",Kein vorheriger Preis,"€ 2,00 / Stk -",Rasierklingen je 6-St.-Pckg.,Nein,20.10. - 25.10.,2025-10-20,2025-10-25
Naturrein Konfitüre Extra,D’arbo,"€ 2,79",Kein vorheriger Preis,"€ 6,20 / kg -","versch. Sorten, je 450-g-Glas",Nein,20.10. - 25.10.,2025-10-20,2025-10-25
