Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Blattspinat,Rewe Beste Wahl,"€ 1,19",Kein vorheriger Preis,"€ 4,76 / kg -","Kl. I, je 250-g-Pckg.",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Tafeltrauben-Mix,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -","Sorte: siehe Etikett, Kl. I, je 500-g-Schale",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Wild Preiselbeeren,Rewe Beste Wahl,"€ 1,69",Kein vorheriger Preis,"€ 7,51 / kg -",je 225-g-Glas,Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Frische Sauce Roasted Sesame,Bedda,"€ 1,99",Kein vorheriger Preis,"€ 9,95 / l -",oder Korean BBQ Sauce je 200-ml-Fl.,Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Bio-Speisekartoffeln,Keine Marke,"€ 1,39",Kein vorheriger Preis,"€ 0,92 / kg -","Sorte und Kocheigenschaft: siehe Etikett, Qualität I, je 1,5-kg-Btl.",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Mozzarella Fior di Latte,Galbani,"€ 2,29",Kein vorheriger Preis,"€ 15,27 / kg -","versch. Sorten, je 150-g-Btl.",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Blutdruckmessgerät SBM03,Sanitas,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -","autom. Messung am Handgelenk, 60 Speicherplätze, erkennt und warnt bei eventuellen Herzrhythmusstöru...",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Luftbefeuchter,Pattex,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt,Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Direktsaft 100% Orange,Hohes C,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / l -","versch. Sorten, aus Konzentrat, je 1-l-Flasche, zzgl. 0.25 Pfand",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Butterkäse,Bauer,"€ 0,89",Kein vorheriger Preis,"€ 8,90 / kg -","halbf. Schnittkäse, 45% Fett i.Tr., je 100 g",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Bier,Zirndorfer,"€ 11,99",Kein vorheriger Preis,"€ 1,20 / l -","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten zzgl. 3.10 Pfand",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Mineralwasser,Residenz Quelle,"€ 5,49",Kein vorheriger Preis,"€ 0,45 / l -","versch. Sorten, je 12 x 1-l-Fl.-Kasten zzgl. 3.30 Pfand",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Brau-Spezialitäten,Kulmbacher Mönchshof,"€ 12,99",Kein vorheriger Preis,"€ 1,29 / l -","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten zzgl. 4.50 Pfand",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Müsli Knusper Schoko-Keks,Kölln,"€ 2,49",Kein vorheriger Preis,"€ 5,65 / kg -",Hafer-Müsli je 440-g-Pckg. oder Schoko weniger Zucker Hafer Müsli je 450-g-Pckg.,Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Angus Irish Beef Burger Patties,Butcher’s Burger,"€ 3,99",Kein vorheriger Preis,"€ 17,35 / kg -",oder Beef Rindfleisch Burger Patties je 230-g-Pckg.,Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Pasta,De Cecco,"€ 1,49",Kein vorheriger Preis,"€ 2,98 / kg -","HINWEIS: MIT REWE APP COUPON 0.20 € versch. Ausformungen, je 500-g-Pckg.",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Rinder-Gulasch,ja!,"€ 7,39",Kein vorheriger Preis,"€ 14,78 / kg -","aus der Keule, je 500-g-Pckg.",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
Bio Schweine Bratwurst,Rewe Bio,"€ 5,99",Kein vorheriger Preis,"€ 19,97 / kg -","Naturland grob, je 300-g-Pckg",Nein,06.10. - 11.10.,2025-10-06,2025-10-11
