Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,source_market
Melitta Bella Crema,Keine Marke,"€ 13,99",,Kein Mengenpreis,"versch. Sorten, ganze Bohnen, je 1000-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_001.jpg,bamberg
Maggi Gemüse Brühe,Keine Marke,"€ 1,59",,Kein Mengenpreis,"ausreichend für 7 Liter, je Glas",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_161.jpg,bamberg
Kikkoman Sojasauce,Keine Marke,"€ 1,99",,"1 l = 13,27",je 150-ml-Fl,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_162.jpg,bamberg
Tress Bandnudeln,Keine Marke,"€ 1,99",,"1 kg = 3,98","versch. Sorten, je 500-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_163.jpg,bamberg
Maggi Hühner Brühe,Keine Marke,"€ 1,59",,Kein Mengenpreis,"ausreichend für 4 Liter, je Glas",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_164.jpg,bamberg
Barilla Pesto alla Genovese,Keine Marke,"€ 1,99",,"1 kg = 10,47",je 190-g-Glas,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_165.jpg,bamberg
Storck Knoppers oder Knoppers Nussriegel,Keine Marke,"€ 1,69",,"1 kg = 8,45",je 8 x 25/5 x 40-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_166.jpg,bamberg
Nestl Choco Crossies,Keine Marke,"€ 2,29",,"1 kg = 15,27",je 150-g-Pckg,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_168.jpg,bamberg
Kinder Schokolade oder Yogurette,Keine Marke,"€ 1,29",,"1 kg = 12,90","je 8 x 12,5-g-Tafel",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_169.jpg,bamberg
Mars m m s Peanut,Keine Marke,"€ 1,69",,"1 kg = 11,27",je 150-g-Btl,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_170.jpg,bamberg
Ültje Erdnüsse,Keine Marke,"€ 1,89",,"1 kg = 10,50","geröstet & gesalzen, je 180-g-Dose",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_171.jpg,bamberg
DeBeukelaer Prinzen Rolle Minis,Keine Marke,"€ 1,59",,"1 kg = 8,48","je 187,5-g-Btl",Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_172.jpg,bamberg
Seeberger Walnusskerne oder Nusskernmischung,Keine Marke,"€ 2,99",,"1 kg = 19,93",je 150-g-Btl,Nein,2026-02-16 bis 2026-02-22,2026-02-16,2026-02-22,images_rewe/bamberg_offer_173.jpg,bamberg
