Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Dr. Oetker Kuchen Glasur,Keine Marke,"1,29 €",Kein vorheriger Preis,"1 kg = 8,60","dunkel, je 150-g-Btl",Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_01.jpg
Lawa Plätzchenteig Herzli oder Tannenbaum,Keine Marke,"1,99 €",Kein vorheriger Preis,"1 kg = 6,63",je 300-g-Pckg,Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_02.jpg
Dr. Oetker Finesse,Keine Marke,"0,69 €",Kein vorheriger Preis,"1 kg = 38,33","versch. Sorten, je 3 x 6-g-Btl",Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_03.jpg
Sanella Streichfett,Keine Marke,"1,59 €",Kein vorheriger Preis,"1 kg = 3,98",je 400-g-Becher,Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_04.jpg
Weihenstephan Joghurt mild,Keine Marke,"1,11 €",Kein vorheriger Preis,"1 kg = 2,22","1,5/3,5% Fett, je 500-g-Becher",Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_05.jpg
Dr. Oetker Mohn Back,Keine Marke,"1,79 €",Kein vorheriger Preis,"1 kg = 7,16","Backfertige Mohnfüllung, je 250-g-Btl",Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_06.jpg
Dr. Oetker Kakao zum Backen,Keine Marke,"2,99 €",Kein vorheriger Preis,"1 kg = 29,90",je 100-g-Pckg,Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_07.jpg
Dr. Oetker Bourbon Vanille Zucker,Keine Marke,"0,99 €",Kein vorheriger Preis,"1 kg = 41,25",je 3 x 8-g-Pckg,Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_08.jpg
Palmin Reines Kokosfett,Keine Marke,"1,79 €",Kein vorheriger Preis,"1 kg = 7,16",je 250-g-Pckg,Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_09.jpg
D’Arbo Naturrein Konfitüre Extra,Keine Marke,"2,99 €",Kein vorheriger Preis,"1 kg = 6,64","versch. Sorten, je 450-g-Glas",Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_10.jpg
Kakis,Keine Marke,"1,99 €",Kein vorheriger Preis,,"»Rojo Brillante«, Kl. I, je 1-kg-Schale",Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_11.jpg
REWE Bio Clementinen,Keine Marke,"3,33 €",Kein vorheriger Preis,,"Sorte: siehe Etikett, Kl. I, je 1-kg-Netz",Nein,17.11.2025 bis 23.11.2025,2025-11-17,2025-11-23,images_rewe/rewe_offer_12.jpg
