Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis
Not For Everybody Woman EdT,Bruno Banani,"€ 10,49",Kein vorheriger Preis,"€ 349,67 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Schauma Kur 5&5,Schwarzkopf,"€ 2,79",Kein vorheriger Preis,"€ 9,30 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Magic Retouch Sofort Ansatz-Kaschierspray,L'Oréal Paris,"€ 5,99",Kein vorheriger Preis,"€ 79,87 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Shampoo,Weleda,"€ 5,59",Kein vorheriger Preis,"€ 22,36 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Gefriergetrocknete Früchte,Genuss Plus,"€ 2,49",Kein vorheriger Preis,"€ 124,50 / kg -",20 - 25 g,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Gliss Night Sprühnebel,Schwarzkopf,"€ 6,99",Kein vorheriger Preis,"€ 69,90 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Gran Reserva,Viña El Vago,"€ 4,49",Kein vorheriger Preis,"€ 5,99 / l -","0,75 Liter",Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Vitamin C Glowy UV Over Make-up Sonnenspray LSF 50+,Garnier,"€ 7,99",Kein vorheriger Preis,"€ 106,53 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Anti-Age Hyaluron Feuchtigkeitscreme,Nivea For Men,"€ 11,99",Kein vorheriger Preis,"€ 239,80 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Cellular Expert Filler Augen & Lippen Konturpflege,Nivea,"€ 14,99",Kein vorheriger Preis,"€ 999,33 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Bad Total Zitrus,Biff,"€ 1,99",Kein vorheriger Preis,"€ 2,65 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Proteinpulver Iced Coffee Dark Cookie Crumble,More Nutrition,"€ 15,99",Kein vorheriger Preis,"€ 53,30 / kg -",oder Dark Chocolate Lover je 300 g,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Q10 Straffende Body Milk,Nivea,"€ 6,49",Kein vorheriger Preis,"€ 16,22 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Protein-Riegel White Chocolate,Fulfil,"€ 1,59",Kein vorheriger Preis,"€ 39,75 / kg -",40 g,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Man EdT,La Rive,"€ 5,99",Kein vorheriger Preis,"€ 59,90 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Tonie Hörspielfigur,Keine Marke,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Bodylotion,Isana,"€ 1,99",Kein vorheriger Preis,"€ 6,63 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Haarbürste,For your Beauty,"€ 3,79",Kein vorheriger Preis,"€ 3,79 / Stk -","HINWEIS: MIT ROSSMANN APP COUPON 3.04, Details im Prospekt",Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Special Hair & Body Shampoo,John Player,"€ 3,29",Kein vorheriger Preis,"€ 6,58 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Recycelte Wokpfanne,Rossmann Ideen Welt,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Spülmaschinen­caps 5 in 1,Somat,"€ 6,99",Kein vorheriger Preis,"€ 0,17 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Seborin Haarwasser,Schwarzkopf,"€ 2,99",Kein vorheriger Preis,"€ 7,48 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Men Hygiene Einlagen Level 2,Tena,"€ 4,79",Kein vorheriger Preis,"€ 0,40 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Topfuntersetzer,Rossmann Ideen Welt,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Taxofit Zink 15 + Histidin + Vitamin C + Selen,Klosterfrau,"€ 3,69",Kein vorheriger Preis,"€ 0,09 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Dipschalen-Set,Rossmann Ideen Welt,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Isana Med Körpermilch 10% Urea,Isana Med,"€ 1,89",Kein vorheriger Preis,"€ 7,56 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Celebrations,Mars,"€ 2,79","€ 4,49","€ 15,00 / kg -",186 g,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Deospray Advanced Care,Dove,"€ 2,79",Kein vorheriger Preis,"€ 18,60 / l -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Messbecher,Flink & Sauber,"€ 5,99","€ 7,99","€ 5,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Glasauflaufform,Rossmann Ideen Welt,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Bratpfanne 20 cm,Rossmann Ideen Welt,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Simply Venus Einwegrasierer Value Pack,Gillette,"€ 1,79",Kein vorheriger Preis,"€ 0,30 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Sauerteig-Starterset,Rossmann Ideen Welt,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Adventskalender Bibi & Tina,Craze,"€ 19,99","€ 29,99","€ 19,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Fusion5 Proglide Flexball Rasierklingen,Gillette,"€ 46,99",Kein vorheriger Preis,"€ 2,61 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Reinigungstücher,Bebe,"€ 1,99",Kein vorheriger Preis,"€ 0,08 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Elektrische Zahnbürste Motion,Prokudent,"€ 9,99","€ 11,99","€ 9,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Knoppers Riegel,Storck,"€ 1,69",Kein vorheriger Preis,"€ 8,45 / kg -",5er-Pack 200 g oder Milka Choco Wafer 150 g,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Sonicare Aufsteckzahnbürste Optimal White,Philips,"€ 27,99",Kein vorheriger Preis,"€ 7,00 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Spülorganizer,Rossmann Ideen Welt,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Zahnbürsten mittel,Prokudent,"€ 0,99",Kein vorheriger Preis,"€ 0,33 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
Squisha-long Adventskalender,Squishmallows,"€ 19,99","€ 29,99","€ 19,99 / Stk -",Details im Prospekt,Nein,13.10. - 17.10.,2025-10-13,2025-10-17
