Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Nutella,Ferrero,"€ 7,50",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_001.jpg
Naturals Chips,Lorenz,"€ 4,50",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_002.jpg
Bio-Hähncheninnenbrustfilet,Bio-Hähncheninnenbrustfilet,"€ 6,99",,"1 kg = 23,30 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_003.jpg
Coca-Cola,Coca-Cola,"€ 11,99",,"1 l = 0,86",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_004.jpg
Heidelbeeren,Heidelbeeren,"€ 3,99",,"1 kg = 7,98 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_005.jpg
Seelachsfilet,Seelachsfilet,"€ 1,99",,1 kg = 5.56,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_006.jpg
Bio-Kaiserbrötchen,Herzberger,"€ 1,99",,"1 kg = 6,12 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_007.jpg
Müritzer Original,Milram,"€ 0,99",,"1,99 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_008.jpg
Flammkuchen Elsässer Art,tegut,"€ 4,44",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_009.jpg
Eiscreme Erdbeere,tegut,"€ 5,50",,"1 l = 3,06 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_010.jpg
Direktsaft oder Nektar,tegut,"€ 13,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_011.jpg
Tortilla Chips Natur,tegut,"€ 3,00",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_012.jpg
Asiagemüse,tegut,"€ 4,44",,"1 kg = 4,44 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_013.jpg
Beerenmischung,tegut,"€ 4,44",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_014.jpg
Schlagsahne,tegut,"€ 5,00",,"1 kg = 5,00 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_015.jpg
Bio-Tee Basics Fenchel Kümmel,tegut,"€ 4,44",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_016.jpg
Pastasauce,Pastasauce,"€ 4,44",,"1 l = 3,70 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_017.jpg
H-Milch 3 8 Fett,tegut,"€ 4,44",,"1 l = 1,11 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_018.jpg
Joghurt,tegut,"€ 2,00",,1 kg = 1.33 €,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_019.jpg
Eiernudeln,tegut,"€ 4,44",,"1 kg = 2,96 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_020.jpg
Italienisches natives Olivenöl extra,tegut,"€ 10,00",,"1 l = 10,00 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_021.jpg
Almighurt,Ehrmann,"€ 1,11",,"1 kg = 2,22 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_022.jpg
Bergbauern Bio-Camembert,Alnatura,"€ 2,22",,"1 kg = 14,80 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_023.jpg
Jahrgangssekt,Mumm Co,"€ 3,99",,"6,49 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_024.jpg
Gourmet Kaffee,Eilles,"€ 6,49",,"8,99 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_025.jpg
Bio-Hähnchenschenkel,Bio-Hähnchenschenkel,"€ 1,49",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_026.jpg
Bio-Gold-Kiwis,tegut,"€ 1,00",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_027.jpg
Bio-Salatherzen,tegut,"€ 1,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_028.jpg
10-fach Punkte,10-fach Punkte,"€ 13,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_029.jpg
Kohlrabi,Kohlrabi,"€ 0,49",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_030.jpg
tegut Bio-Cherry-Strauchtomaten,demeter,"€ 2,99",,"1 kg = 5,98 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_031.jpg
Bio-Paprika rot,Bio-Paprika rot,"€ 2,99",,"1 kg = 7,48 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_032.jpg
Bio-Fenchel,demeter,"€ 1,49",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_033.jpg
10-fach Punkte,10-fach Punkte,"€ 13,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_034.jpg
Blumenkohl,Blumenkohl,"€ 1,49",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_035.jpg
Mango,Mango,"€ 0,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_tegut/tegut_offer_036.jpg
