Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Schlemmer-Filet,Iglo,"€ 2,79",,"4,49 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_001.jpg,"cat_fisch_meeresfruechte,sub_tk_fertiggerichte,tag_ultra_processed",,ref_000001,obs_0000014353|obs_0000012838|obs_0000013380|obs_0000016967|obs_0000011349|obs_0000018146|obs_0000020931|obs_0000006288|obs_0000005366|obs_0000005937,obs_0000014353|obs_0000012838|obs_0000013380|obs_0000016967|obs_0000011349|obs_0000018146|obs_0000005366|obs_0000005937|obs_0000000915|obs_0000020931
Rinderroulade,Rinderroulade,"€ 8,99",,"1 kg = 17,98 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_002.jpg,"cat_fleisch_wurst,sub_rind,tag_proteinreich,tag_ultra_processed,tag_whole_food",,ref_000002,obs_0000031743|obs_0000005031|obs_0000032399|obs_0000031188|obs_0000031594|obs_0000032217,obs_0000005031|obs_0000032399|obs_0000031188|obs_0000031743
Toilettenpapier Ultra Soft,Zewa,"€ 3,33",,"4,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_003.jpg,cat_drogerie,,ref_000003,obs_0000015496|obs_0000027001|obs_0000016295|obs_0000010209|obs_0000013812|obs_0000009312|obs_0000008852|obs_0000013633|obs_0000008068|obs_0000024820|obs_0000030468|obs_0000027018|obs_0000016911|obs_0000005266|obs_0000017759|obs_0000004104|obs_0000000527|obs_0000026151|obs_0000032283|obs_0000031319|obs_0000003677|obs_0000022688|obs_0000000748|obs_0000008438|obs_0000022266|obs_0000030978|obs_0000000261|obs_0000000809|obs_0000003385|obs_0000001341|obs_0000025450|obs_0000001902|obs_0000031100|obs_0000026500|obs_0000013190|obs_0000023943|obs_0000024459|obs_0000030599|obs_0000004531|obs_0000011216|obs_0000009728,obs_0000015496|obs_0000027001|obs_0000016295|obs_0000010209|obs_0000013812
Fleischwurst,LandPrimus,"€ 0,99",,"2,47 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_004.jpg,"cat_fleisch_wurst,sub_rind,sub_schwein,sub_wurst,tag_ultra_processed",BLS-W234000,ref_000004,obs_0000013453|obs_0000025891|obs_0000011309|obs_0000031936|obs_0000008317|obs_0000001539|obs_0000001554|obs_0000031380|obs_0000011296|obs_0000025765|obs_0000026787|obs_0000001576|obs_0000026670|obs_0000008114|obs_0000032057|obs_0000001598|obs_0000001022|obs_0000001024|obs_0000006662|obs_0000029838|obs_0000017939|obs_0000019988|obs_0000007069|obs_0000023586|obs_0000020290|obs_0000028611|obs_0000028612|obs_0000019169|obs_0000029812|obs_0000005754|obs_0000010879,obs_0000013453|obs_0000025891|obs_0000011309|obs_0000031936|obs_0000008317
Rotbarschfilet,Rotbarschfilet,"€ 2,49",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_005.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich",BLS-Y6A3010,ref_000005,obs_0000031950|obs_0000013895|obs_0000006122|obs_0000022571|obs_0000022992|obs_0000026846,obs_0000013895|obs_0000006122|obs_0000031950
Bio-Familienbaguette,Herzberger,"€ 2,99",,"1 kg = 7,48 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_006.jpg,"cat_grundnahrung,diet_vegetarian",,ref_000006,obs_0000031952,obs_0000031952
Chipsfrisch Peperoni,funny-frisch,"€ 0,99",,"1,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_007.jpg,"cat_knabbern_naschen,sub_huelsenfruechte,tag_ultra_processed",,ref_000007,obs_0000031354|obs_0000030787|obs_0000025727|obs_0000014980|obs_0000016018|obs_0000003346|obs_0000001321|obs_0000016789|obs_0000008096|obs_0000002472|obs_0000020953,obs_0000031354
Frischkäsezubereitung,Bresso,"€ 0,99",,"2,39 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_008.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,ref_000008,obs_0000011655|obs_0000010924|obs_0000007725|obs_0000025149|obs_0000011338|obs_0000008046|obs_0000014199|obs_0000013479|obs_0000012109|obs_0000006789|obs_0000005689|obs_0000024506|obs_0000006602|obs_0000005512|obs_0000011339|obs_0000013022,obs_0000011655|obs_0000010924|obs_0000007725|obs_0000025149|obs_0000011338|obs_0000008046|obs_0000014199
Pils,Krombacher,"€ 11,99",,"17,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_tegut/tegut_offer_009.jpg,cat_getraenke,BLS-X890662,ref_000009,obs_0000012317|obs_0000004708|obs_0000014466|obs_0000004281|obs_0000024297|obs_0000002827|obs_0000003854|obs_0000025456|obs_0000000370|obs_0000009611|obs_0000029159|obs_0000026627|obs_0000029204|obs_0000031287|obs_0000032324|obs_0000026741|obs_0000011894|obs_0000024189|obs_0000031887|obs_0000022701|obs_0000007913|obs_0000015103|obs_0000018181|obs_0000026886|obs_0000022281|obs_0000026402|obs_0000009566|obs_0000027005|obs_0000015772|obs_0000026535|obs_0000012727|obs_0000027064|obs_0000026071|obs_0000010201|obs_0000011896|obs_0000026647|obs_0000027198|obs_0000027199|obs_0000028736|obs_0000026702|obs_0000025687|obs_0000032323|obs_0000032328|obs_0000011891|obs_0000012922|obs_0000014463|obs_0000031359|obs_0000026762|obs_0000031896|obs_0000009925,obs_0000026627|obs_0000029204|obs_0000012317|obs_0000031287|obs_0000032324|obs_0000004708|obs_0000026741|obs_0000011894|obs_0000024189|obs_0000014466|obs_0000031887|obs_0000022701|obs_0000004281|obs_0000007913|obs_0000024297|obs_0000015103|obs_0000018181|obs_0000026886|obs_0000022281|obs_0000002827|obs_0000003854|obs_0000026402|obs_0000009566|obs_0000025456|obs_0000000370|obs_0000027005|obs_0000009611|obs_0000015772|obs_0000026535|obs_0000012727|obs_0000027064|obs_0000026071|obs_0000010201|obs_0000029159
Deutsche Markenbutter,Deutsche Markenbutter,"€ 1,49",,"1,79 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine",,ref_000010,obs_0000000134|obs_0000023046|obs_0000015753|obs_0000023049|obs_0000021053|obs_0000023876|obs_0000003423|obs_0000003307|obs_0000005520|obs_0000006436|obs_0000006059|obs_0000016949|obs_0000011328|obs_0000009286|obs_0000004942|obs_0000008827|obs_0000009248|obs_0000021435,obs_0000000134|obs_0000023046|obs_0000015753|obs_0000023049|obs_0000016949|obs_0000021053|obs_0000011328|obs_0000023876|obs_0000009286|obs_0000003423|obs_0000003307|obs_0000008827
