Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
High Protein Pudding,Ehrmann,0.99,1.49,"4,95 €/kg","verschiedene Sorten, 1 kg = 4,95 €, 200 g Becher",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id001.jpg
Pasta,tegut...,0.88,1.39,"1,76 €/kg","Spaghetti, Farfalle, Penne Rigate, Spirali oder Elicoidali, 1 kg = 1,76 €, 500 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id002.jpg
Wildlachs Filets,followfood,5.55,,"27,75 €/kg","aus bestandserhaltender Fischerei, tiefgefroren, 1 kg = 27,75 €, 200 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id003.jpg
Wiener Würstchen,,5.99,6.99,"8,56 €/kg","nur in SB erhältlich, knackige Brühwürstchen, 1 kg = 8,56 €, 700 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id004.jpg
Bio-Laugenbrezel,,1.99,2.79,"7,54 €/kg","1 kg = 7,54 €, 3 Stück = 264 g Tüte, BIO",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id005.jpg
"Pilsener, Herb oder Extra",Warsteiner,10.99,17.29,"1,10/1,39 €/l","20 x 0,5 l Fl./Kasten, Extra: 24 x 0,33 l Fl./Kasten, 1 l = 1,10/1,39 €, zzgl. 3,10/3,42 € Pfand",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id006.jpg
Chips,Chio,1.11,1.99,"7,40 €/kg","verschiedene Sorten, 1 kg = 7,40 €, 150 g Beutel",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id007.jpg
Rinderroulade,,1.99,,"1,99 €/100 g","gereifte Qualität, aus der Rinderkeule, ideal zum Schmoren",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id008.jpg
Victoria-Seebarschfilet,,1.99,,"1,99 €/100 g",ohne Haut,Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id009.jpg
haltbare Bio-Alpenmilch,Naturland Alnatura,1.49,1.79,,"3,5 % Fett, 1 l Packung, BIO",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id010.jpg
"Caffè Crema e Aroma, Caffè Crema Classico, Espresso Cremoso oder Caffè Crema Gustoso",Lavazza,14.99,21.99,,"ganze Bohnen, 1 kg Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id011.jpg
Butterkäse,Bauer,0.99,1.79,"0,99 €/100 g","cremig-milder Schnittkäse, 45 % Fett i. Tr., auch in Scheiben erhältlich",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page01_id012.jpg
Auslese,Melitta,6.99,9.49,"13,98 €/kg","verschiedene Sorten, 1 kg = 13,98 €, 500 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page02_id001.jpg
Lebkuchen Sterne Herzen Brezel,Jeden Tag,3.99,,"1,99 €/kg","verschiedene Sorten, 1 kg = 1,99 €, 500 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page02_id002.jpg
Bio-Cafe Orgánico,GEPA,5.99,6.99,"23,96 €/kg","BIO, verschiedene Sorten, Bohne oder gemahlen, 1 kg = 23,96 €, 250 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page02_id003.jpg
Travel Mug,Emsa,19.99,,,"Isolierbecher 0,36 l oder Tea Mug Becher mit Teesieb 0,4 l, verschiedene Farben, Stück",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page02_id004.jpg
feine Bio-Oblaten-Lebkuchen,Alnatura,4.99,,"24,95 €/kg","BIO, 2-fach sortiert, 1 kg = 24,95 €, 200 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page02_id005.jpg
Lebkuchenherzen gefüllt,Jeden Tag,3.39,,"11,30 €/kg","verschiedene Sorten, 1 kg = 11,30 €, 300 g Packung",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page02_id006.jpg
Wasserkocher,Emerio,24.99,,,"aus Edelstahl, mit Wasserstandsanzeige, Fassungsvermögen 1,7 l, Leistung 2.000 W, Stück",Nein,10.11.2025 bis 16.11.2025,2025-11-10,2025-11-16,images_tegut/KW46_page02_id007.jpg
