Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Apfelecke,Apfelecke,"€ 0,35",,"0,69 €",,Nein,,,,images_aldi/aldi_offer_001.jpg
Poloshirt,Poloshirt,"€ 5,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_002.jpg
Original griechische Pita Mini,Lyttos,"€ 0,75",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_003.jpg
Wokpfanne,Crofton,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_004.jpg
Ayran,Milsani,"€ 0,29",,"0,49 €",,Nein,,,,images_aldi/aldi_offer_005.jpg
Rucola,Rucola,"€ 0,75",,"0,99 €",,Nein,,,,images_aldi/aldi_offer_006.jpg
Riesen-Orangen,Riesen-Orangen,"€ 4,44",,1.11,,Nein,,,,images_aldi/aldi_offer_007.jpg
Rispentomaten lose,Rispentomaten lose,"€ 1,89",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_008.jpg
Äpfel Gala,Äpfel Gala,"€ 1,39",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_009.jpg
Bio-Naturland-Karotten,Bio-Naturland-Karotten,"€ 1,19",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_010.jpg
Avocado,Avocado,"€ 0,95",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_011.jpg
Ananas lose,Ananas lose,"€ 1,15",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_012.jpg
Cordon bleu,Meine Metzgerei,"€ 3,79",,"4,99 €",,Nein,,,,images_aldi/aldi_offer_013.jpg
Kasseler Lachsbraten,MEINE METZGEREI,"€ 4,29",,"4,99 €",,Nein,,,,images_aldi/aldi_offer_014.jpg
Hähnchen-Innenfilets,Meine Metzgerei,"€ 6,99",,"8,99 €",,Nein,,,,images_aldi/aldi_offer_015.jpg
Putenschnitzel Wiener Art,Fair Gut,"€ 4,99",,"5,99 €",,Nein,,,,images_aldi/aldi_offer_016.jpg
Minutensteaks,MEINE METZGEREI,"€ 5,19",,"5,99 €",,Nein,,,,images_aldi/aldi_offer_017.jpg
Hähnchen-Ofenschale,MEINE METZGEREI,"€ 4,49",,"5,49 €",,Nein,,,,images_aldi/aldi_offer_018.jpg
Garnelen,Golden Seafood,"€ 2,99",,"3,99 €",,Nein,,,,images_aldi/aldi_offer_019.jpg
Bauchschnitten,MEINE METZGEREI,"€ 3,29",,"3,99 €",,Nein,,,,images_aldi/aldi_offer_020.jpg
Unsere Goldstücke 6 Dinkel-Brötchen,Coppenrath Wiese,"€ 1,29",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_021.jpg
Flüssigwaschmittel,Perwoll,"€ 4,99",,"6,75 €",,Nein,,,,images_aldi/aldi_offer_022.jpg
Genießer-Teller,Wiltmann,"€ 1,29",,"2,29 €",,Nein,,,,images_aldi/aldi_offer_023.jpg
Orange,Valensina,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_024.jpg
Erdnüsse,Ültje,"€ 1,69",,"2,49 €",,Nein,,,,images_aldi/aldi_offer_025.jpg
Hanuta-Riegel,Ferrero,"€ 2,49",,"3,29 €",,Nein,,,,images_aldi/aldi_offer_026.jpg
Chipsfrisch,Funny-Frisch,"€ 1,19",,"1,99 €",,Nein,,,,images_aldi/aldi_offer_027.jpg
H-Schlagsahne,Milsani,"€ 0,75",,"0,89 €",,Nein,,,,images_aldi/aldi_offer_028.jpg
Speisequark Magerstufe,Milsani,"€ 0,89",,"0,99 €",,Nein,,,,images_aldi/aldi_offer_029.jpg
Laktosefreie H-Schlagsahne,Milsani,"€ 0,79",,"0,99 €",,Nein,,,,images_aldi/aldi_offer_030.jpg
High-Protein-Grießpudding,Milsani,"€ 1,11",,"1,69 €",,Nein,,,,images_aldi/aldi_offer_031.jpg
H-Schoko-Drink,Milsani,"€ 0,59",,"0,85 €",,Nein,,,,images_aldi/aldi_offer_032.jpg
Sprüh-Sahne,Milsani,"€ 1,69",,"2,19 €",,Nein,,,,images_aldi/aldi_offer_033.jpg
Ayran,MILSANI,"€ 0,29",,"0,49 €",,Nein,,,,images_aldi/aldi_offer_034.jpg
Skyr Frucht,Milsani,"€ 1,11",,"1,39 €",,Nein,,,,images_aldi/aldi_offer_035.jpg
Apfelecke,Apfelecke,"€ 0,35",,"0,69 €",,Nein,,,,images_aldi/aldi_offer_036.jpg
