Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Blätter Krokant,Oster Plantation,"€ 1,59",,"2,49 €",,Nein,,,,images_aldi/aldi_offer_001.jpg,"cat_knabbern_naschen,tag_ultra_processed"
Frühlingsgelee,Frühlingsgelee,"€ 0,59",,"0,99 €",,Nein,,,,images_aldi/aldi_offer_002.jpg,cat_non_food
Gartenstuhl,Gartenstuhl,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_003.jpg,cat_non_food
Trainingsjacke,ALDIMANIA,"€ 6,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_004.jpg,cat_non_food
Äpfel rot,Äpfel rot,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_005.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Mandarinen kernlos,Mandarinen kernlos,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Mini-Romana-Salatherzen,Mini-Romana-Salatherzen,"€ 1,79",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
Trauben hell kernlos,Trauben hell kernlos,"€ 1,69",,kg-Preis 3.38,,Nein,,,,images_aldi/aldi_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Mango,Mango,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
Spargel grün,Spargel grün,"€ 3,19",,"3,99 €",,Nein,,,,images_aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Hamburger,MEINE METZGEREI,"€ 4,69",,"5,79 €",,Nein,,,,images_aldi/aldi_offer_011.jpg,cat_fleisch_wurst
Rumpsteak,Meine Metzgerei,"€ 6,99",,"8,58 €",,Nein,,,,images_aldi/aldi_offer_012.jpg,cat_fleisch_wurst
