Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,reference_row_id.1,rough_match_observation_ids.1,exact_match_observation_ids.1
LED-Solar-Windspiel,LED-Solar-Windspiel,"€ 2,29",,"pro Einheit = 2,29",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_001.jpg,cat_non_food,,ref_000001,obs_0000016408|obs_0000020521|obs_0000026767|obs_0000024826|obs_0000024828|obs_0000021340|obs_0000022488,,ref_000001,obs_0000016408|obs_0000020521|obs_0000026767|obs_0000024826|obs_0000024828|obs_0000021340|obs_0000022488,
Nachtwäsche,Nachtwäsche,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_002.jpg,cat_non_food,,ref_000002,,,ref_000002,,
Vanillin-Zucker Back-Pulver oder Schoko Chunks Zartbitter,Back Family,"€ 0,39",,"pro Einheit = 0,59",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_003.jpg,"cat_knabbern_naschen,tag_ultra_processed",,ref_000003,obs_0000031287|obs_0000014584,,ref_000003,obs_0000031287|obs_0000014584,
Original Taste,Coca-Cola,"€ 0,79",,"pro Einheit = 0,79",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_004.jpg,"cat_getraenke,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed",BLS-G561100,ref_000004,obs_0000020930|obs_0000002516|obs_0000019149|obs_0000002852|obs_0000025552|obs_0000031744|obs_0000003316|obs_0000009482|obs_0000022125|obs_0000018050|obs_0000020111|obs_0000009941|obs_0000014057|obs_0000016262|obs_0000028730|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987,obs_0000020930|obs_0000002516|obs_0000019149|obs_0000002852|obs_0000025552|obs_0000031744|obs_0000003316|obs_0000009482|obs_0000022125|obs_0000018050|obs_0000020111|obs_0000009941|obs_0000014057|obs_0000016262,ref_000004,obs_0000020930|obs_0000002516|obs_0000019149|obs_0000002852|obs_0000025552|obs_0000031744|obs_0000003316|obs_0000009482|obs_0000022125|obs_0000018050|obs_0000020111|obs_0000009941|obs_0000014057|obs_0000016262|obs_0000028730|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987,obs_0000020930|obs_0000002516|obs_0000019149|obs_0000002852|obs_0000025552|obs_0000031744|obs_0000003316|obs_0000009482|obs_0000022125|obs_0000018050|obs_0000020111|obs_0000009941|obs_0000014057|obs_0000016262
Riesengarnelen mit Schale,Gourmet Finest Cuisine,"€ 4,99",,"pro Einheit = 7,49",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_005.jpg,"cat_fisch_meeresfruechte,sub_gefluegel,tag_proteinreich",,ref_000005,obs_0000002517|obs_0000002733|obs_0000003374|obs_0000006328|obs_0000006678|obs_0000031899|obs_0000034138|obs_0000005591,,ref_000005,obs_0000002517|obs_0000002733|obs_0000003374|obs_0000006328|obs_0000006678|obs_0000031899|obs_0000034138|obs_0000005591,
Spitzpaprika rot,Spitzpaprika rot,"€ 1,79",,"1 kg = 3,58",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000007,obs_0000000878|obs_0000005124|obs_0000008759|obs_0000005878|obs_0000007741|obs_0000013303,obs_0000005124|obs_0000000878,ref_000007,obs_0000000878|obs_0000005124|obs_0000008759|obs_0000005878|obs_0000007741|obs_0000013303,obs_0000005124|obs_0000000878
Mango,Mango,"€ 1,11",,"pro Einheit = 1,11",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",BLS-F516100,ref_000008,obs_0000024112|obs_0000033713|obs_0000034740|obs_0000031322|obs_0000009349|obs_0000029722|obs_0000028316|obs_0000021278|obs_0000004393|obs_0000000306|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000026453|obs_0000009816|obs_0000016865|obs_0000020459|obs_0000025584|obs_0000026739|obs_0000003966|obs_0000030475|obs_0000028050|obs_0000006424|obs_0000031148|obs_0000034121|obs_0000034389|obs_0000034531|obs_0000028656|obs_0000028539|obs_0000006276|obs_0000006280|obs_0000010640|obs_0000031632|obs_0000034579|obs_0000034046|obs_0000031158|obs_0000027838|obs_0000028870|obs_0000028628|obs_0000010971|obs_0000015714|obs_0000028514|obs_0000005129|obs_0000011787|obs_0000013333|obs_0000024470|obs_0000030870|obs_0000015282|obs_0000014421|obs_0000029526,obs_0000009349|obs_0000029722|obs_0000028316|obs_0000021278|obs_0000004393|obs_0000024112|obs_0000033713|obs_0000000306|obs_0000034740|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000026453|obs_0000009816|obs_0000031322|obs_0000016865|obs_0000020459|obs_0000025584|obs_0000026739|obs_0000003966,ref_000008,obs_0000024112|obs_0000033713|obs_0000034740|obs_0000031322|obs_0000009349|obs_0000029722|obs_0000028316|obs_0000021278|obs_0000004393|obs_0000000306|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000026453|obs_0000009816|obs_0000016865|obs_0000020459|obs_0000025584|obs_0000026739|obs_0000003966|obs_0000030475|obs_0000028050|obs_0000006424|obs_0000031148|obs_0000034121|obs_0000034389|obs_0000034531|obs_0000028656|obs_0000028539|obs_0000006276|obs_0000006280|obs_0000010640|obs_0000031632|obs_0000034579|obs_0000034046|obs_0000031158|obs_0000027838|obs_0000028870|obs_0000028628|obs_0000010971|obs_0000015714|obs_0000028514|obs_0000005129|obs_0000011787|obs_0000013333|obs_0000024470|obs_0000030870|obs_0000015282|obs_0000014421|obs_0000029526,obs_0000009349|obs_0000029722|obs_0000028316|obs_0000021278|obs_0000004393|obs_0000024112|obs_0000033713|obs_0000000306|obs_0000034740|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000026453|obs_0000009816|obs_0000031322|obs_0000016865|obs_0000020459|obs_0000025584|obs_0000026739|obs_0000003966
Rainforest-Alliance-Bananen lose,Rainforest-Alliance-Bananen lose,"€ 0,99",,"pro Einheit = 1,29",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000009,obs_0000001843|obs_0000004930|obs_0000000375|obs_0000004503|obs_0000004076|obs_0000023689|obs_0000022914|obs_0000027736|obs_0000028769|obs_0000031875|obs_0000026329|obs_0000031472|obs_0000032060|obs_0000009078|obs_0000026492|obs_0000027051|obs_0000032185|obs_0000029136|obs_0000031729,obs_0000001843|obs_0000004930|obs_0000000375|obs_0000004503|obs_0000004076,ref_000009,obs_0000001843|obs_0000004930|obs_0000000375|obs_0000004503|obs_0000004076|obs_0000023689|obs_0000022914|obs_0000027736|obs_0000028769|obs_0000031875|obs_0000026329|obs_0000031472|obs_0000032060|obs_0000009078|obs_0000026492|obs_0000027051|obs_0000032185|obs_0000029136|obs_0000031729,obs_0000001843|obs_0000004930|obs_0000000375|obs_0000004503|obs_0000004076
Sonnentomaten lose,Kleine Schätze,"€ 3,39",,"1 kg = 6,78",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000010,,,ref_000010,,
Erdbeeren,Erdbeeren,"€ 1,99",,"pro Einheit = 2,99",,Nein,Gültig bis 28.03,2026-03-23,2026-03-28,images_aldi/aldi_offer_011.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",BLS-F301100,ref_000011,obs_0000022919|obs_0000024529|obs_0000000875|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512,ref_000011,obs_0000022919|obs_0000024529|obs_0000000875|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512
