Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Frischkäse,Philadelphia,"€ 0,89",,"1 kg = 4,56",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_001.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",,BLS-D3A6000,ref_000001,obs_0000002951|obs_0000003481|obs_0000000519|obs_0000016946|obs_0000026675|obs_0000017482|obs_0000022604|obs_0000017513|obs_0000018043|obs_0000022149|obs_0000028302|obs_0000025259|obs_0000020143|obs_0000018636|obs_0000022250|obs_0000018668|obs_0000027893|obs_0000019721|obs_0000022312|obs_0000024882|obs_0000010048|obs_0000024407|obs_0000009596|obs_0000019362|obs_0000023986|obs_0000020962|obs_0000017894|obs_0000018437|obs_0000018441|obs_0000009739|obs_0000002064|obs_0000019510|obs_0000009275|obs_0000024137|obs_0000022111|obs_0000022114|obs_0000008311|obs_0000000665|obs_0000023715|obs_0000031907|obs_0000003254|obs_0000002331|obs_0000002429|obs_0000002443|obs_0000026562|obs_0000022984|obs_0000013780|obs_0000001493|obs_0000028125|obs_0000000998,obs_0000000519|obs_0000016946|obs_0000026675|obs_0000017482|obs_0000022604|obs_0000017513|obs_0000018043|obs_0000022149|obs_0000028302|obs_0000025259|obs_0000020143|obs_0000018636|obs_0000022250|obs_0000018668|obs_0000027893|obs_0000019721|obs_0000022312|obs_0000024882|obs_0000010048|obs_0000024407|obs_0000009596|obs_0000002951|obs_0000003481|obs_0000019362|obs_0000023986|obs_0000020962|obs_0000017894
Norwegischer Räucherlachs,Norwegischer Räucherlachs,"€ 0,59",,"pro Einheit = 0,59",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_002.jpg,"cat_fisch_meeresfruechte,tag_high_protein,tag_proteinreich",,,ref_000002,obs_0000001422|obs_0000018867|obs_0000018877|obs_0000023258|obs_0000001784|obs_0000018333|obs_0000025269|obs_0000002571|obs_0000001935|obs_0000025231|obs_0000020251|obs_0000005956|obs_0000031816|obs_0000001994|obs_0000021070|obs_0000017750|obs_0000016608|obs_0000003427|obs_0000028795|obs_0000008702,obs_0000001422|obs_0000018333|obs_0000018867|obs_0000025269|obs_0000018877|obs_0000023258|obs_0000001784
Chocolate Chips,Mövenpick,"€ 1,49",,"pro Einheit = 3,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_003.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000003,obs_0000014349|obs_0000002584|obs_0000035109|obs_0000003161|obs_0000011964|obs_0000023296|obs_0000014595|obs_0000011110|obs_0000033655|obs_0000034193|obs_0000031705,
Gurke,Gurke,"€ 0,44",,"pro Einheit = 0,55",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_004.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-G520100,ref_000004,obs_0000001511|obs_0000034521|obs_0000002563|obs_0000026127|obs_0000003696|obs_0000027093|obs_0000031588|obs_0000027655|obs_0000034913|obs_0000008543|obs_0000010472|obs_0000012714|obs_0000014430|obs_0000014439|obs_0000013419|obs_0000012212|obs_0000007517|obs_0000029920,obs_0000002563|obs_0000001511|obs_0000026127|obs_0000003696|obs_0000027093|obs_0000034521
Avocado,Avocado,"€ 0,85",,"pro Einheit = 0,85",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_005.jpg,"cat_getraenke,tag_ultra_processed",,BLS-F502100,ref_000005,obs_0000001305|obs_0000000694|obs_0000017166|obs_0000029201|obs_0000020117|obs_0000027541|obs_0000008728|obs_0000034105|obs_0000000058|obs_0000018748|obs_0000029123|obs_0000020936|obs_0000027854|obs_0000034516|obs_0000030562|obs_0000014073|obs_0000030466|obs_0000030212|obs_0000032517|obs_0000007317|obs_0000031260|obs_0000006430|obs_0000024863|obs_0000030124|obs_0000030257|obs_0000025778|obs_0000033717|obs_0000034744|obs_0000030826|obs_0000030959|obs_0000028796|obs_0000006418|obs_0000015526|obs_0000028463|obs_0000028218|obs_0000011409|obs_0000011817|obs_0000012744|obs_0000006605|obs_0000013139|obs_0000012255|obs_0000028383|obs_0000014440|obs_0000006785|obs_0000030016|obs_0000007527|obs_0000000895,obs_0000017166|obs_0000029201|obs_0000020117|obs_0000027541|obs_0000008728|obs_0000001305|obs_0000000694|obs_0000034105|obs_0000000058|obs_0000018748|obs_0000029123|obs_0000020936|obs_0000027854|obs_0000034516|obs_0000030562|obs_0000014073
Mini-Roma-Rispentomaten,Mini-Roma-Rispentomaten,"€ 1,99",,"1 kg = 6,63",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_006.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000006,obs_0000030961|obs_0000029645|obs_0000030568|obs_0000006427|obs_0000006431|obs_0000029206|obs_0000031628|obs_0000030260|obs_0000030918|obs_0000031140|obs_0000029129|obs_0000029204|obs_0000031461|obs_0000030141|obs_0000032515|obs_0000030469|obs_0000030614|obs_0000012328|obs_0000008287|obs_0000006379|obs_0000027139|obs_0000010932|obs_0000027413|obs_0000031578|obs_0000000876|obs_0000029590|obs_0000017530|obs_0000027927|obs_0000026024|obs_0000026075|obs_0000013997|obs_0000018128|obs_0000016216,obs_0000030961|obs_0000029645|obs_0000030568
Speisekartoffeln Drillinge,Speisekartoffeln Drillinge,"€ 1,39",,"pro Einheit = 1,39",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,,ref_000007,obs_0000017026|obs_0000003716|obs_0000000006|obs_0000034312|obs_0000030615|obs_0000034910|obs_0000034088|obs_0000026668|obs_0000001070|obs_0000030140|obs_0000016324|obs_0000009672|obs_0000027986|obs_0000033875|obs_0000007514|obs_0000008539|obs_0000031321|obs_0000009188|obs_0000028399|obs_0000030837|obs_0000027510,
Heidelbeeren,KLEINE SCHÄTZE,"€ 1,99",,"1 kg = 13,27",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F304100,ref_000008,obs_0000001513|obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000027502|obs_0000000880|obs_0000033918|obs_0000034918|obs_0000006409|obs_0000030472|obs_0000034319|obs_0000030138|obs_0000030919|obs_0000022353|obs_0000005509|obs_0000005525|obs_0000005120|obs_0000006958|obs_0000005692|obs_0000007128|obs_0000007143|obs_0000005713|obs_0000005894,obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918|obs_0000034918
Trauben dunkel kernlos,Trauben dunkel kernlos,"€ 1,49",,"1 kg = 2,98",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_009.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000009,obs_0000001512|obs_0000001071|obs_0000000879|obs_0000027784|obs_0000025488|obs_0000027542|obs_0000026138|obs_0000021533|obs_0000000053|obs_0000020714|obs_0000025589,obs_0000001512
Saftorangen,rio d oro,"€ 1,89",,"1 kg = 1,26",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000010,obs_0000003139|obs_0000029595|obs_0000028871|obs_0000005869,obs_0000029595|obs_0000003139|obs_0000028871
