Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Delikatess-Lachsschinken,GUT DREI EICHEN,1.99,2.49,"Geräuchert, je 150-g-Packung, kg-Preis 13.27",-20 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_001.png
Käse-Twister,MEINE BACKWELT,0.69,0.99,,-30 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_002.png
Franzbrötchen,MEINE BACKWELT,0.39,0.79,,-50 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_003.png
Fettarmer Joghurt,MILSANI,0.49,0.79,"Mild, 1,5 % Fett oder Mild aus Magermilch,
0,1 % Fett, je 500-g- Becher, kg-Preis 0.98",-37 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_004.png
Skyr Frucht,MILSANI,1.11,1.39,"Verschiedene Sorten, je 500-g-Becher,
kg-Preis 2.22",-20 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_005.png
High-Protein-Pudding,MILSANI,0.79,0.99,"Verschiedene Sorten, je 200-g-Becher,
kg-Preis 3.95",-20 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_006.png
Sprühsahne,MILSANI,1.69,2.19,,-22 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_007.png
Kaffeepads,BARISSIMO,2.19,2.69,"Verschiedene Sorten, je 20 Pads, je 140-g-Packung, kg-Preis 15.64",-18 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_008.png
Bio-Fairtrade-Kaffeepads,BARISSIMO,2.29,2.69,"Je 20 Pads, je 140-g-Packung, kg-Preis 16.36",,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_009.png
Kaffeekapseln,BARISSIMO,2.39,3.99,"Lungo Fortemente, je 20 Plastik-Kapseln,
je 110-g-Packung, kg-Preis 21.73",-40 %,Nein,"BIS ZU 50 % SPAREN VON MO., 15.12. BIS SA., 20.12.",2025-12-15,2025-12-20,images_aldi/aldi_offer_010.png
