Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Snacks,Sun Snacks,"€ 1,49",,"1 kg = 3,31","1 kg = 3,31",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_001.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed",,,ref_000001,obs_0000012681|obs_0000022013|obs_0000014507|obs_0000008760|obs_0000018241|obs_0000015426|obs_0000026446|obs_0000012634|obs_0000015452|obs_0000010726|obs_0000015101|obs_0000009748|obs_0000028823|obs_0000000155|obs_0000022053|obs_0000006950|obs_0000018603|obs_0000009285|obs_0000022093|obs_0000012886|obs_0000017889|obs_0000005492|obs_0000030004|obs_0000030005|obs_0000032224|obs_0000032225|obs_0000013235|obs_0000013330|obs_0000008773|obs_0000005112,,,
Cremiger Weichkäse,Milsani,"€ 1,19",,"pro Einheit = 1,69","pro Einheit = 1,69",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_002.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_kaese,sub_milchprodukte,sub_sahne_creme",,,ref_000002,obs_0000001060|obs_0000001335|obs_0000010262|obs_0000028718|obs_0000009810|obs_0000017509|obs_0000009341|obs_0000018456|obs_0000023373|obs_0000028005|obs_0000022418|obs_0000023007|obs_0000012800,obs_0000001060|obs_0000001335,,
Maritimes T-Shirt,Up2Fashion,"€ 2,49",,"pro Einheit = 2,49","pro Einheit = 2,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_003.jpg,"cat_non_food,tag_ultra_processed",,,ref_000003,obs_0000000755|obs_0000023573|obs_0000001225|obs_0000023324|obs_0000023466|obs_0000000968,,,x
Ayran,Milsani,"€ 0,29",,"pro Einheit = 0,49","pro Einheit = 0,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_004.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,sub_sahne_creme",,,ref_000004,obs_0000001057|obs_0000001299|obs_0000001328|obs_0000027732|obs_0000013083|obs_0000010015|obs_0000009555|obs_0000031644|obs_0000029658|obs_0000014418|obs_0000031632|obs_0000013270,obs_0000001057|obs_0000027732|obs_0000001299|obs_0000013083|obs_0000010015|obs_0000001328|obs_0000009555|obs_0000031644,,x
Automatischer Schlauchaufroller,Automatischer Schlauchaufroller,"€ 24,99",,"pro Einheit = 24,99","pro Einheit = 24,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_005.jpg,cat_non_food,,,ref_000005,,,,
Spargel weiß weiß-violett,Spargel weiß weiß-violett,"€ 3,99",,"1 kg = 7,98","1 kg = 7,98",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_006.jpg,"cat_getraenke,diet_vegetarian",,,ref_000006,obs_0000006414|obs_0000007314|obs_0000001516,,,
Heidelbeeren,Heidelbeeren,"€ 4,49",,"pro Einheit = 5,99","pro Einheit = 5,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_007.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F304100,ref_000007,obs_0000033682|obs_0000000695|obs_0000034122|obs_0000000880|obs_0000033918|obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000034918|obs_0000006409|obs_0000030472|obs_0000034319|obs_0000030138|obs_0000030919|obs_0000022353|obs_0000005509|obs_0000005525|obs_0000005120|obs_0000006958|obs_0000005692|obs_0000007128|obs_0000007143|obs_0000005713|obs_0000005894,obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918|obs_0000034918,,
Gurke,Gurke,"€ 0,29",,"pro Einheit = 0,39","pro Einheit = 0,39",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-G520100,ref_000008,obs_0000001511|obs_0000034521|obs_0000002563|obs_0000026127|obs_0000003696|obs_0000027093|obs_0000031588|obs_0000027655|obs_0000034913|obs_0000008543|obs_0000010472|obs_0000012714|obs_0000014430|obs_0000014439|obs_0000013419|obs_0000012212|obs_0000007517|obs_0000029920,obs_0000002563|obs_0000001511|obs_0000026127|obs_0000003696|obs_0000027093|obs_0000034521,,
Sauce Hollandaise,Lukull,"€ 2,29",,"1 l = 9,16","1 l = 9,16",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_009.jpg,cat_grundnahrung,,BLS-U990400,ref_000009,obs_0000034898|obs_0000015434|obs_0000031029|obs_0000032237|obs_0000006127|obs_0000013386|obs_0000028755|obs_0000034889|obs_0000034901|obs_0000011915|obs_0000010474|obs_0000008982|obs_0000032425,obs_0000015434|obs_0000034898|obs_0000031029|obs_0000032237|obs_0000006127,,
Paprika-Mix,Paprika-Mix,"€ 1,49",,"pro Einheit = 2,19","pro Einheit = 2,19",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_010.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,,ref_000010,obs_0000024866|obs_0000027664|obs_0000006271|obs_0000021669|obs_0000018323|obs_0000028054|obs_0000027101|obs_0000016870|obs_0000027408|obs_0000024700|obs_0000007518|obs_0000007530,obs_0000027664|obs_0000006271|obs_0000021669|obs_0000024866|obs_0000018323|obs_0000028054|obs_0000027101|obs_0000016870,,
Aubergine,Aubergine,"€ 0,69",,"pro Einheit = 0,69","pro Einheit = 0,69",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_011.jpg,"cat_obst_gemuese,diet_lactose_free,diet_vegan,diet_vegetarian",,BLS-G510100,ref_000011,obs_0000002820|obs_0000031629|obs_0000031217|obs_0000034737|obs_0000013899,obs_0000002820|obs_0000031629,,
Sonnentomaten,kleine Schätze,"€ 2,89",,"1 kg = 5,78","1 kg = 5,78",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/aldi/aldi_offer_012.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000012,,,,
