Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Jumbo Kiwi Gold,Zespri,"€ 0,50",,"pro Einheit = 0,50","pro Einheit = 0,50","aus Neuseeland, Kl. I Höchstabgabemenge zum App Preis: 3 Stück, Stück",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/zespri-jumbo-kiwi-gold.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000001,obs_0000005510|obs_0000005526|obs_0000027793|obs_0000021224|obs_0000010019|obs_0000009562|obs_0000026466|obs_0000008059|obs_0000027055|obs_0000020405|obs_0000008631|obs_0000005133|obs_0000028872|obs_0000002439|obs_0000019528|obs_0000028046|obs_0000010274|obs_0000010981|obs_0000031776|obs_0000034007|obs_0000023259|obs_0000012629|obs_0000011104|obs_0000012669|obs_0000013227|obs_0000015276|obs_0000031712|obs_0000010721,obs_0000005133|obs_0000005510|obs_0000005526,,
Spargel weiß violett,Keine Marke,"€ 3,99",,"1 kg = 9,98","1 kg = 9,98","aus Deutschland, Kl. II Abbildung ähnlich., 500 g Packung, (1 kg = 9,98 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/spargel-wei-violett.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000002,obs_0000006414|obs_0000007314|obs_0000001516,obs_0000006414,,
Looye Honigtomaten,Keine Marke,"€ 2,99",,"1 kg = 18,50","1 kg = 18,50","aus den Niederlanden, Kl. I, 180 g Packung, (1 kg = 18,50 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/looye-honigtomaten.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000003,obs_0000031869,,,
Zucchini,Keine Marke,"€ 0,79",,"1 kg = 3,16","1 kg = 3,16","aus Italien/Spanien, Kl. I, Stück, (1 kg = 3,16 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/zucchini.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-G582100,ref_000004,obs_0000021829|obs_0000016265|obs_0000007131|obs_0000018752|obs_0000031457|obs_0000013900|obs_0000005522,obs_0000021829|obs_0000016265|obs_0000007131|obs_0000018752,,
Paprika rot,Gut & Günstig,"€ 1,99",,"1 kg = 3,98","1 kg = 3,98","aus den Niederlanden, Kl. I, 500g Packung, (1 kg = 3,98 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/gut-g-nstig-paprika-rot.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000005,obs_0000026665|obs_0000003697|obs_0000034909|obs_0000026240|obs_0000002309|obs_0000027930|obs_0000000499|obs_0000033925|obs_0000009958|obs_0000009496|obs_0000033709|obs_0000012231|obs_0000013415|obs_0000010558,obs_0000026665|obs_0000003697|obs_0000034909|obs_0000026240|obs_0000002309|obs_0000027930|obs_0000000499,,x
Spargel weiß violett,Keine Marke,"€ 5,99",,"1 kg = 5,99","1 kg = 5,99","aus Griechenland, Kl. II, Abbildung ähnlich., 1 kg Packung, (1 kg = 5,99 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/spargel-wei-violett.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000006,obs_0000006414|obs_0000007314|obs_0000001516,obs_0000006414,,
Spargel grün,Keine Marke,"€ 3,99",,"1 kg = 9,98","1 kg = 9,98","aus Spanien/Griechenland, Kl. I Abbildung ähnlich., 400 g Packung, (1 kg = 9,98 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/spargel-gr-n.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-G450100,ref_000007,obs_0000034717|obs_0000006079,obs_0000034717|obs_0000006079,,
Speisekartoffeln Drillinge,EDEKA Herzstücke,"€ 1,99",,"1 kg = 1,99","1 kg = 1,99","festkochend, Sorte und Herkunft siehe Etikett, 1 kg Packung, (1 kg = 1,99 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/edeka-herzst-cke-speisekartoffeln-drillinge.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,,ref_000008,obs_0000000006|obs_0000034312|obs_0000026668|obs_0000001070|obs_0000033875|obs_0000031321|obs_0000030837|obs_0000034910|obs_0000003716|obs_0000017026|obs_0000028399|obs_0000034088|obs_0000027986|obs_0000007514|obs_0000008539|obs_0000027510|obs_0000030615|obs_0000030140|obs_0000016324|obs_0000009672|obs_0000009188,obs_0000007514,,
Zitronen,EDEKA Bio,"€ 1,99",,"1 kg = 3,98","1 kg = 3,98","Sorte siehe Etikett, aus Italien, Kl. II unbehandelt, 500 g Netz, (1 kg = 3,98 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/edeka-bio-zitronen.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F601100,ref_000009,obs_0000008321|obs_0000027911|obs_0000025087|obs_0000024462|obs_0000028057|obs_0000021667|obs_0000026542|obs_0000030136|obs_0000031554|obs_0000034117|obs_0000027477|obs_0000031323|obs_0000028262|obs_0000020848|obs_0000009607|obs_0000029581|obs_0000012177|obs_0000026239|obs_0000033715|obs_0000018940|obs_0000008643|obs_0000029124|obs_0000010058|obs_0000012637|obs_0000030824|obs_0000028912|obs_0000028790|obs_0000005138|obs_0000005119|obs_0000014878|obs_0000001074|obs_0000032058|obs_0000005699|obs_0000005320|obs_0000015312|obs_0000011385|obs_0000005507|obs_0000014382|obs_0000006071|obs_0000013905|obs_0000010973|obs_0000013970|obs_0000014575,obs_0000008321|obs_0000027911|obs_0000025087|obs_0000024462|obs_0000005138|obs_0000005119|obs_0000028057|obs_0000021667|obs_0000026542|obs_0000030136|obs_0000031554|obs_0000034117|obs_0000027477|obs_0000031323|obs_0000028262|obs_0000020848,,
Bärlauch,Keine Marke,"€ 1,49",,"1 kg = 18,63","1 kg = 18,63","aus Deutschland, Kl. I Abbildung ähnlich., 80 g Packung, (1 kg = 18,63 €)",Nein,Gültig vom 27.04.2026 bis zum 02.05.2026.,2026-04-27,2026-05-02,../images/edeka/b-rlauch.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-G492100,ref_000010,obs_0000033803,,,
