Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Hähnchen-Brustfilet,Keine Marke,"€ 4,99","€ 6,79","1 kg = 8,32","1 kg = 8,32",mager,Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_001.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_high_protein,tag_proteinreich,tag_whole_food",,BLS-V416100,ref_000001,obs_0000028699|obs_0000028847|obs_0000025273|obs_0000028436|obs_0000021299|obs_0000027499|obs_0000020480|obs_0000030219|obs_0000031243|obs_0000030256|obs_0000026229|obs_0000027320|obs_0000030925|obs_0000030952|obs_0000010592|obs_0000029597|obs_0000031200|obs_0000030884|obs_0000029518|obs_0000030184|obs_0000031206,obs_0000028699|obs_0000003144|obs_0000026229|obs_0000002678|obs_0000000633|obs_0000028847|obs_0000027320|obs_0000025273|obs_0000002744|obs_0000028436|obs_0000021299|obs_0000002399|obs_0000010592|obs_0000027499|obs_0000001424|obs_0000020480,,
Wassermelone,Keine Marke,"€ 1,79",,"pro Einheit = 1,79","pro Einheit = 1,79","Spanien/Italien, Kl. I, kernarm",Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_002.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,BLS-F535100,ref_000002,obs_0000031381|obs_0000006962|obs_0000006426|obs_0000013140,obs_0000031381,,
Käsescheiben,Milram,"€ 1,11","€ 2,59","1 kg = 7,40","1 kg = 7,40","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_003.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000003,obs_0000027170|obs_0000002664|obs_0000026217|obs_0000033991|obs_0000025113|obs_0000024639|obs_0000020051|obs_0000025206|obs_0000027787|obs_0000001181|obs_0000022214|obs_0000002763|obs_0000021231|obs_0000017666|obs_0000018205|obs_0000002335|obs_0000020870|obs_0000031123|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000000993|obs_0000021587|obs_0000002160|obs_0000017591|obs_0000020768|obs_0000021823|obs_0000018774|obs_0000004115|obs_0000019487|obs_0000032339|obs_0000029794|obs_0000025207|obs_0000014493|obs_0000026864|obs_0000017161|obs_0000007977|obs_0000032080|obs_0000004969|obs_0000016774|obs_0000000405|obs_0000019371|obs_0000004542|obs_0000007162|obs_0000006286|obs_0000026787|obs_0000026584|obs_0000007170|obs_0000007782,obs_0000025113|obs_0000027170|obs_0000024639|obs_0000020051|obs_0000021587|obs_0000002664|obs_0000026217|obs_0000002160|obs_0000025206|obs_0000027787|obs_0000001181|obs_0000017591|obs_0000022214|obs_0000033991|obs_0000002763|obs_0000021231|obs_0000017666|obs_0000018205|obs_0000002335|obs_0000020768|obs_0000021823|obs_0000018774|obs_0000020870|obs_0000031123|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000000993,,
Frau Antje Beste Butter,Keine Marke,"€ 1,11","€ 2,99","1 kg = 4,44","1 kg = 4,44",gekühlt,Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_005.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,sub_frisches_gemuese,tag_whole_food",,,ref_000005,obs_0000003591|obs_0000019493|obs_0000031786|obs_0000024620|obs_0000003636|obs_0000002620|obs_0000000107|obs_0000002676|obs_0000010409|obs_0000034970|obs_0000003267|obs_0000011467|obs_0000018644|obs_0000026359|obs_0000008456|obs_0000011042|obs_0000013125|obs_0000018772|obs_0000008556|obs_0000009075|obs_0000012797|obs_0000027517|obs_0000001425|obs_0000027049|obs_0000017835|obs_0000018391|obs_0000021984|obs_0000000997|obs_0000022502,,,
Activia,Danone,"€ 2,99","€ 5,38","1 kg = 3,25","1 kg = 3,25","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_006.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000006,obs_0000015376|obs_0000010916|obs_0000026077|obs_0000028785|obs_0000006436|obs_0000020663|obs_0000028727|obs_0000022869|obs_0000011876|obs_0000022373|obs_0000021482|obs_0000003479|obs_0000004377|obs_0000016673|obs_0000000298|obs_0000034969|obs_0000004804|obs_0000028006|obs_0000010348|obs_0000003950|obs_0000019570|obs_0000019836|obs_0000005904|obs_0000005151|obs_0000007163,obs_0000015376|obs_0000010916|obs_0000026077|obs_0000028785,,
Geranien oder Fuchsien,Keine Marke,"€ 4,99",,"pro Einheit = 4,99","pro Einheit = 4,99","stehend oder hängend, ca. 15 cm hoch, versch. Farben",Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_007.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000007,,,,
Bella Crema,Melitta,"€ 13,99","€ 19,99","pro Einheit = 13,99","pro Einheit = 13,99","ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_008.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000008,obs_0000006300|obs_0000025809|obs_0000032405|obs_0000006811|obs_0000029365|obs_0000031996|obs_0000005919|obs_0000005555|obs_0000030659|obs_0000008359|obs_0000007962,obs_0000017536|obs_0000032405|obs_0000006300|obs_0000006811|obs_0000029365|obs_0000025809|obs_0000031996|obs_0000005919|obs_0000012702|obs_0000005555|obs_0000030659|obs_0000010720,,
Pointee Pasta,Keine Marke,"€ 0,99",,"1 kg = 1,98","1 kg = 1,98",,Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_009.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,sub_nudeln,tag_ultra_processed,tag_whole_food",,,ref_000009,obs_0000020003|obs_0000035104|obs_0000028733|obs_0000022097|obs_0000002663|obs_0000034419|obs_0000017082|obs_0000021187|obs_0000034026|obs_0000026899|obs_0000018196|obs_0000018708|obs_0000016662|obs_0000028496|obs_0000011092|obs_0000014165|obs_0000019293|obs_0000019845|obs_0000020368|obs_0000025518|obs_0000028607|obs_0000018893|obs_0000017359|obs_0000016866,,,
Blumenerde,Keine Marke,"€ 1,49","€ 1,99","1 l = 0,07","1 l = 0,07",,Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_010.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000010,obs_0000024531|obs_0000027996|obs_0000013466|obs_0000034462,obs_0000024531|obs_0000027996,,
Reinigungstücher,Keine Marke,"€ 0,85","€ 0,95","pro Einheit = 0,85","pro Einheit = 0,85",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 27.04.26 - Samstag, 02.05.26",27.04.26,02.05.26,../images/netto/netto_offer_011.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000011,obs_0000012898|obs_0000033125|obs_0000014677|obs_0000011167|obs_0000031706|obs_0000005482|obs_0000006396,obs_0000012898|obs_0000033125|obs_0000014677|obs_0000011167,,
