Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Kamillen-Toilettenpapier,Regina,"€ 4,99",,"pro Einheit = 6,99","pro Einheit = 6,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_001.jpg,cat_drogerie,,,ref_000001,obs_0000026332|obs_0000006587|obs_0000000527|obs_0000003599|obs_0000001568|obs_0000010282|obs_0000033855|obs_0000002116|obs_0000026693|obs_0000024163|obs_0000013932|obs_0000004745|obs_0000013454|obs_0000027323|obs_0000023741|obs_0000034994|obs_0000028373|obs_0000025816|obs_0000028891|obs_0000004318|obs_0000033514|obs_0000000748|obs_0000033004|obs_0000000261|obs_0000008992|obs_0000000809|obs_0000003891|obs_0000001341|obs_0000014665|obs_0000033636|obs_0000033135|obs_0000028024|obs_0000011770,,,
Käsescheiben,Milram,"€ 1,39",,"pro Einheit = 2,59","pro Einheit = 2,59",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_002.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000002,obs_0000027170|obs_0000002664|obs_0000026217|obs_0000033991|obs_0000025113|obs_0000024639|obs_0000020051|obs_0000025206|obs_0000027787|obs_0000001181|obs_0000022214|obs_0000002763|obs_0000021231|obs_0000017666|obs_0000018205|obs_0000002335|obs_0000020870|obs_0000031123|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000000993|obs_0000021587|obs_0000002160|obs_0000017591|obs_0000020768|obs_0000021823|obs_0000018774|obs_0000004115|obs_0000019487|obs_0000032339|obs_0000029794|obs_0000025207|obs_0000014493|obs_0000026864|obs_0000017161|obs_0000007977|obs_0000032080|obs_0000004969|obs_0000016774|obs_0000000405|obs_0000019371|obs_0000004542|obs_0000007162|obs_0000006286|obs_0000026787|obs_0000026584|obs_0000007170|obs_0000007782,obs_0000025113|obs_0000027170|obs_0000024639|obs_0000020051|obs_0000021587|obs_0000002664|obs_0000026217|obs_0000002160|obs_0000025206|obs_0000027787|obs_0000001181|obs_0000017591|obs_0000022214|obs_0000033991|obs_0000002763|obs_0000021231|obs_0000017666|obs_0000018205|obs_0000002335|obs_0000020768|obs_0000021823|obs_0000018774|obs_0000020870|obs_0000031123|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000000993,,
Kabeljaufilet,Kabeljaufilet,"€ 2,99",,"pro Einheit = 3,99","pro Einheit = 3,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_003.jpg,cat_fisch_meeresfruechte,,,ref_000003,obs_0000008573|obs_0000007045|obs_0000034935|obs_0000033887,obs_0000008573|obs_0000007045|obs_0000034935,,
Kaffee,Eilles,"€ 5,99",,"pro Einheit = 8,99","pro Einheit = 8,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,BLS-N410100,ref_000004,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517|obs_0000033702|obs_0000007172|obs_0000001036|obs_0000011792|obs_0000015886|obs_0000014364|obs_0000031774|obs_0000008737|obs_0000005168|obs_0000012378|obs_0000001674|obs_0000018585|obs_0000011952|obs_0000007356|obs_0000027842|obs_0000005362|obs_0000027412|obs_0000034615|obs_0000027964|obs_0000024390|obs_0000010059|obs_0000000848|obs_0000009608|obs_0000023971|obs_0000034731|obs_0000013262|obs_0000011764|obs_0000026632|obs_0000001035|obs_0000001037|obs_0000001038|obs_0000001039|obs_0000029713|obs_0000021523|obs_0000025137|obs_0000025139|obs_0000030782|obs_0000025157|obs_0000011344|obs_0000002651|obs_0000010346,obs_0000012856|obs_0000012375|obs_0000011954|obs_0000014593|obs_0000024909|obs_0000013724|obs_0000015279|obs_0000010719|obs_0000022517,,
Hirtenkäse oder Feta,Patros,"€ 1,79",,"1 kg = 9,94","1 kg = 9,94",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_005.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000005,obs_0000000520|obs_0000013707|obs_0000016541|obs_0000025183|obs_0000008866|obs_0000001180|obs_0000018107|obs_0000010627|obs_0000002450|obs_0000011044|obs_0000003162|obs_0000019634|obs_0000020442|obs_0000013037|obs_0000021261|obs_0000021676|obs_0000014339|obs_0000030983|obs_0000006443|obs_0000023290|obs_0000015386|obs_0000031891|obs_0000023807|obs_0000024072|obs_0000024228|obs_0000024500,obs_0000013707,,
Bio-Primitivo,Doppio Passo,"€ 5,99",,"1 l = 7,99","1 l = 7,99",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_006.jpg,"cat_getraenke,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000006,obs_0000034876|obs_0000033827|obs_0000035019|obs_0000034038|obs_0000027780|obs_0000026098|obs_0000027208|obs_0000005997|obs_0000007867|obs_0000005822,obs_0000033827|obs_0000034038|obs_0000034876|obs_0000035019|obs_0000027780,,
Mineralwasser,Staatl Fachingen,"€ 6,99",,"pro Einheit = 9,49","pro Einheit = 9,49",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_007.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000007,obs_0000034044|obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332|obs_0000031249|obs_0000002068|obs_0000024088|obs_0000029232|obs_0000031834,obs_0000027653|obs_0000034851|obs_0000015908|obs_0000031797|obs_0000026205|obs_0000008801|obs_0000003689|obs_0000015481|obs_0000031867|obs_0000012414|obs_0000031871|obs_0000028800|obs_0000034437|obs_0000008841|obs_0000009353|obs_0000028841|obs_0000027836|obs_0000011969|obs_0000021185|obs_0000027856|obs_0000008437|obs_0000034043|obs_0000034044|obs_0000009985|obs_0000028931|obs_0000035059|obs_0000010519|obs_0000031006|obs_0000014625|obs_0000028968|obs_0000026948|obs_0000028493|obs_0000008537|obs_0000011123|obs_0000028537|obs_0000028027|obs_0000020366|obs_0000028603|obs_0000034235|obs_0000034238|obs_0000026570|obs_0000013773|obs_0000025562|obs_0000028654|obs_0000014332,,
Bio-Ciabatta,Herzberger,"€ 2,22",,"1 kg = 5,55","1 kg = 5,55",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,,"cat_grundnahrung,diet_vegetarian",,,ref_000008,obs_0000016493|obs_0000017017|obs_0000034768|obs_0000002639|obs_0000019138|obs_0000027950|obs_0000005306,,,
Schweinenackensteak natur,Schweinenackensteak natur,"€ 0,89",,"1 kg = 8,90","1 kg = 8,90",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_009.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_schwein",,,ref_000009,obs_0000028889|obs_0000001347|obs_0000030101|obs_0000009644,,,
Delikatess Senf,tegut,"€ 1,11",,"1 l = 4,44","1 l = 4,44",,Nein,Gültig bis 02.05,2026-04-27,2026-05-02,../images/tegut/tegut_offer_011.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed",,BLS-W214000,ref_000010,obs_0000009072|obs_0000015847|obs_0000030294|obs_0000034414|obs_0000014015|obs_0000032488|obs_0000031812,obs_0000009072|obs_0000015847,,
