Produkt,Preis,Preis_kg,Hinweis,Gueltig_von,Gueltig_bis,Bildpfad
Gut & Günstig Salatgurke,€ 1.29,,"aus den Niederlanden/Spanien, Kl. I, Stück",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-salatgurke.jpg
Blumenkohl,€ 1.99,,"aus Italien/Frankreich, Kl. I, Stück",2026-02-23,2026-02-28,images_edeka/blumenkohl.jpg
"EDEKA Bio WWF Feldsalat, Blattspinat oder Rucola",€ 1.00,"1 kg = 10,00 €","aus Italien, Kl. II, 100 g Packung, (1 kg = 10,00 €)",2026-02-23,2026-02-28,images_edeka/edeka-bio-wwf-feldsalat-blattspinat-oder-rucola.jpg
Gut & Günstig Champignons weiß,€ 1.00,"1 kg = 4,00 €","aus Polen, Kl. I, 250 g Packung, (1 kg = 4,00 €)",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-champignons-wei.jpg
Speisekartoffeln,€ 1.00,"1 kg = 1,00 €","festkochend, Sorte siehe Etikett, aus Deutschland, Abbildung ähnlich., 1 kg Packung, (1 kg = 1,00 €)",2026-02-23,2026-02-28,images_edeka/speisekartoffeln.jpg
"Datteln ""Deglet Nour""",€ 1.00,"1 kg = 5,00 €","Herkunft siehe Etikett, Kl. I, entsteint Abbildung ähnlich., 200 g Packung, (1 kg = 5,00 €)",2026-02-23,2026-02-28,images_edeka/datteln-deglet-nour.jpg
Gut & Günstig Möhren,€ 1.00,"1 kg = 0,50 €","aus Deutschland, Kl. I,, 2 kg Packung, (1 kg = 0,50 €)",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-m-hren.jpg
Jumbo Kiwi Gold,€ 1.00,"1 st = 1,00 €","aus Italien, Kl. I,, Stück, (1 st = 1,00 €)",2026-02-23,2026-02-28,images_edeka/jumbo-kiwi-gold.jpg
EDEKA Bio Zitronen,€ 1.00,,"Sorte siehe Etikett, aus Italien/Spanien, Kl. II, 500 g Netz",2026-02-23,2026-02-28,images_edeka/edeka-bio-zitronen.jpg
XL Bundkräuter Petersilie Glatt oder Koriander,€ 1.49,,aus Spanien Abbildung ähnlich.,2026-02-23,2026-02-28,images_edeka/xl-bundkr-uter-petersilie-glatt-oder-koriander.jpg
EDEKA Heimatliebe Fränkische Mini-Gurken,€ 2.49,"1 kg = 8,30 €","Kl. I,, 300 g Packung, (1 kg = 8,30 €)",2026-02-23,2026-02-28,images_edeka/edeka-heimatliebe-fr-nkische-mini-gurken.jpg
Spitzpaprika rot,€ 1.99,"1 kg = 3,98 €","Herkunft siehe Etikett, Kl. I, Abbildung ähnlich., 500 g, (1 kg = 3,98 €)",2026-02-23,2026-02-28,images_edeka/spitzpaprika-rot.jpg
EDEKA Herzstücke Beste Lese Tafeltrauben hell oder rot,€ 3.99,,"Sorte und Herkunft siehe Etikett, Kl. I,, 1 kg",2026-02-23,2026-02-28,images_edeka/edeka-herzst-cke-beste-lese-tafeltrauben-hell-oder-rot.jpg
Nektarinen gelb- oder weißfleischig,€ 0.49,,"aus der Republik Südafrika, Kl. I, 100 g",2026-02-23,2026-02-28,images_edeka/nektarinen-gelb-oder-wei-fleischig.jpg
Pflaumen dunkel,€ 0.39,,"aus der Region Südafrika, Kl. I,, 100 g",2026-02-23,2026-02-28,images_edeka/pflaumen-dunkel.jpg
"EDEKA Herzstücke Tafeläpfel ""Magic Star""",€ 1.99,"1 kg = 1,99 €","Sorte siehe Etikett, aus Deutschland, Kl. I,, 1 kg Packung, (1 kg = 1,99 €)",2026-02-23,2026-02-28,images_edeka/edeka-herzst-cke-tafel-pfel-magic-star.jpg
EDEKA Bio WWF Brokkoli,€ 1.99,"1 kg = 4,98 €","aus Italien, Kl. II, 400 g Packung, (1 kg = 4,98 €)",2026-02-23,2026-02-28,images_edeka/edeka-bio-wwf-brokkoli.jpg
Gut & Günstig Tulpen*,€ 1.99,,"verschiedene Farben,, 7er Bund",2026-02-23,2026-02-28,images_edeka/gut-g-nstig-tulpen.jpg
