Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Tafeltrauben rot kernlos,Gut Günstig,"€ 1,69",,"1 kg = 3,38 €","Sorte und Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 3,38 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/gut-g-nstig-tafeltrauben-rot-kernlos.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Blumenkohl,Keine Marke,"€ 1,49",,"1 st = 1,49 €","aus Italien/Frankreich, Kl. I, Stück",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/blumenkohl.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
WWF Apeel Orangen oder Mandarinen,EDEKA Herzstücke,"€ 2,39",,Kein Mengenpreis,"Sorte siehe Etikett, aus Spanien, Kl. I",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/edeka-herzst-cke-wwf-apeel-orangen-oder-mandarinen.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
WWF Bananen,Gut Günstig,"€ 1,03",,"1 kg = 1,03 €","Herkunft siehe Auszeichnung, 1 kg",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/gut-g-nstig-wwf-bananen.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Erdbeeren,Gut Günstig,"€ 2,99",,"1 kg = 6,66 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 6,66 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/gut-g-nstig-erdbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food"
Pink Lady Tafeläpfel Cripps Pink,Keine Marke,"€ 1,00",,"1 kg = 1,92 €","Herkunft siehe Etikett, Kl. I, 520 g Packung, (1 kg = 1,92 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/pink-lady-tafel-pfel-cripps-pink.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Kohlrabi,Keine Marke,"€ 0,69",,"1 st = 0,69 €","aus Spanien/Italien, Kl. I, Stück",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/kohlrabi.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
Salatgurke unfoliert,EDEKA Bio,"€ 1,29",,"1 st = 1,29 €","aus Spanien, Kl. II, Stück",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/edeka-bio-salatgurke-unfoliert.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
Auberginen,Keine Marke,"€ 0,99",,"1 kg = 3,30 €","aus Spanien, Kl. I, Stück, (1 kg = 3,30 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/auberginen.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food"
Cherry Rispentomaten,Gut Günstig,"€ 1,99",,"1 kg = 3,98 €","aus Italien, Kl. I, 500 g Packung, (1 kg = 3,98 €)",Nein,Gültig vom 09.03.2026 bis zum 14.03.2026.,2026-03-09,2026-03-14,images_edeka/gut-g-nstig-cherry-rispentomaten.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food"
