Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Salatgurke,Gut Günstig,"€ 0,66",,"1 st = 0,66 €","aus den Niederlanden, Kl. I, Stück",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/gut-g-nstig-salatgurke.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,ref_000001,obs_0000005662|obs_0000005288|obs_0000006572|obs_0000005677|obs_0000005854|obs_0000006590,obs_0000005662|obs_0000005288|obs_0000005677
Erdbeeren,Gut Günstig,"€ 2,39",,"1 kg = 5,98 €","aus Spanien/Griechenland, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 5,98 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/gut-g-nstig-erdbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",BLS-F301100,ref_000002,obs_0000021444|obs_0000027621|obs_0000028744|obs_0000025546|obs_0000000875|obs_0000029042|obs_0000028691|obs_0000029976|obs_0000031864|obs_0000031257|obs_0000011679|obs_0000005473|obs_0000014242|obs_0000005869|obs_0000010835|obs_0000005878|obs_0000028555,obs_0000005473|obs_0000021444|obs_0000027621|obs_0000028744|obs_0000025546|obs_0000000875|obs_0000029042|obs_0000028691|obs_0000029976
Driscoll s Heidelbeeren,Keine Marke,"€ 1,59",,"1 kg = 15,92 €","Herkunft siehe Etikett, Kl. I, 125 g Packung, (1 kg = 15,92 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/driscoll-s-heidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,ref_000003,obs_0000000051|obs_0000002605|obs_0000002786|obs_0000002874|obs_0000007175|obs_0000015224|obs_0000017668|obs_0000023511|obs_0000024503|obs_0000024825|obs_0000025629|obs_0000025915|obs_0000026387|obs_0000027265|obs_0000028389|obs_0000028687|obs_0000029790|obs_0000029987|obs_0000000695|obs_0000000880|obs_0000023896|obs_0000031146|obs_0000031382|obs_0000031586|obs_0000032207|obs_0000005680,obs_0000006967|obs_0000006978
Driscoll s Brombeeren,Keine Marke,"€ 2,39",,"1 kg = 23,92 €","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 125 g Packung, (1 kg = 23,92 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/driscoll-s-brombeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000004,obs_0000016049|obs_0000005680,obs_0000006967|obs_0000006978
Nergi Mini Kiwis,Keine Marke,"€ 2,99",,"1 kg = 23,92 €","Herkunft siehe Etikett, Kl. I, 125 g Packung, (1 kg = 23,92 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/nergi-mini-kiwis.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,ref_000005,obs_0000005103|obs_0000010378|obs_0000011774|obs_0000014741|obs_0000016055|obs_0000016653|obs_0000024151,
Himbeeren,EDEKA Bio,"€ 2,39",,"1 kg = 23,92 €","aus Spanien, Kl. II Abbildung ähnlich., 125 g Packung, (1 kg = 23,92 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/edeka-bio-himbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",BLS-F302100,ref_000006,obs_0000025094|obs_0000000524|obs_0000029977|obs_0000015266|obs_0000026149|obs_0000027944|obs_0000028341|obs_0000009919|obs_0000027712|obs_0000025281|obs_0000027332|obs_0000029786|obs_0000012506|obs_0000028257|obs_0000028385|obs_0000024296|obs_0000000498|obs_0000001270|obs_0000027254|obs_0000002693|obs_0000005297|obs_0000006967|obs_0000006978|obs_0000002513|obs_0000005482|obs_0000005101|obs_0000005114|obs_0000006405|obs_0000028451|obs_0000007245|obs_0000011235|obs_0000010340|obs_0000010367|obs_0000028555|obs_0000007247|obs_0000005680,obs_0000025094|obs_0000000524|obs_0000029977|obs_0000015266|obs_0000026149|obs_0000027944|obs_0000028341|obs_0000009919|obs_0000027712|obs_0000025281|obs_0000027332|obs_0000029786|obs_0000012506|obs_0000028257|obs_0000028385|obs_0000024296|obs_0000000498|obs_0000001270|obs_0000027254
Chiquita Physalisbeeren ohne Blatt,Keine Marke,"€ 1,99",,"1 kg = 19,92 €","aus Kolumbien, 125 g Packung, (1 kg = 19,92 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/chiquita-physalisbeeren-ohne-blatt.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000007,,
Spargel weiß violett,Keine Marke,"€ 4,44",,"1 kg = 8,88 €","aus Griechenland, Kl. II Abbildung ähnlich., 500 g Packung, (1 kg = 8,88 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/spargel-wei-violett.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000008,obs_0000006760,
Möhren,Gut Günstig,"€ 1,11",,"1 kg = 0,56 €","aus Deutschland, Kl. I, 2 kg Packung, (1 kg = 0,56 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/gut-g-nstig-m-hren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",BLS-H450100,ref_000009,obs_0000016005|obs_0000025872|obs_0000024980|obs_0000024471|obs_0000023491|obs_0000026185|obs_0000009932|obs_0000007896|obs_0000005492|obs_0000008311|obs_0000024582|obs_0000010002|obs_0000025495|obs_0000021018|obs_0000012573|obs_0000025632|obs_0000014243|obs_0000016686|obs_0000031544|obs_0000010425|obs_0000007738|obs_0000012093|obs_0000017875|obs_0000028386|obs_0000009075|obs_0000012156|obs_0000012952|obs_0000011808|obs_0000018725|obs_0000005301|obs_0000021440|obs_0000006980|obs_0000022215|obs_0000019544|obs_0000010842|obs_0000028270|obs_0000005858|obs_0000007179|obs_0000005100,obs_0000016005|obs_0000025872|obs_0000024980|obs_0000024471|obs_0000005301|obs_0000023491|obs_0000026185|obs_0000009932|obs_0000007896|obs_0000005492|obs_0000008311
Genussmomente Tafeltrauben dunkel kernlos Sable Seedless,EDEKA,"€ 1,11",,"1 kg = 2,78 €","Herkunft siehe Etikett, Kl. I, 400 g Packung, (1 kg = 2,78 €)",Nein,Gültig vom 16.03.2026 bis zum 21.03.2026.,2026-03-16,2026-03-21,images_edeka/edeka-genussmomente-tafeltrauben-dunkel-kernlos-sable-seedless.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000010,obs_0000008211|obs_0000009758|obs_0000008238|obs_0000029337|obs_0000026848|obs_0000007973|obs_0000012613|obs_0000026962|obs_0000026462|obs_0000009070|obs_0000009657|obs_0000008156,
