Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
WWF Feldsalat Blattspinat oder Rucola,EDEKA Bio,"€ 1,00",,"1 kg = 10,00","aus Italien, Kl. II, 100 g Packung, (1 kg = 10,00)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/edeka-bio-wwf-feldsalat-blattspinat-oder-rucola.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",,ref_000001,obs_0000005890|obs_0000005895|obs_0000005712|obs_0000005708|obs_0000017466|obs_0000007739|obs_0000032334|obs_0000030830|obs_0000009855|obs_0000006273|obs_0000009394|obs_0000001300|obs_0000028482|obs_0000001874|obs_0000007525|obs_0000007533|obs_0000028592|obs_0000031672|obs_0000030142,obs_0000005895
Tafeltrauben rot,Gut Günstig,"€ 1,49",,"1 kg = 2,98","Sorte siehe Etikett, aus der Republik Südafrika, Kl. I, 500 g Packung, (1 kg = 2,98)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/gut-g-nstig-tafeltrauben-rot.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,ref_000002,obs_0000006278|obs_0000006261|obs_0000013442|obs_0000007315|obs_0000015240|obs_0000008710|obs_0000011782|obs_0000005137|obs_0000028721|obs_0000008765|obs_0000010312|obs_0000008792|obs_0000031873|obs_0000028835|obs_0000010918|obs_0000028335|obs_0000014088|obs_0000008527|obs_0000009624|obs_0000010211|obs_0000005118|obs_0000014438|obs_0000005875|obs_0000005506|obs_0000006075|obs_0000006089|obs_0000012251|obs_0000013921|obs_0000012672|obs_0000006070|obs_0000006423|obs_0000015710|obs_0000005886,obs_0000005137|obs_0000006278|obs_0000005118
Heidelbeeren,Keine Marke,"€ 1,49",,"1 kg = 11,92","Sorte und Herkunft siehe Etikett, Kl. I, 125 g Packung, (1 kg = 11,92)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/heidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",BLS-F304100,ref_000003,obs_0000000051|obs_0000002819|obs_0000003000|obs_0000003088|obs_0000007729|obs_0000016699|obs_0000019143|obs_0000025384|obs_0000026376|obs_0000026698|obs_0000027502|obs_0000027788|obs_0000028260|obs_0000029138|obs_0000030262|obs_0000030560|obs_0000031149|obs_0000032326|obs_0000032523|obs_0000000695|obs_0000000880|obs_0000033682|obs_0000033918|obs_0000034122|obs_0000001513|obs_0000034918|obs_0000025769|obs_0000006409|obs_0000022353|obs_0000030138|obs_0000030472|obs_0000030919|obs_0000006958|obs_0000007128|obs_0000007143|obs_0000034319|obs_0000005120|obs_0000005509|obs_0000005525|obs_0000005692|obs_0000005713|obs_0000005894,obs_0000000051|obs_0000000695|obs_0000000880|obs_0000033682|obs_0000033918|obs_0000034122|obs_0000001513|obs_0000034918|obs_0000002819|obs_0000003000|obs_0000003088|obs_0000007729|obs_0000016699|obs_0000019143|obs_0000022353|obs_0000025384|obs_0000025769|obs_0000026376|obs_0000026698|obs_0000027502|obs_0000027788|obs_0000028260|obs_0000029138|obs_0000030138|obs_0000030262|obs_0000030472|obs_0000030560|obs_0000030919|obs_0000031149|obs_0000032326|obs_0000032523
2 Bunde Radieschen,Keine Marke,"€ 1,00",,"pro Einheit = 1,00","aus Italien, Kl. I",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/2-bunde-radieschen.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000004,obs_0000014149|obs_0000029140|obs_0000030438,
Snackmöhren,EDEKA Herzstücke,"€ 0,99",,"1 kg = 4,95","aus Deutschland, Kl. I, 200 g Packung, (1 kg = 4,95)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/edeka-herzst-cke-snackm-hren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,ref_000005,obs_0000027406|obs_0000005131|obs_0000005134,obs_0000005131|obs_0000027406|obs_0000005134
Almighurt,Ehrmann,"€ 0,33",,"1 kg = 2,20","verschiedene Sorten und Fettstufen, 150 g Becher, (1 kg = 2,20 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/ehrmann-almighurt.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,ref_000006,obs_0000003093|obs_0000013502|obs_0000031451|obs_0000004902|obs_0000001348|obs_0000000360|obs_0000028525|obs_0000022905|obs_0000004475|obs_0000014217|obs_0000012194|obs_0000033699|obs_0000015270|obs_0000004048|obs_0000028641|obs_0000000497|obs_0000000513|obs_0000027740|obs_0000033915|obs_0000034514|obs_0000007335|obs_0000005336|obs_0000005901|obs_0000032555|obs_0000032081|obs_0000030116,obs_0000003093|obs_0000013502|obs_0000005336|obs_0000031451|obs_0000005901|obs_0000004902|obs_0000001348|obs_0000000360|obs_0000028525|obs_0000022905|obs_0000004475|obs_0000014217|obs_0000012194|obs_0000033699|obs_0000015270|obs_0000004048|obs_0000028641|obs_0000000497
Butter,Meggle,"€ 0,99",,"1 kg = 4,76","verschiedene Sorten oder Streichzart Je nach Verfügbarkeit des Marktes., 250 g Stück/Becher, (1 kg = 4,76 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/meggle-butter.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_butter_margarine,sub_milchprodukte",NUTR-0011,ref_000007,obs_0000008456|obs_0000011042|obs_0000012797|obs_0000003591|obs_0000019493|obs_0000031786|obs_0000024620|obs_0000003636|obs_0000002620|obs_0000000107|obs_0000002676|obs_0000010409|obs_0000034970|obs_0000003267|obs_0000011467|obs_0000018644|obs_0000026359|obs_0000013125|obs_0000018772|obs_0000008556|obs_0000009075|obs_0000027517|obs_0000001425|obs_0000027049|obs_0000017835|obs_0000018391|obs_0000021984|obs_0000000997|obs_0000022502|obs_0000016977|obs_0000023640|obs_0000017501|obs_0000021127|obs_0000025744|obs_0000027848|obs_0000021731|obs_0000009961|obs_0000004847|obs_0000009500|obs_0000004420|obs_0000000325|obs_0000020308|obs_0000026493|obs_0000003993|obs_0000002325|obs_0000015797|obs_0000009684|obs_0000009205|obs_0000003593|obs_0000001554,obs_0000003591|obs_0000019493|obs_0000031786|obs_0000024620|obs_0000003636|obs_0000002620|obs_0000000107|obs_0000002676|obs_0000010409|obs_0000034970|obs_0000003267|obs_0000011467|obs_0000018644|obs_0000026359|obs_0000008456|obs_0000011042|obs_0000013125|obs_0000018772|obs_0000008556|obs_0000009075|obs_0000027517|obs_0000001425|obs_0000027049|obs_0000017835|obs_0000018391|obs_0000021984|obs_0000000997|obs_0000022502|obs_0000012797
Buko Frischkäse oder -zubereitung,Arla,"€ 0,88",,"1 kg = 4,95","verschiedene Sorten und Fettstufen, 200 g Becher, (1 kg = 4,95 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/arla-buko-frischk-se-oder-zubereitung.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed",,ref_000008,obs_0000005716|obs_0000006799|obs_0000000998|obs_0000002064|obs_0000002429|obs_0000019510|obs_0000022984|obs_0000005141|obs_0000005535|obs_0000006114|obs_0000006445|obs_0000007150|obs_0000007331|obs_0000028125|obs_0000024882|obs_0000000519|obs_0000016946|obs_0000025259|obs_0000017482|obs_0000017513|obs_0000009596|obs_0000017894|obs_0000018043|obs_0000010048|obs_0000026675|obs_0000018636|obs_0000018668|obs_0000002951|obs_0000019362|obs_0000027893|obs_0000019721|obs_0000003481|obs_0000028302|obs_0000020143|obs_0000020962|obs_0000022149|obs_0000022250|obs_0000022312|obs_0000022604|obs_0000023986|obs_0000024407,obs_0000026379|obs_0000005716|obs_0000006799
Käse,Leerdammer,"€ 1,49",,"pro Einheit = 1,49",verschiedene Sorten und Fettstufen,Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/leerdammer-k-se.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",BLS-W510000,ref_000009,obs_0000008883|obs_0000006457|obs_0000010631|obs_0000030225|obs_0000019500|obs_0000022580|obs_0000001085|obs_0000026199|obs_0000023653|obs_0000022147|obs_0000006788|obs_0000002181|obs_0000010376|obs_0000007330|obs_0000024226|obs_0000016585|obs_0000005349|obs_0000001770|obs_0000023803|obs_0000019213|obs_0000002881|obs_0000024408|obs_0000024417|obs_0000007537|obs_0000034165|obs_0000000890|obs_0000025987|obs_0000012681|obs_0000026022|obs_0000023984|obs_0000023991|obs_0000015806|obs_0000006612|obs_0000017890|obs_0000017382|obs_0000006631|obs_0000001009|obs_0000018451|obs_0000027169|obs_0000001059|obs_0000007724|obs_0000013871|obs_0000020016|obs_0000022079|obs_0000012357|obs_0000022605|obs_0000023629|obs_0000022626|obs_0000008813|obs_0000014975,obs_0000008883|obs_0000006457|obs_0000010631
Bergader Almzeit,Keine Marke,"€ 1,69",,"1 kg = 11,27","verschiedene Sorten oder Bavaria blu 51 % Fett i. Tr., 150 g Packung, (1 kg = 11,27 €)",Nein,Gültig vom 23.03.2026 bis zum 28.03.2026.,2026-03-23,2026-03-28,images_edeka/bergader-almzeit.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,ref_000010,obs_0000006971|obs_0000030449|obs_0000006285|obs_0000007352|obs_0000008044|obs_0000028306|obs_0000005549|obs_0000005715,
