Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Mini-Rispentomaten,EDEKA Herzstücke,"€ 1,00",,"1 kg = 3,73","1 kg = 3,73","aus den Niederlanden/Belgien, Kl. I Höchstabgabemenge zum App Preis: 3 Packungen, 400 g Packung, (1 kg = 3,73 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/edeka-herzst-cke-mini-rispentomaten.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000001,obs_0000006427|obs_0000006431|obs_0000029206|obs_0000031628|obs_0000030260|obs_0000030918|obs_0000030961|obs_0000031140|obs_0000029129|obs_0000029204|obs_0000031461|obs_0000029645|obs_0000030141|obs_0000032515|obs_0000030469|obs_0000030568|obs_0000030614|obs_0000012328|obs_0000008287|obs_0000006379|obs_0000030960|obs_0000006608|obs_0000027139|obs_0000029276|obs_0000010932|obs_0000027413|obs_0000031578|obs_0000000876|obs_0000029588|obs_0000029590|obs_0000007140|obs_0000029814|obs_0000017530|obs_0000007312|obs_0000007325|obs_0000027927|obs_0000005503|obs_0000005527|obs_0000026024|obs_0000026075|obs_0000013997|obs_0000018128|obs_0000005882|obs_0000016216,obs_0000006427|obs_0000006431|obs_0000031140|obs_0000006608|obs_0000029206|obs_0000031628|obs_0000007140|obs_0000007312|obs_0000007325|obs_0000005503|obs_0000005527|obs_0000030260|obs_0000005882|obs_0000032515|obs_0000030469,,
Salatgurke,EDEKA Bio,"€ 0,69",,"pro Einheit = 0,69","pro Einheit = 0,69","aus Spanien, Kl. II, Stück",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/edeka-bio-salatgurke.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,,ref_000002,obs_0000031142|obs_0000006407|obs_0000006429|obs_0000006268|obs_0000031262|obs_0000005891|obs_0000007144|obs_0000005876|obs_0000006068|obs_0000007126|obs_0000005502,obs_0000031142|obs_0000006407|obs_0000006068|obs_0000006429,,
Erdbeeren,Gut & Günstig,"€ 1,49",,"1 kg = 3,98","1 kg = 3,98","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 3,98 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/gut-g-nstig-erdbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000003,obs_0000006408|obs_0000006265|obs_0000022919|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000005687|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512,,x
Tafeltrauben Mix hell rot kernlos,Keine Marke,"€ 1,99",,"1 kg = 3,98","1 kg = 3,98","Sorte und Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 500 g Packung, (1 kg = 3,98 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/tafeltrauben-mix-hell-rot-kernlos.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000004,obs_0000006261|obs_0000007315|obs_0000006423|obs_0000029819|obs_0000006278|obs_0000028483|obs_0000028593|obs_0000008710|obs_0000034841|obs_0000028721|obs_0000009785|obs_0000008765|obs_0000010312|obs_0000008792|obs_0000031873|obs_0000031386|obs_0000028835|obs_0000034475|obs_0000028335|obs_0000034487|obs_0000009915|obs_0000027350|obs_0000011994|obs_0000006377|obs_0000035038|obs_0000014088|obs_0000010541|obs_0000014654|obs_0000008527|obs_0000028550|obs_0000009624|obs_0000008658|obs_0000010211|obs_0000028667,,,
Paprika Mix,Gut & Günstig,"€ 1,99",,"1 kg = 3,98","1 kg = 3,98","aus den Niederlanden, Kl. I, 500 g Packung, (1 kg = 3,98 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/gut-g-nstig-paprika-mix.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,,ref_000005,obs_0000006271|obs_0000024866|obs_0000027101|obs_0000016870|obs_0000027664|obs_0000021669|obs_0000028054|obs_0000018323|obs_0000027408|obs_0000024700|obs_0000007518|obs_0000007530,obs_0000006271|obs_0000024866|obs_0000027101|obs_0000016870|obs_0000027664|obs_0000021669|obs_0000028054|obs_0000018323,,x
Rhabarber,Keine Marke,"€ 1,99",,"1 kg = 1,99","1 kg = 1,99","aus Deutschland, Kl. I, 1 kg",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/rhabarber.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-F081100,ref_000006,obs_0000029571,,,
Mein Beerenglück Heidelbeeren,Keine Marke,"€ 4,44",,"1 kg = 8,88","1 kg = 8,88","Herkunft siehe Etikett, Kl. I, 500 g Packung, (1 kg = 8,88 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/mein-beerengl-ck-heidelbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000007,obs_0000005509|obs_0000005525|obs_0000007128|obs_0000007143|obs_0000005120|obs_0000005713|obs_0000005894|obs_0000002819|obs_0000026376|obs_0000032523|obs_0000027788|obs_0000003088|obs_0000033682|obs_0000025384|obs_0000025769|obs_0000031149|obs_0000007729|obs_0000000051|obs_0000030262|obs_0000000695|obs_0000003000|obs_0000016699|obs_0000034918|obs_0000032326|obs_0000019143|obs_0000026698|obs_0000034122|obs_0000029138|obs_0000030560|obs_0000028260|obs_0000001513|obs_0000027502|obs_0000000880|obs_0000033918,obs_0000005509|obs_0000005525|obs_0000007128|obs_0000007143|obs_0000005120,,
Mini-Pflaumentomaten,Keine Marke,"€ 1,00",,"1 kg = 5,00","1 kg = 5,00","Herkunft siehe Etikett, Kl. I Abbildung ähnlich., 200 g Packung, (1 kg = 5,00 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/mini-pflaumentomaten.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000008,obs_0000007516|obs_0000005517|obs_0000006081|obs_0000012328|obs_0000006379|obs_0000010932|obs_0000006964|obs_0000006969|obs_0000007129|obs_0000007142|obs_0000007147|obs_0000005117|obs_0000005135|obs_0000017530|obs_0000007313|obs_0000007326|obs_0000005324|obs_0000026024|obs_0000005702|obs_0000018128|obs_0000005879|obs_0000016216,obs_0000007516|obs_0000005517|obs_0000006081,,
Kohlrabi,Keine Marke,"€ 0,79",,"pro Einheit = 0,79","pro Einheit = 0,79","aus Spanien, Kl. I, Stück",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/kohlrabi.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-G331100,ref_000009,obs_0000005521|obs_0000027539|obs_0000028051|obs_0000027802|obs_0000033707|obs_0000020792|obs_0000032328|obs_0000029130|obs_0000028768|obs_0000007523|obs_0000021611|obs_0000005881|obs_0000006267|obs_0000034115|obs_0000034525|obs_0000030572|obs_0000029942|obs_0000012243|obs_0000015323|obs_0000007742,obs_0000005521|obs_0000027539|obs_0000028051|obs_0000027802|obs_0000033707|obs_0000020792|obs_0000032328|obs_0000029130|obs_0000028768|obs_0000007523|obs_0000021611|obs_0000005881|obs_0000006267,,
Spargel grün,EDEKA Bio,"€ 4,99",,"1 kg = 12,48","1 kg = 12,48","aus Spanien/Italien, Kl. II Abbildung ähnlich., 400 g Bund, (1 kg = 12,48 €)",Nein,Gültig vom 20.04.2026 bis zum 25.04.2026.,2026-04-20,2026-04-25,../images/edeka/edeka-bio-spargel-gr-n.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-G450100,ref_000010,obs_0000034717|obs_0000006079,obs_0000034717|obs_0000006079,,
