Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
EDEKA Herzstücke Speisekartoffeln,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 0,80 €","verschiedene Kocheigenschaften, Sorte siehe Etikett, aus Deutschland, 2,5 kg Netz, (1 kg = 0,80 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-herzst-cke-speisekartoffeln.jpg
"Erdnüsse ""Jumbo""",Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 kg = 5,32 €","Herkunft siehe Etikett, 750 g Packung, (1 kg = 5,32 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/erdn-sse-jumbo.jpg
Gut & Günstig Walnüsse,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 5,98 €","Herkunft siehe Etikett, 500 g Packung, (1 kg = 5,98 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/gut-g-nstig-waln-sse.jpg
"Fränkische Speisekartoffeln ""Bamberger Hörnla""",Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 1,99 €","1,5 kg Packung, (1 kg = 1,99 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/fr-nkische-speisekartoffeln-bamberger-h-rnla.jpg
"Gut & Günstig Avocado ""Hass""",Keine Marke,"€ 0,66",Kein vorheriger Preis,Kein Mengenpreis,"aus Israel / Marokko, Kl. I, Stück",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/gut-g-nstig-avocado-hass.jpg
"EDEKA Herzstücke Mango ""Kent / Keitt""",Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,"aus Brasilien, Kl. I, Stück",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-herzst-cke-mango-kent-keitt.jpg
EDEKA Herzstücke Apeel Riesenorangen,Keine Marke,"€ 3,33",Kein vorheriger Preis,"1 kg = 1,67","Sorte siehe Etikett, aus Spanien, Kl. I, 2 kg Netzt, (1 kg = 1,67)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-herzst-cke-apeel-riesenorangen.jpg
EDEKA Herzstücke Mini-Rispentomaten,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 4,98","aus den Niederlanden / Belgien, Kl. I, 400 g Packung, (1 kg = 4,98)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/edeka-herzst-cke-mini-rispentomaten.jpg
2 Stück Granatäpfel,Keine Marke,"€ 2,00",Kein vorheriger Preis,Kein Mengenpreis,"aus der Türkei, Kl. I, 2 Stück",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/2-st-ck-granat-pfel.jpg
Alle Angebote finden Sie im Prospekt,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt_11,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,"Normalpreise: Forellen-Filets: € 2,49; 1kg = € 19,92; Wasa: € 2,99; 1kg = € 24,92 - € 12,72",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,
Grünländer Käse,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 12,07-15,36 €","verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes., 110-140 g Packung, (1 kg = 12,07-15,36 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/gr-nl-nder-k-se.jpg
Frankenland Deutsche MarkenButter,Keine Marke,"€ 1,59",Kein vorheriger Preis,"1 kg = 6,36 €","mildgesäuert, 250 g Stück, (1 kg = 6,36 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/frankenland-deutsche-markenbutter.jpg
müller Müllermilch,Keine Marke,"€ 0,79",Kein vorheriger Preis,"1 l = 1,98 €","verschiedene Sorten Ausgenommen High Protein., 400 ml Flasche + 0,25 Pfand, (1 l = 1,98 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/m-ller-m-llermilch.jpg
"Alpenhain unser Back-Camembert, -Gouda Taler oder -Mozzarella Sticks",Keine Marke,"€ 2,22",Kein vorheriger Preis,"1 kg = 11,10 €","mit Dip, 200 g Packung, (1 kg = 11,10 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/alpenhain-unser-back-camembert-gouda-taler-oder-mozzarella-sticks.jpg
