Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Kabeljaufilet natur,Kabeljaufilet natur,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_001.jpg
Pizza Tradizionale Salame Romano,Dr Oetker,"€ 1,99",,"5,48 €",,Nein,,,,images_tegut/tegut_offer_002.jpg
Wisch Weg Küchentücher Original,Zewa,"€ 2,49",,"3,29 €",,Nein,,,,images_tegut/tegut_offer_003.jpg
Chipsfrisch Peperoni,funny-frisch,"€ 1,29",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_004.jpg
Mozzarella gerieben,tegut,"€ 1,79",,"1 kg = 8,95 €",,Nein,,,,images_tegut/tegut_offer_005.jpg
Küsschen,Ferrero,"€ 2,99",,"3,99 €",,Nein,,,,images_tegut/tegut_offer_006.jpg
Champignon Allgäuer Rahmtorte,Champignon Allgäuer Rahmtorte,"€ 1,49",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_007.jpg
Bio-Rinderhackfleisch,Bio-Rinderhackfleisch,"€ 6,99",,"8,99 €",,Nein,,,,images_tegut/tegut_offer_008.jpg
Premium Pils,Hasseröder,"€ 18,00",,"1 l = 0,90 €",,Nein,,,,images_tegut/tegut_offer_009.jpg
Bio-Rhönweck,Herzberger,"€ 0,99",,"1 kg = 4,40 €",,Nein,,,,images_tegut/tegut_offer_010.jpg
Suppengemüse,Suppengemüse,"€ 1,79",,"1 kg = 2,75 €",,Nein,,,,images_tegut/tegut_offer_011.jpg
Bio-Kichererbsen,Alnatura,"€ 1,29",,"1 kg = 5,86/5,38 €",,Nein,,,,images_tegut/tegut_offer_012.jpg
Linsen mit Suppengrün,Jeden Tag,"€ 1,19",,"1 kg = 2,25 €",,Nein,,,,images_tegut/tegut_offer_013.jpg
Suppeneinlage,Leimer,"€ 0,99",,1 kg = 9.90 €,,Nein,,,,images_tegut/tegut_offer_014.jpg
LandPrimus Bauernknacker,tegut,"€ 4,99",,"5,99 €",,Nein,,,,images_tegut/tegut_offer_015.jpg
Kasseler Nacken,LandPrimus,"€ 1,29",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_016.jpg
Hühner Nudel-Topf,Erasco,"€ 1,99",,"3,29 €",,Nein,,,,images_tegut/tegut_offer_017.jpg
Dörrfleisch,LandPrimus,"€ 4,28",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_018.jpg
Würze,Maggi,"€ 1,99",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_019.jpg
Maultaschen,Bürger,"€ 1,79",,"1 kg = 5,97",,Nein,,,,images_tegut/tegut_offer_020.jpg
15 Rabatt,15 Rabatt,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_021.jpg
Suppennudeln,tegut,"€ 0,79",,"1 kg = 3,16 €",,Nein,,,,images_tegut/tegut_offer_022.jpg
Gemüse,Jütro,"€ 2,99",,"3,99 €",,Nein,,,,images_tegut/tegut_offer_023.jpg
Zwiebeln,Zwiebeln,"€ 2,99",,1 kg = 0.75 €,,Nein,,,,images_tegut/tegut_offer_024.jpg
Bio-Pastinaken,Bioland,"€ 1,99",,"1 kg = 3,98 €",,Nein,,,,images_tegut/tegut_offer_025.jpg
Lauch,Lauch,"€ 0,59",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_026.jpg
tegut Bio-Kartoffeln,Bioland,"€ 2,79",,"1 kg = 1,86 €",,Nein,,,,images_tegut/tegut_offer_027.jpg
Rinderbeinscheibe,tegut LandPrimus,"€ 1,29",,"1,79 €",,Nein,,,,images_tegut/tegut_offer_028.jpg
Almighurt Fruchtjoghurt,Ehrmann,"€ 0,39",,"0,89 €",,Nein,,,,images_tegut/tegut_offer_029.jpg
LandPrimus Fleischwurst,tegut,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_030.jpg
Saint Albray,Saint Albray,"€ 2,22",,"1 kg = 17,76 €",,Nein,,,,images_tegut/tegut_offer_031.jpg
Heidelbeeren,Heidelbeeren,"€ 1,00",,"1 kg = 8,00 €",,Nein,,,,images_tegut/tegut_offer_032.jpg
Pilsner,Radeberger,"€ 10,99",,"1 l = 1,10 €",,Nein,,,,images_tegut/tegut_offer_033.jpg
Schnitten,Eszet,"€ 0,99",,"1,69 €",,Nein,,,,images_tegut/tegut_offer_034.jpg
20-fach Punkte,Naturland,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_035.jpg
Mini-Datteltomaten,tegut,"€ 1,99",,"1 kg = 7,96 €",,Nein,,,,images_tegut/tegut_offer_036.jpg
Bio-Rucola,Bio-Rucola,"€ 1,79",,"1 kg = 22,38 €",,Nein,,,,images_tegut/tegut_offer_037.jpg
Rosenkohl,Rosenkohl,"€ 0,99",,"1 kg = 1,98 €",,Nein,,,,images_tegut/tegut_offer_038.jpg
Paprika spitz rot,Paprika spitz rot,"€ 1,79",,"1 kg = 3,58 €",,Nein,,,,images_tegut/tegut_offer_039.jpg
Bio-Brokkoli,demeter,"€ 1,99",,"1 kg = 4,98 €",,Nein,,,,images_tegut/tegut_offer_040.jpg
tegut Bio-Baby Spinat,demeter,"€ 1,99",,"1 kg = 19,90 €",,Nein,,,,images_tegut/tegut_offer_041.jpg
Clementinen,tegut,"€ 1,99",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_042.jpg
Weintrauben hell kernlos,Weintrauben hell kernlos,"€ 1,49",,"1 kg = 2,98 €",,Nein,,,,images_tegut/tegut_offer_043.jpg
Stängelprimeln,Stängelprimeln,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_044.jpg
Äpfel,tegut,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_045.jpg
tegut Bio-Zitrone,demeter,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_046.jpg
Bio-Kiwis,tegut,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_047.jpg
Götterfrucht Orangen,Götterfrucht Orangen,"€ 2,99",,1 kg = 2.99,,Nein,,,,images_tegut/tegut_offer_048.jpg
LandPrimus Schweinekrustenbraten,tegut,"€ 0,99",,1 kg = 9.90,,Nein,,,,images_tegut/tegut_offer_049.jpg
Bio-Hähnchen ganz,Bio-Hähnchen ganz,"€ 1,49",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_050.jpg
Rinderbraten,Rinderbraten,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_051.jpg
Schweineschnitzel,LandPrimus,"€ 0,69",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_052.jpg
Maigriller,LandPrimus,"€ 3,99",,"1 kg = 15,96 €",,Nein,,,,images_tegut/tegut_offer_053.jpg
Lammkrone,Lammkrone,"€ 4,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_054.jpg
Bio-Hähnchen-Dönerfleisch,Mecklenburger Landpute,"€ 1,99",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_055.jpg
Bio-Putenrollbraten,Bio-Putenrollbraten,"€ 2,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_056.jpg
Bio-Schweinenacken,Bio-Schweinenacken,"€ 1,99",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_057.jpg
Schweinefleischspieß,Schweinefleischspieß,"€ 1,29",,"1,99 €",,Nein,,,,images_tegut/tegut_offer_058.jpg
Rib-Eye-Steak,Rib-Eye-Steak,"€ 3,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_059.jpg
Schweinegeschnetzeltes,Schweinegeschnetzeltes,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_060.jpg
Kohlroulade,Kohlroulade,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_061.jpg
Bio-Lachsfilet,Bio-Lachsfilet,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_062.jpg
Fleischkäse Brötchen Leberkäse Semmel,Fleischkäse Brötchen Leberkäse Semmel,"€ 2,00",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_063.jpg
einfach Gut Wrap Falafel Hummus,natsu,"€ 1,99",,"1 kg = 9,95",,Nein,,,,images_tegut/tegut_offer_064.jpg
Bio-Feinkostsalat Fleischsalat,Alnatura,"€ 2,22",,"1 kg = 14,80 €",,Nein,,,,images_tegut/tegut_offer_065.jpg
Edle Matjesfilets,Nadler,"€ 2,99",,"3,49 €",,Nein,,,,images_tegut/tegut_offer_066.jpg
Bio-Oliven,bio-verde,"€ 1,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_067.jpg
Gefüllte Kirschpaprika,tegut,"€ 2,49",,"1 kg = 16,60 €",,Nein,,,,images_tegut/tegut_offer_068.jpg
Granat Apfel,livefresh,"€ 2,99",,"1 l = 11,96 €",,Nein,,,,images_tegut/tegut_offer_069.jpg
Weizenbrötchen,Weizenbrötchen,"€ 1,50",,"1 kg = 2,31 €",,Nein,,,,images_tegut/tegut_offer_070.jpg
Pizza Classico,Pizza Classico,"€ 1,79",,"1 kg = 13,46 €",,Nein,,,,images_tegut/tegut_offer_071.jpg
15 Rabatt,Herzberger,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_072.jpg
Kleine Rührkuchen,Mr Brownie,"€ 2,49",,"1 kg = 12,45 €",,Nein,,,,images_tegut/tegut_offer_073.jpg
Bio-Sauerteig-Brötchen,Herzberger,"€ 1,99",,"1 kg = 8,84 €",,Nein,,,,images_tegut/tegut_offer_074.jpg
Smashed Bagels Classic,Smashed Bagels Classic,"€ 1,79",,"1 kg = 5,97 €",,Nein,,,,images_tegut/tegut_offer_075.jpg
Bio-Vollkornbrot mit Bio-Sonnenblumenkernen,Herzberger,"€ 2,29",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_076.jpg
Quarkbällchen,Quarkbällchen,"€ 1,99",,"1 kg = 13,27 €",,Nein,,,,images_tegut/tegut_offer_077.jpg
Berliner gefüllt,Berliner gefüllt,"€ 2,99",,"1 kg = 9,20 €",,Nein,,,,images_tegut/tegut_offer_078.jpg
Schwarzwälder Schinken,Schwarzwälder Schinken,"€ 1,99",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_079.jpg
Bio-Rosmarin-Schinken,Bio-Rosmarin-Schinken,"€ 2,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_080.jpg
Delikatess-Leberwurst,Delikatess-Leberwurst,"€ 0,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_081.jpg
Bio-Weiderind-Salami,Bio-Weiderind-Salami,"€ 3,49",,"4,99 €",,Nein,,,,images_tegut/tegut_offer_082.jpg
Fleischsalat,LandPrimus,"€ 1,29",,"1,79 €",,Nein,,,,images_tegut/tegut_offer_083.jpg
Pizzafleischkäse,LandPrimus,"€ 0,79",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_084.jpg
Bergkäse,Erlebnis Sennerei Zillertal,"€ 1,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_085.jpg
Bio-Parmigiano Reggiano,Bio-Parmigiano Reggiano,"€ 3,49",,1 kg = 34.90,,Nein,,,,images_tegut/tegut_offer_086.jpg
Ch vre d Argental,Ch vre d Argental,"€ 2,99",,"3,99 €",,Nein,,,,images_tegut/tegut_offer_087.jpg
Bio-Steinsalzkäse,Bio-Steinsalzkäse,"€ 2,49",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_088.jpg
Original,Leerdammer,"€ 8,99",,Kein Mengenpreis,,Nein,,,,images_tegut/tegut_offer_089.jpg
Elsässer Winzerkäse,Elsässer Winzerkäse,"€ 1,99",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_090.jpg
Bio-Manouri,bio-verde,"€ 1,99",,"2,79 €",,Nein,,,,images_tegut/tegut_offer_091.jpg
Speisequark,Frankenland,"€ 1,19",,"1,49 €",,Nein,,,,images_tegut/tegut_offer_092.jpg
Haltbare Milch 3 5 Fett,Weihenstephan,"€ 14,00",,1 l = 1.17 €,,Nein,,,,images_tegut/tegut_offer_093.jpg
Bio-Weidemilch Joghurt mild,Alnatura,"€ 1,59",,"1 kg = 3,18 €",,Nein,,,,images_tegut/tegut_offer_094.jpg
Creme Vega,Dr Oetker,"€ 0,99",,"1 kg = 6,60 €",,Nein,,,,images_tegut/tegut_offer_095.jpg
Bio-Haferblock,The Vegan Cow,"€ 2,49",,"2,99 €",,Nein,,,,images_tegut/tegut_offer_096.jpg
Actimel,Danone,"€ 2,22",,"3,99 €",,Nein,,,,images_tegut/tegut_offer_097.jpg
Halbfettmargarine oder Streichfett,Lätta,"€ 1,29",,"1 kg = 2,87",,Nein,,,,images_tegut/tegut_offer_098.jpg
Vegane Mini-Frikadellen,Greenforce,"€ 2,49",,"1 kg = 13,83 €",,Nein,,,,images_tegut/tegut_offer_099.jpg
Vegane Salami,Billie Green,"€ 1,29",,"1 kg = 18,43 €",,Nein,,,,images_tegut/tegut_offer_100.jpg
Schlagsahne,Frankenland,"€ 2,99",,"1 kg = 5,98 €",,Nein,,,,images_tegut/tegut_offer_101.jpg
H-Drink Barista Hafer,Alpro,"€ 1,99",,"2,49 €",,Nein,,,,images_tegut/tegut_offer_102.jpg
Bio-Lyoner natur,tegut,"€ 1,79",,"1 kg = 22,38 €",,Nein,,,,images_tegut/tegut_offer_103.jpg
Bio-Joghurt Heidelbeere,tegut,"€ 1,69",,"1 kg = 4,23 €",,Nein,,,,images_tegut/tegut_offer_104.jpg
Käsescheiben,Milram,"€ 1,69",,"1 kg = 11,27 €",,Nein,,,,images_tegut/tegut_offer_105.jpg
Kochkäse mit Kümmel,Bönsel,"€ 1,29",,"1 kg = 6,45 €",,Nein,,,,images_tegut/tegut_offer_106.jpg
körniger Bio-Frischkäse,tegut,"€ 1,49",,"1 kg = 7,45 €",,Nein,,,,images_tegut/tegut_offer_107.jpg
Metzgerschinken,LandPrimus,"€ 1,99",,"1 kg = 19,90 €",,Nein,,,,images_tegut/tegut_offer_108.jpg
